"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","A","1950",8.695652,
"AUS","CPI","TOT","AGRWTH","A","1951",19.42857,
"AUS","CPI","TOT","AGRWTH","A","1952",17.22488,
"AUS","CPI","TOT","AGRWTH","A","1953",4.489796,
"AUS","CPI","TOT","AGRWTH","A","1954",1.5625,
"AUS","CPI","TOT","AGRWTH","A","1955",1.538462,
"AUS","CPI","TOT","AGRWTH","A","1956",5.681818,
"AUS","CPI","TOT","AGRWTH","A","1957",2.867383,
"AUS","CPI","TOT","AGRWTH","A","1958",0.6968641,
"AUS","CPI","TOT","AGRWTH","A","1959",2.076125,
"AUS","CPI","TOT","AGRWTH","A","1960",3.728814,
"AUS","CPI","TOT","AGRWTH","A","1961",2.287582,
"AUS","CPI","TOT","AGRWTH","A","1962",-0.3194888,
"AUS","CPI","TOT","AGRWTH","A","1963",0.6410257,
"AUS","CPI","TOT","AGRWTH","A","1964",2.866242,
"AUS","CPI","TOT","AGRWTH","A","1965",3.405573,
"AUS","CPI","TOT","AGRWTH","A","1966",3.293413,
"AUS","CPI","TOT","AGRWTH","A","1967",3.478261,
"AUS","CPI","TOT","AGRWTH","A","1968",2.521008,
"AUS","CPI","TOT","AGRWTH","A","1969",3.278688,
"AUS","CPI","TOT","AGRWTH","A","1970",3.439153,
"AUS","CPI","TOT","AGRWTH","A","1971",6.138107,
"AUS","CPI","TOT","AGRWTH","A","1972",6.024096,
"AUS","CPI","TOT","AGRWTH","A","1973",9.090909,
"AUS","CPI","TOT","AGRWTH","A","1974",15.41667,
"AUS","CPI","TOT","AGRWTH","A","1975",15.16245,
"AUS","CPI","TOT","AGRWTH","A","1976",13.32288,
"AUS","CPI","TOT","AGRWTH","A","1977",12.30982,
"AUS","CPI","TOT","AGRWTH","A","1978",8.004926,
"AUS","CPI","TOT","AGRWTH","A","1979",9.122006,
"AUS","CPI","TOT","AGRWTH","A","1980",10.13584,
"AUS","CPI","TOT","AGRWTH","A","1981",9.487666,
"AUS","CPI","TOT","AGRWTH","A","1982",11.35182,
"AUS","CPI","TOT","AGRWTH","A","1983",10.03891,
"AUS","CPI","TOT","AGRWTH","A","1984",3.960396,
"AUS","CPI","TOT","AGRWTH","A","1985",6.734694,
"AUS","CPI","TOT","AGRWTH","A","1986",9.05035,
"AUS","CPI","TOT","AGRWTH","A","1987",8.533022,
"AUS","CPI","TOT","AGRWTH","A","1988",7.21594,
"AUS","CPI","TOT","AGRWTH","A","1989",7.533903,
"AUS","CPI","TOT","AGRWTH","A","1990",7.333022,
"AUS","CPI","TOT","AGRWTH","A","1991",3.176675,
"AUS","CPI","TOT","AGRWTH","A","1992",1.012231,
"AUS","CPI","TOT","AGRWTH","A","1993",1.753653,
"AUS","CPI","TOT","AGRWTH","A","1994",1.969635,
"AUS","CPI","TOT","AGRWTH","A","1995",4.627767,
"AUS","CPI","TOT","AGRWTH","A","1996",2.615385,
"AUS","CPI","TOT","AGRWTH","A","1997",0.2248875,
"AUS","CPI","TOT","AGRWTH","A","1998",0.8601346,
"AUS","CPI","TOT","AGRWTH","A","1999",1.483129,
"AUS","CPI","TOT","AGRWTH","A","2000",4.457435,
"AUS","CPI","TOT","AGRWTH","A","2001",4.407135,
"AUS","CPI","TOT","AGRWTH","A","2002",2.981575,
"AUS","CPI","TOT","AGRWTH","A","2003",2.732596,
"AUS","CPI","TOT","AGRWTH","A","2004",2.343255,
"AUS","CPI","TOT","AGRWTH","A","2005",2.691832,
"AUS","CPI","TOT","AGRWTH","A","2006",3.555288,
"AUS","CPI","TOT","AGRWTH","A","2007",2.327611,
"AUS","CPI","TOT","AGRWTH","A","2008",4.350298,
"AUS","CPI","TOT","AGRWTH","A","2009",1.771117,
"AUS","CPI","TOT","AGRWTH","A","2010",2.91834,
"AUS","CPI","TOT","AGRWTH","A","2011",3.30385,
"AUS","CPI","TOT","AGRWTH","A","2012",1.76278,
"AUS","CPI","TOT","AGRWTH","A","2013",2.449889,
"AUS","CPI","TOT","AGRWTH","A","2014",2.487923,
"AUS","CPI","TOT","AGRWTH","A","2015",1.508367,
"AUS","CPI","TOT","IDX2010","A","1949",4.188345,
"AUS","CPI","TOT","IDX2010","A","1950",4.552549,
"AUS","CPI","TOT","IDX2010","A","1951",5.437045,
"AUS","CPI","TOT","IDX2010","A","1952",6.373569,
"AUS","CPI","TOT","IDX2010","A","1953",6.659729,
"AUS","CPI","TOT","IDX2010","A","1954",6.763788,
"AUS","CPI","TOT","IDX2010","A","1955",6.867846,
"AUS","CPI","TOT","IDX2010","A","1956",7.258065,
"AUS","CPI","TOT","IDX2010","A","1957",7.466181,
"AUS","CPI","TOT","IDX2010","A","1958",7.51821,
"AUS","CPI","TOT","IDX2010","A","1959",7.674298,
"AUS","CPI","TOT","IDX2010","A","1960",7.960458,
"AUS","CPI","TOT","IDX2010","A","1961",8.14256,
"AUS","CPI","TOT","IDX2010","A","1962",8.116546,
"AUS","CPI","TOT","IDX2010","A","1963",8.168574,
"AUS","CPI","TOT","IDX2010","A","1964",8.402705,
"AUS","CPI","TOT","IDX2010","A","1965",8.688866,
"AUS","CPI","TOT","IDX2010","A","1966",8.975026,
"AUS","CPI","TOT","IDX2010","A","1967",9.287201,
"AUS","CPI","TOT","IDX2010","A","1968",9.521332,
"AUS","CPI","TOT","IDX2010","A","1969",9.833507,
"AUS","CPI","TOT","IDX2010","A","1970",10.1717,
"AUS","CPI","TOT","IDX2010","A","1971",10.79605,
"AUS","CPI","TOT","IDX2010","A","1972",11.44641,
"AUS","CPI","TOT","IDX2010","A","1973",12.48699,
"AUS","CPI","TOT","IDX2010","A","1974",14.41207,
"AUS","CPI","TOT","IDX2010","A","1975",16.59729,
"AUS","CPI","TOT","IDX2010","A","1976",18.80853,
"AUS","CPI","TOT","IDX2010","A","1977",21.12383,
"AUS","CPI","TOT","IDX2010","A","1978",22.81478,
"AUS","CPI","TOT","IDX2010","A","1979",24.89594,
"AUS","CPI","TOT","IDX2010","A","1980",27.41936,
"AUS","CPI","TOT","IDX2010","A","1981",30.02081,
"AUS","CPI","TOT","IDX2010","A","1982",33.42872,
"AUS","CPI","TOT","IDX2010","A","1983",36.7846,
"AUS","CPI","TOT","IDX2010","A","1984",38.24142,
