"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PLI","TOT","OECDIDX","A","1997",96,
"AUS","PLI","TOT","OECDIDX","A","1998",83.6,
"AUS","PLI","TOT","OECDIDX","A","1999",85.3,
"AUS","PLI","TOT","OECDIDX","A","2000",81.2,
"AUS","PLI","TOT","OECDIDX","A","2001",76.9,
"AUS","PLI","TOT","OECDIDX","A","2002",80.8,
"AUS","PLI","TOT","OECDIDX","A","2003",90.4,
"AUS","PLI","TOT","OECDIDX","A","2004",98.7,
"AUS","PLI","TOT","OECDIDX","A","2005",104,
"AUS","PLI","TOT","OECDIDX","A","2006",106,
"AUS","PLI","TOT","OECDIDX","A","2007",115,
"AUS","PLI","TOT","OECDIDX","A","2008",117,
"AUS","PLI","TOT","OECDIDX","A","2009",111,
"AUS","PLI","TOT","OECDIDX","A","2010",135,
"AUS","PLI","TOT","OECDIDX","A","2011",148,
"AUS","PLI","TOT","OECDIDX","A","2012",157,
"AUS","PLI","TOT","OECDIDX","A","2013",141,
"AUS","PLI","TOT","OECDIDX","A","2014",135,
"AUS","PLI","TOT","OECDIDX","A","2015",121,
"AUT","PLI","TOT","OECDIDX","A","1997",103,
"AUT","PLI","TOT","OECDIDX","A","1998",105,
"AUT","PLI","TOT","OECDIDX","A","1999",99.6,
"AUT","PLI","TOT","OECDIDX","A","2000",88.7,
"AUT","PLI","TOT","OECDIDX","A","2001",92,
"AUT","PLI","TOT","OECDIDX","A","2002",93.8,
"AUT","PLI","TOT","OECDIDX","A","2003",103,
"AUT","PLI","TOT","OECDIDX","A","2004",107,
"AUT","PLI","TOT","OECDIDX","A","2005",109,
"AUT","PLI","TOT","OECDIDX","A","2006",108,
"AUT","PLI","TOT","OECDIDX","A","2007",115,
"AUT","PLI","TOT","OECDIDX","A","2008",118,
"AUT","PLI","TOT","OECDIDX","A","2009",116,
"AUT","PLI","TOT","OECDIDX","A","2010",109,
"AUT","PLI","TOT","OECDIDX","A","2011",110,
"AUT","PLI","TOT","OECDIDX","A","2012",104,
"AUT","PLI","TOT","OECDIDX","A","2013",108,
"AUT","PLI","TOT","OECDIDX","A","2014",109,
"AUT","PLI","TOT","OECDIDX","A","2015",101,
"BEL","PLI","TOT","OECDIDX","A","1997",102,
"BEL","PLI","TOT","OECDIDX","A","1998",105,
"BEL","PLI","TOT","OECDIDX","A","1999",100,
"BEL","PLI","TOT","OECDIDX","A","2000",87.8,
"BEL","PLI","TOT","OECDIDX","A","2001",88.8,
"BEL","PLI","TOT","OECDIDX","A","2002",90.6,
"BEL","PLI","TOT","OECDIDX","A","2003",102,
"BEL","PLI","TOT","OECDIDX","A","2004",109,
"BEL","PLI","TOT","OECDIDX","A","2005",110,
"BEL","PLI","TOT","OECDIDX","A","2006",111,
"BEL","PLI","TOT","OECDIDX","A","2007",117,
"BEL","PLI","TOT","OECDIDX","A","2008",121,
"BEL","PLI","TOT","OECDIDX","A","2009",117,
"BEL","PLI","TOT","OECDIDX","A","2010",111,
"BEL","PLI","TOT","OECDIDX","A","2011",111,
"BEL","PLI","TOT","OECDIDX","A","2012",105,
"BEL","PLI","TOT","OECDIDX","A","2013",109,
"BEL","PLI","TOT","OECDIDX","A","2014",111,
"BEL","PLI","TOT","OECDIDX","A","2015",101,
"CAN","PLI","TOT","OECDIDX","A","1997",85.9,
"CAN","PLI","TOT","OECDIDX","A","1998",81.9,
"CAN","PLI","TOT","OECDIDX","A","1999",81.7,
"CAN","PLI","TOT","OECDIDX","A","2000",88.5,
"CAN","PLI","TOT","OECDIDX","A","2001",88.3,
"CAN","PLI","TOT","OECDIDX","A","2002",87.2,
"CAN","PLI","TOT","OECDIDX","A","2003",90,
"CAN","PLI","TOT","OECDIDX","A","2004",93,
"CAN","PLI","TOT","OECDIDX","A","2005",98.6,
"CAN","PLI","TOT","OECDIDX","A","2006",107,
"CAN","PLI","TOT","OECDIDX","A","2007",109,
"CAN","PLI","TOT","OECDIDX","A","2008",109,
"CAN","PLI","TOT","OECDIDX","A","2009",104,
"CAN","PLI","TOT","OECDIDX","A","2010",116,
"CAN","PLI","TOT","OECDIDX","A","2011",119,
"CAN","PLI","TOT","OECDIDX","A","2012",123,
"CAN","PLI","TOT","OECDIDX","A","2013",119,
"CAN","PLI","TOT","OECDIDX","A","2014",114,
"CAN","PLI","TOT","OECDIDX","A","2015",107,
