"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPI","TOT","AGRWTH","A","1970",4.941176,
"AUS","PPI","TOT","AGRWTH","A","1971",4.26009,
"AUS","PPI","TOT","AGRWTH","A","1972",4.946237,
"AUS","PPI","TOT","AGRWTH","A","1973",8.811476,
"AUS","PPI","TOT","AGRWTH","A","1974",15.44256,
"AUS","PPI","TOT","AGRWTH","A","1975",14.68189,
"AUS","PPI","TOT","AGRWTH","A","1976",11.52205,
"AUS","PPI","TOT","AGRWTH","A","1977",10.20408,
"AUS","PPI","TOT","AGRWTH","A","1978",8.101851,
"AUS","PPI","TOT","AGRWTH","A","1979",14.77516,
"AUS","PPI","TOT","AGRWTH","A","1980",14.08582,
"AUS","PPI","TOT","AGRWTH","A","1981",8.421913,
"AUS","PPI","TOT","AGRWTH","A","1982",9.049774,
"AUS","PPI","TOT","AGRWTH","A","1983",7.952974,
"AUS","PPI","TOT","AGRWTH","A","1984",5.445228,
"AUS","PPI","TOT","AGRWTH","A","1985",6.622114,
"AUS","PPI","TOT","AGRWTH","A","1986",5.527066,
"AUS","PPI","TOT","AGRWTH","A","1987",7.343412,
"AUS","PPI","TOT","AGRWTH","A","1988",7.344064,
"AUS","PPI","TOT","AGRWTH","A","1989",6.747891,
"AUS","PPI","TOT","AGRWTH","A","1990",6.057946,
"AUS","PPI","TOT","AGRWTH","A","1991",1.324503,
"AUS","PPI","TOT","AGRWTH","A","1992",1.633987,
"AUS","PPI","TOT","AGRWTH","A","1993",1.889068,
"AUS","PPI","TOT","AGRWTH","A","1994",0.8284023,
"AUS","PPI","TOT","AGRWTH","A","1995",3.677621,
"AUS","PPI","TOT","AGRWTH","A","1996",0.7924528,
"AUS","PPI","TOT","AGRWTH","A","1997",1.272931,
"AUS","PPI","TOT","AGRWTH","A","1998",0.6654344,
"AUS","PPI","TOT","AGRWTH","A","1999",0.6243114,
"AUS","PPI","TOT","AGRWTH","A","2000",7.153285,
"AUS","PPI","TOT","AGRWTH","A","2001",3.099455,
"AUS","PPI","TOT","AGRWTH","A","2002",0.16518,
"AUS","PPI","TOT","AGRWTH","A","2003",0.5277045,
"AUS","PPI","TOT","AGRWTH","A","2004",3.937008,
"AUS","PPI","TOT","AGRWTH","A","2005",5.997475,
"AUS","PPI","TOT","AGRWTH","A","2006",7.921382,
"AUS","PPI","TOT","AGRWTH","A","2007",2.317881,
"AUS","PPI","TOT","AGRWTH","A","2008",8.306365,
"AUS","PPI","TOT","AGRWTH","A","2009",-5.428287,
"AUS","PPI","TOT","AGRWTH","A","2010",1.895735,
"AUS","PPI","TOT","AGRWTH","A","2011",3.385013,
"AUS","PPI","TOT","AGRWTH","A","2012",-0.4748813,
"AUS","PPI","TOT","AGRWTH","A","2013",1.079859,
"AUS","PPI","TOT","AGRWTH","A","2014",3.10559,
"AUS","PPI","TOT","AGRWTH","A","2015",0.2650602,
"AUS","PPI","TOT","IDX2010","A","1969",10.98191,
"AUS","PPI","TOT","IDX2010","A","1970",11.52455,
"AUS","PPI","TOT","IDX2010","A","1971",12.0155,
"AUS","PPI","TOT","IDX2010","A","1972",12.60982,
"AUS","PPI","TOT","IDX2010","A","1973",13.72093,
"AUS","PPI","TOT","IDX2010","A","1974",15.83979,
"AUS","PPI","TOT","IDX2010","A","1975",18.16537,
"AUS","PPI","TOT","IDX2010","A","1976",20.2584,
"AUS","PPI","TOT","IDX2010","A","1977",22.32558,
"AUS","PPI","TOT","IDX2010","A","1978",24.13437,
"AUS","PPI","TOT","IDX2010","A","1979",27.70026,
"AUS","PPI","TOT","IDX2010","A","1980",31.60207,
"AUS","PPI","TOT","IDX2010","A","1981",34.26357,
"AUS","PPI","TOT","IDX2010","A","1982",37.36434,
"AUS","PPI","TOT","IDX2010","A","1983",40.33592,
"AUS","PPI","TOT","IDX2010","A","1984",42.5323,
"AUS","PPI","TOT","IDX2010","A","1985",45.34884,
"AUS","PPI","TOT","IDX2010","A","1986",47.8553,
"AUS","PPI","TOT","IDX2010","A","1987",51.36951,
"AUS","PPI","TOT","IDX2010","A","1988",55.14212,
"AUS","PPI","TOT","IDX2010","A","1989",58.86305,
"AUS","PPI","TOT","IDX2010","A","1990",62.42894,
"AUS","PPI","TOT","IDX2010","A","1991",63.25581,
"AUS","PPI","TOT","IDX2010","A","1992",64.28941,
"AUS","PPI","TOT","IDX2010","A","1993",65.50388,
"AUS","PPI","TOT","IDX2010","A","1994",66.04651,
"AUS","PPI","TOT","IDX2010","A","1995",68.47545,
"AUS","PPI","TOT","IDX2010","A","1996",69.01809,
"AUS","PPI","TOT","IDX2010","A","1997",69.89664,
"AUS","PPI","TOT","IDX2010","A","1998",70.36176,
"AUS","PPI","TOT","IDX2010","A","1999",70.80103,
"AUS","PPI","TOT","IDX2010","A","2000",75.86563,
"AUS","PPI","TOT","IDX2010","A","2001",78.21706,
"AUS","PPI","TOT","IDX2010","A","2002",78.34625,
"AUS","PPI","TOT","IDX2010","A","2003",78.75969,
"AUS","PPI","TOT","IDX2010","A","2004",81.86047,
"AUS","PPI","TOT","IDX2010","A","2005",86.77003,
"AUS","PPI","TOT","IDX2010","A","2006",93.64341,
"AUS","PPI","TOT","IDX2010","A","2007",95.81396,
"AUS","PPI","TOT","IDX2010","A","2008",103.7726,
"AUS","PPI","TOT","IDX2010","A","2009",98.13953,
"AUS","PPI","TOT","IDX2010","A","2010",100,
"AUS","PPI","TOT","IDX2010","A","2011",103.385,
"AUS","PPI","TOT","IDX2010","A","2012",102.8941,
"AUS","PPI","TOT","IDX2010","A","2013",104.0052,
"AUS","PPI","TOT","IDX2010","A","2014",107.2351,
"AUS","PPI","TOT","IDX2010","A","2015",107.5194,
"AUT","PPI","TOT","AGRWTH","A","2000",3.076993,
"AUT","PPI","TOT","AGRWTH","A","2001",0.2056267,
"AUT","PPI","TOT","AGRWTH","A","2002",-1.156609,
"AUT","PPI","TOT","AGRWTH","A","2003",-0.1509861,
"AUT","PPI","TOT","AGRWTH","A","2004",1.852377,
"AUT","PPI","TOT","AGRWTH","A","2005",3.31261,
"AUT","PPI","TOT","AGRWTH","A","2006",1.472966,
"AUT","PPI","TOT","AGRWTH","A","2007",2.239334,
"AUT","PPI","TOT","AGRWTH","A","2008",2.493291,
"AUT","PPI","TOT","AGRWTH","A","2009",-1.697779,
"AUT","PPI","TOT","AGRWTH","A","2010",3.084723,
"AUT","PPI","TOT","AGRWTH","A","2011",3.875969,
"AUT","PPI","TOT","AGRWTH","A","2012",1.13144,
"AUT","PPI","TOT","AGRWTH","A","2013",-0.2142347,
"AUT","PPI","TOT","AGRWTH","A","2014",-0.4850509,
"AUT","PPI","TOT","AGRWTH","A","2015",-0.8070316,
"AUT","PPI","TOT","IDX2010","A","2000",89.18063,
