"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SHPRICE","TOT","IDX2010","A","1958",3.094338,
"AUS","SHPRICE","TOT","IDX2010","A","1959",3.856513,
"AUS","SHPRICE","TOT","IDX2010","A","1960",4.697565,
"AUS","SHPRICE","TOT","IDX2010","A","1961",4.327078,
"AUS","SHPRICE","TOT","IDX2010","A","1962",4.355825,
"AUS","SHPRICE","TOT","IDX2010","A","1963",4.769614,
"AUS","SHPRICE","TOT","IDX2010","A","1964",5.362716,
"AUS","SHPRICE","TOT","IDX2010","A","1965",4.708345,
"AUS","SHPRICE","TOT","IDX2010","A","1966",4.679058,
"AUS","SHPRICE","TOT","IDX2010","A","1967",5.485972,
"AUS","SHPRICE","TOT","IDX2010","A","1968",7.878505,
"AUS","SHPRICE","TOT","IDX2010","A","1969",8.664936,
"AUS","SHPRICE","TOT","IDX2010","A","1970",8.302714,
"AUS","SHPRICE","TOT","IDX2010","A","1971",6.93432,
"AUS","SHPRICE","TOT","IDX2010","A","1972",8.335415,
"AUS","SHPRICE","TOT","IDX2010","A","1973",7.793519,
"AUS","SHPRICE","TOT","IDX2010","A","1974",5.781894,
"AUS","SHPRICE","TOT","IDX2010","A","1975",5.438358,
"AUS","SHPRICE","TOT","IDX2010","A","1976",6.73111,
"AUS","SHPRICE","TOT","IDX2010","A","1977",6.456029,
"AUS","SHPRICE","TOT","IDX2010","A","1978",7.315947,
"AUS","SHPRICE","TOT","IDX2010","A","1979",9.046562,
"AUS","SHPRICE","TOT","IDX2010","A","1980",13.70154,
"AUS","SHPRICE","TOT","IDX2010","A","1981",13.85876,
"AUS","SHPRICE","TOT","IDX2010","A","1982",10.61673,
"AUS","SHPRICE","TOT","IDX2010","A","1983",13.76946,
"AUS","SHPRICE","TOT","IDX2010","A","1984",15.64489,
"AUS","SHPRICE","TOT","IDX2010","A","1985",19.5617,
"AUS","SHPRICE","TOT","IDX2010","A","1986",26.38676,
"AUS","SHPRICE","TOT","IDX2010","A","1987",36.75785,
"AUS","SHPRICE","TOT","IDX2010","A","1988",31.94773,
"AUS","SHPRICE","TOT","IDX2010","A","1989",34.29691,
"AUS","SHPRICE","TOT","IDX2010","A","1990",31.69001,
"AUS","SHPRICE","TOT","IDX2010","A","1991",32.94814,
"AUS","SHPRICE","TOT","IDX2010","A","1992",34.10815,
"AUS","SHPRICE","TOT","IDX2010","A","1993",38.68587,
"AUS","SHPRICE","TOT","IDX2010","A","1994",43.20663,
"AUS","SHPRICE","TOT","IDX2010","A","1995",43.03954,
"AUS","SHPRICE","TOT","IDX2010","A","1996",47.6081,
"AUS","SHPRICE","TOT","IDX2010","A","1997",53.79641,
"AUS","SHPRICE","TOT","IDX2010","A","1998",56.30447,
"AUS","SHPRICE","TOT","IDX2010","A","1999",62.53968,
"AUS","SHPRICE","TOT","IDX2010","A","2000",69.15005,"B"
"AUS","SHPRICE","TOT","IDX2010","A","2001",71.17587,
"AUS","SHPRICE","TOT","IDX2010","A","2002",69.56403,
"AUS","SHPRICE","TOT","IDX2010","A","2003",66.18256,
"AUS","SHPRICE","TOT","IDX2010","A","2004",76.48217,
"AUS","SHPRICE","TOT","IDX2010","A","2005",92.94584,
"AUS","SHPRICE","TOT","IDX2010","A","2006",110.3672,
"AUS","SHPRICE","TOT","IDX2010","A","2007",133.8672,
"AUS","SHPRICE","TOT","IDX2010","A","2008",107.6647,
"AUS","SHPRICE","TOT","IDX2010","A","2009",87.97445,
"AUS","SHPRICE","TOT","IDX2010","A","2010",100,
"AUS","SHPRICE","TOT","IDX2010","A","2011",96.7878,
"AUS","SHPRICE","TOT","IDX2010","A","2012",92.8357,
"AUS","SHPRICE","TOT","IDX2010","A","2013",109.3085,
"AUS","SHPRICE","TOT","IDX2010","A","2014",116.7761,
"AUS","SHPRICE","TOT","IDX2010","A","2015",118.4209,
"AUT","SHPRICE","TOT","IDX2010","A","1957",5.244009,
"AUT","SHPRICE","TOT","IDX2010","A","1958",4.814914,
"AUT","SHPRICE","TOT","IDX2010","A","1959",6.350099,
"AUT","SHPRICE","TOT","IDX2010","A","1960",8.663807,
"AUT","SHPRICE","TOT","IDX2010","A","1961",13.88966,
"AUT","SHPRICE","TOT","IDX2010","A","1962",14.45141,
"AUT","SHPRICE","TOT","IDX2010","A","1963",11.91315,
"AUT","SHPRICE","TOT","IDX2010","A","1964",11.33435,
"AUT","SHPRICE","TOT","IDX2010","A","1965",10.84634,
"AUT","SHPRICE","TOT","IDX2010","A","1966",10.3146,
"AUT","SHPRICE","TOT","IDX2010","A","1967",9.752109,
"AUT","SHPRICE","TOT","IDX2010","A","1968",10.32656,
"AUT","SHPRICE","TOT","IDX2010","A","1969",10.34818,
"AUT","SHPRICE","TOT","IDX2010","A","1970",11.55244,
"AUT","SHPRICE","TOT","IDX2010","A","1971",11.73396,
"AUT","SHPRICE","TOT","IDX2010","A","1972",12.75671,
"AUT","SHPRICE","TOT","IDX2010","A","1973",15.12157,
"AUT","SHPRICE","TOT","IDX2010","A","1974",14.29611,
"AUT","SHPRICE","TOT","IDX2010","A","1975",14.21634,
"AUT","SHPRICE","TOT","IDX2010","A","1976",14.43055,
"AUT","SHPRICE","TOT","IDX2010","A","1977",13.55427,
"AUT","SHPRICE","TOT","IDX2010","A","1978",12.6765,
"AUT","SHPRICE","TOT","IDX2010","A","1979",12.77729,
"AUT","SHPRICE","TOT","IDX2010","A","1980",13.27729,
"AUT","SHPRICE","TOT","IDX2010","A","1981",11.90772,
"AUT","SHPRICE","TOT","IDX2010","A","1982",10.57355,
"AUT","SHPRICE","TOT","IDX2010","A","1983",11.36683,
"AUT","SHPRICE","TOT","IDX2010","A","1984",11.7364,
"AUT","SHPRICE","TOT","IDX2010","A","1985",21.5668,
"AUT","SHPRICE","TOT","IDX2010","A","1986",28.10557,
