"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","USD","A","1970",26.715944,
"AUS","GDPHRWKD","TOT","USD","A","1971",27.177538,
"AUS","GDPHRWKD","TOT","USD","A","1972",27.532626,
"AUS","GDPHRWKD","TOT","USD","A","1973",27.956924,
"AUS","GDPHRWKD","TOT","USD","A","1974",27.815365,
"AUS","GDPHRWKD","TOT","USD","A","1975",28.702821,
"AUS","GDPHRWKD","TOT","USD","A","1976",29.402829,
"AUS","GDPHRWKD","TOT","USD","A","1977",29.459951,
"AUS","GDPHRWKD","TOT","USD","A","1978",30.78289,
"AUS","GDPHRWKD","TOT","USD","A","1979",30.802053,
"AUS","GDPHRWKD","TOT","USD","A","1980",31.224777,
"AUS","GDPHRWKD","TOT","USD","A","1981",32.041588,
"AUS","GDPHRWKD","TOT","USD","A","1982",32.390427,
"AUS","GDPHRWKD","TOT","USD","A","1983",33.261889,
"AUS","GDPHRWKD","TOT","USD","A","1984",34.25034,
"AUS","GDPHRWKD","TOT","USD","A","1985",34.085049,
"AUS","GDPHRWKD","TOT","USD","A","1986",34.114269,
"AUS","GDPHRWKD","TOT","USD","A","1987",34.859487,
"AUS","GDPHRWKD","TOT","USD","A","1988",34.761868,
"AUS","GDPHRWKD","TOT","USD","A","1989",34.861993,
"AUS","GDPHRWKD","TOT","USD","A","1990",35.399165,
"AUS","GDPHRWKD","TOT","USD","A","1991",35.995548,
"AUS","GDPHRWKD","TOT","USD","A","1992",37.445726,
"AUS","GDPHRWKD","TOT","USD","A","1993",38.021748,
"AUS","GDPHRWKD","TOT","USD","A","1994",37.830051,
"AUS","GDPHRWKD","TOT","USD","A","1995",38.428726,
"AUS","GDPHRWKD","TOT","USD","A","1996",39.743669,
"AUS","GDPHRWKD","TOT","USD","A","1997",40.936092,
"AUS","GDPHRWKD","TOT","USD","A","1998",42.381507,
"AUS","GDPHRWKD","TOT","USD","A","1999",42.699977,
"AUS","GDPHRWKD","TOT","USD","A","2000",43.428329,
"AUS","GDPHRWKD","TOT","USD","A","2001",45.225242,
"AUS","GDPHRWKD","TOT","USD","A","2002",45.398421,
"AUS","GDPHRWKD","TOT","USD","A","2003",46.34089,
"AUS","GDPHRWKD","TOT","USD","A","2004",46.762359,
"AUS","GDPHRWKD","TOT","USD","A","2005",47.08075,
"AUS","GDPHRWKD","TOT","USD","A","2006",47.482306,
"AUS","GDPHRWKD","TOT","USD","A","2007",47.803046,
"AUS","GDPHRWKD","TOT","USD","A","2008",48.108359,
"AUS","GDPHRWKD","TOT","USD","A","2009",49.046209,
"AUS","GDPHRWKD","TOT","USD","A","2010",48.913283,
