"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LABCOMP","TOT","AGRWTH","A","1986",5.163086,
"AUS","LABCOMP","TOT","AGRWTH","A","1987",5.913768,
"AUS","LABCOMP","TOT","AGRWTH","A","1988",7.262311,
"AUS","LABCOMP","TOT","AGRWTH","A","1989",5.975881,
"AUS","LABCOMP","TOT","AGRWTH","A","1990",6.077847,
"AUS","LABCOMP","TOT","AGRWTH","A","1991",4.748275,
"AUS","LABCOMP","TOT","AGRWTH","A","1992",5.005886,
"AUS","LABCOMP","TOT","AGRWTH","A","1993",0.574908,
"AUS","LABCOMP","TOT","AGRWTH","A","1994",0.770042,
"AUS","LABCOMP","TOT","AGRWTH","A","1995",3.957776,
"AUS","LABCOMP","TOT","AGRWTH","A","1996",5.890669,
"AUS","LABCOMP","TOT","AGRWTH","A","1997",3.665276,
"AUS","LABCOMP","TOT","AGRWTH","A","1998",3.204185,
"AUS","LABCOMP","TOT","AGRWTH","A","1999",3.150651,
"AUS","LABCOMP","TOT","AGRWTH","A","2000",4.248394,
"AUS","LABCOMP","TOT","AGRWTH","A","2001",5.330032,
"AUS","LABCOMP","TOT","AGRWTH","A","2002",3.747851,
"AUS","LABCOMP","TOT","AGRWTH","A","2003",4.48577,
"AUS","LABCOMP","TOT","AGRWTH","A","2004",4.293593,
"AUS","LABCOMP","TOT","AGRWTH","A","2005",3.782008,
"AUS","LABCOMP","TOT","AGRWTH","A","2006",5.443943,
"AUS","LABCOMP","TOT","AGRWTH","A","2007",5.513824,
"AUS","LABCOMP","TOT","AGRWTH","A","2008",3.155477,
"AUS","LABCOMP","TOT","AGRWTH","A","2009",3.125751,
"AUS","LABCOMP","TOT","AGRWTH","A","2010",6.005412,
"AUS","LABCOMP","TOT","AGRWTH","A","2011",4.340481,
"AUS","LABCOMP","TOT","IDX2010","A","1985",34.013437,
"AUS","LABCOMP","TOT","IDX2010","A","1986",35.769579,
"AUS","LABCOMP","TOT","IDX2010","A","1987",37.884909,
"AUS","LABCOMP","TOT","IDX2010","A","1988",40.636229,
"AUS","LABCOMP","TOT","IDX2010","A","1989",43.064602,
"AUS","LABCOMP","TOT","IDX2010","A","1990",45.682003,
"AUS","LABCOMP","TOT","IDX2010","A","1991",47.85111,
"AUS","LABCOMP","TOT","IDX2010","A","1992",50.246482,
"AUS","LABCOMP","TOT","IDX2010","A","1993",50.535353,
"AUS","LABCOMP","TOT","IDX2010","A","1994",50.924496,
"AUS","LABCOMP","TOT","IDX2010","A","1995",52.939973,
"AUS","LABCOMP","TOT","IDX2010","A","1996",56.058492,
"AUS","LABCOMP","TOT","IDX2010","A","1997",58.11319,
"AUS","LABCOMP","TOT","IDX2010","A","1998",59.975244,
"AUS","LABCOMP","TOT","IDX2010","A","1999",61.864855,
"AUS","LABCOMP","TOT","IDX2010","A","2000",64.493118,
"AUS","LABCOMP","TOT","IDX2010","A","2001",67.930621,
"AUS","LABCOMP","TOT","IDX2010","A","2002",70.47656,
"AUS","LABCOMP","TOT","IDX2010","A","2003",73.637977,
"AUS","LABCOMP","TOT","IDX2010","A","2004",76.799692,
"AUS","LABCOMP","TOT","IDX2010","A","2005",79.704262,
"AUS","LABCOMP","TOT","IDX2010","A","2006",84.043316,
"AUS","LABCOMP","TOT","IDX2010","A","2007",88.677317,
"AUS","LABCOMP","TOT","IDX2010","A","2008",91.475509,
