"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1971",1.727787,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1972",1.306549,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1973",1.541071,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1974",-0.506348,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1975",3.190526,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1976",2.438812,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1977",0.194274,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1978",4.490638,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1979",0.062251,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1980",1.372389,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1981",2.615907,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1982",1.088706,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1983",2.690495,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1984",2.971722,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1985",-0.482597,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1986",0.085726,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1987",2.184476,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1988",-0.280036,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1989",0.288033,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1990",1.540851,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1991",1.684738,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1992",4.028771,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1993",1.538284,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1994",-0.504176,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1995",1.582537,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1996",3.421773,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1997",3.000282,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1998",3.530907,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","1999",0.751437,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2000",1.705742,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2001",4.137651,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2002",0.382927,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2003",2.075995,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2004",0.909497,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2005",0.680871,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2006",0.852909,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2007",0.675493,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2008",0.638689,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2009",1.949454,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2010",-0.271023,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2011",2.100244,
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2012",3.384258,"E"
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2013",1.723715,"E"
"AUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2014",1.730165,"E"
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1971",-1.99276,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1972",-0.317942,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1973",0.972124,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1974",0.25036,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1975",-1.556526,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1976",0.127907,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1977",-0.507539,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1978",-1.448657,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1979",1.776558,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1980",0.548082,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1981",-0.963345,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1982",-4.768881,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1983",0.606674,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1984",0.948787,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1985",3.124932,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1986",0.984206,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1987",1.919331,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1988",2.362046,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1989",1.710288,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1990",-3.267962,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1991",-2.346061,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1992",-1.016409,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1993",1.54079,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1994",3.385535,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1995",1.121751,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1996",-0.678994,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1997",0.361928,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1998",0.381032,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","1999",1.946446,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2000",-0.953859,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2001",-1.503287,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2002",1.529032,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2003",0.892789,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2004",1.162967,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2005",0.98757,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2006",1.343269,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2007",1.09994,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2008",-1.008511,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2009",-1.839502,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2010",1.130911,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2011",0.066607,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2012",-2.557164,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2013",-0.89719,
"AUS","GDPCAPCONTR","LUTILISATION","AGRWTH","A","2014",-0.580747,
"AUT","GDPCAPCONTR","LPRDTY","AGRWTH","A","1996",0.156944,
