"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1964",0.5108368688,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1965",0.5078517687,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1966",0.5139161524,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1967",0.5375813884,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1968",0.5525903034,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1969",0.5711254593,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1970",0.5884120196,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1971",0.5967552332,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1972",0.6020154852,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1973",0.6115114001,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1974",0.6087769123,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1975",0.6260933928,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1976",0.6417729861,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1977",0.6454348648,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1978",0.6547489427,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1979",0.6765445862,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1980",0.6757875386,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1981",0.689525876,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1982",0.6872625891,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1983",0.6986400334,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1984",0.7220575141,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1985",0.7358296096,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1986",0.7203789356,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1987",0.7416896685,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1988",0.7476151672,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1989",0.7464704315,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1990",0.7434247111,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1991",0.7514289216,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1992",0.7773374002,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1993",0.8078589652,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1994",0.818760775,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1995",0.8178451303,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1996",0.8384115687,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1997",0.8633093813,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1998",0.8916220874,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","1999",0.910940342,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2000",0.9175202939,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2001",0.9296646812,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2002",0.9481091495,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2003",0.9551747621,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2004",0.9761611604,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2005",0.9749399445,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2006",0.9770599468,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2007",0.9909230346,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2008",0.9877355696,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2009",0.9969529,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2010",1,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2011",1.0087513956,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2012",1.0335600359,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2013",1.0452068967,
"AUS","GDPHRWKDFORECAST","TOT","IDX2010_1","A","2014",1.0657477792,
