"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MFP","TOT","AGRWTH","A","1985",-0.543517,
"AUS","MFP","TOT","AGRWTH","A","1986",-0.417969,
"AUS","MFP","TOT","AGRWTH","A","1987",1.888754,
"AUS","MFP","TOT","AGRWTH","A","1988",-0.427893,
"AUS","MFP","TOT","AGRWTH","A","1989",-0.090418,
"AUS","MFP","TOT","AGRWTH","A","1990",-0.034293,
"AUS","MFP","TOT","AGRWTH","A","1991",0.447052,
"AUS","MFP","TOT","AGRWTH","A","1992",3.060687,
"AUS","MFP","TOT","AGRWTH","A","1993",1.431313,
"AUS","MFP","TOT","AGRWTH","A","1994",-0.208392,
"AUS","MFP","TOT","AGRWTH","A","1995",1.211131,
"AUS","MFP","TOT","AGRWTH","A","1996",2.421317,
"AUS","MFP","TOT","AGRWTH","A","1997",2.14426,
"AUS","MFP","TOT","AGRWTH","A","1998",2.739725,
"AUS","MFP","TOT","AGRWTH","A","1999",0.388524,
"AUS","MFP","TOT","AGRWTH","A","2000",0.632309,
"AUS","MFP","TOT","AGRWTH","A","2001",2.90922,
"AUS","MFP","TOT","AGRWTH","A","2002",-0.147444,
"AUS","MFP","TOT","AGRWTH","A","2003",1.383966,
"AUS","MFP","TOT","AGRWTH","A","2004",0.181323,
"AUS","MFP","TOT","AGRWTH","A","2005",-0.177141,
"AUS","MFP","TOT","AGRWTH","A","2006",0.207019,
"AUS","MFP","TOT","AGRWTH","A","2007",-0.127621,
"AUS","MFP","TOT","AGRWTH","A","2008",-0.45194,
"AUS","MFP","TOT","AGRWTH","A","2009",0.53706,
"AUS","MFP","TOT","AGRWTH","A","2010",-0.859388,
"AUS","MFP","TOT","AGRWTH","A","2011",0.812275,
"AUS","MFP","TOT","AGRWTH","A","2012",1.518794,
"AUS","MFP","TOT","AGRWTH","A","2013",0.65012,
"AUT","MFP","TOT","AGRWTH","A","1989",2.267096,
"AUT","MFP","TOT","AGRWTH","A","1990",2.067615,
"AUT","MFP","TOT","AGRWTH","A","1991",1.732464,
"AUT","MFP","TOT","AGRWTH","A","1992",1.160581,
"AUT","MFP","TOT","AGRWTH","A","1993",1.373337,
"AUT","MFP","TOT","AGRWTH","A","1994",2.784615,
"AUT","MFP","TOT","AGRWTH","A","1995",5.509766,
"AUT","MFP","TOT","AGRWTH","A","1996",-0.112458,
"AUT","MFP","TOT","AGRWTH","A","1997",0.444311,
"AUT","MFP","TOT","AGRWTH","A","1998",2.649413,
"AUT","MFP","TOT","AGRWTH","A","1999",1.204945,
"AUT","MFP","TOT","AGRWTH","A","2000",1.433736,
"AUT","MFP","TOT","AGRWTH","A","2001",0.175064,
"AUT","MFP","TOT","AGRWTH","A","2002",0.798966,
"AUT","MFP","TOT","AGRWTH","A","2003",-0.329144,
"AUT","MFP","TOT","AGRWTH","A","2004",1.287037,
"AUT","MFP","TOT","AGRWTH","A","2005",1.532709,
"AUT","MFP","TOT","AGRWTH","A","2006",2.118432,
"AUT","MFP","TOT","AGRWTH","A","2007",1.932082,
"AUT","MFP","TOT","AGRWTH","A","2008",-0.261755,
"AUT","MFP","TOT","AGRWTH","A","2009",-1.628896,
"AUT","MFP","TOT","AGRWTH","A","2010",1.087347,
"AUT","MFP","TOT","AGRWTH","A","2011",0.641233,
"AUT","MFP","TOT","AGRWTH","A","2012",0.399068,
"AUT","MFP","TOT","AGRWTH","A","2013",0.171508,
"AUT","MFP","TOT","AGRWTH","A","2014",-0.390034,
"BEL","MFP","TOT","AGRWTH","A","1985",0.139067,
"BEL","MFP","TOT","AGRWTH","A","1986",1.3133,
