"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELECTRICITY","TOT","GWH","A","1960",0,
"AUS","ELECTRICITY","TOT","GWH","A","1961",0,
"AUS","ELECTRICITY","TOT","GWH","A","1962",0,
"AUS","ELECTRICITY","TOT","GWH","A","1963",0,
"AUS","ELECTRICITY","TOT","GWH","A","1964",0,
"AUS","ELECTRICITY","TOT","GWH","A","1965",0,
"AUS","ELECTRICITY","TOT","GWH","A","1966",0,
"AUS","ELECTRICITY","TOT","GWH","A","1967",0,
"AUS","ELECTRICITY","TOT","GWH","A","1968",0,
"AUS","ELECTRICITY","TOT","GWH","A","1969",0,
"AUS","ELECTRICITY","TOT","GWH","A","1970",0,
"AUS","ELECTRICITY","TOT","GWH","A","1971",0,
"AUS","ELECTRICITY","TOT","GWH","A","1972",0,
"AUS","ELECTRICITY","TOT","GWH","A","1973",0,
"AUS","ELECTRICITY","TOT","GWH","A","1974",67938,
"AUS","ELECTRICITY","TOT","GWH","A","1975",71823,
"AUS","ELECTRICITY","TOT","GWH","A","1976",74710,
"AUS","ELECTRICITY","TOT","GWH","A","1977",80257,
"AUS","ELECTRICITY","TOT","GWH","A","1978",83436,
"AUS","ELECTRICITY","TOT","GWH","A","1979",88152,
"AUS","ELECTRICITY","TOT","GWH","A","1980",92468,
"AUS","ELECTRICITY","TOT","GWH","A","1981",99217,
"AUS","ELECTRICITY","TOT","GWH","A","1982",99929,
"AUS","ELECTRICITY","TOT","GWH","A","1983",100625,
"AUS","ELECTRICITY","TOT","GWH","A","1984",106374,
"AUS","ELECTRICITY","TOT","GWH","A","1985",114295,
"AUS","ELECTRICITY","TOT","GWH","A","1986",119102,
"AUS","ELECTRICITY","TOT","GWH","A","1987",125291,
"AUS","ELECTRICITY","TOT","GWH","A","1988",131163,
"AUS","ELECTRICITY","TOT","GWH","A","1989",139174,
"AUS","ELECTRICITY","TOT","GWH","A","1990",144926,
"AUS","ELECTRICITY","TOT","GWH","A","1991",147121,
"AUS","ELECTRICITY","TOT","GWH","A","1992",149306,
"AUS","ELECTRICITY","TOT","GWH","A","1993",153420,
"AUS","ELECTRICITY","TOT","GWH","A","1994",157232,
"AUS","ELECTRICITY","TOT","GWH","A","1995",162402,
"AUS","ELECTRICITY","TOT","GWH","A","1996",166640,
"AUS","ELECTRICITY","TOT","GWH","A","1997",171912,
"AUS","ELECTRICITY","TOT","GWH","A","1998",183015,
"AUS","ELECTRICITY","TOT","GWH","A","1999",190064,
"AUS","ELECTRICITY","TOT","GWH","A","2000",195402,
"AUS","ELECTRICITY","TOT","GWH","A","2001",206772,
"AUS","ELECTRICITY","TOT","GWH","A","2002",213004,
"AUS","ELECTRICITY","TOT","GWH","A","2003",208673,
"AUS","ELECTRICITY","TOT","GWH","A","2004",215985,
"AUS","ELECTRICITY","TOT","GWH","A","2005",214526,
"AUS","ELECTRICITY","TOT","GWH","A","2006",218390,
"AUS","ELECTRICITY","TOT","GWH","A","2007",227066,
"AUS","ELECTRICITY","TOT","GWH","A","2008",228073,
"AUS","ELECTRICITY","TOT","GWH","A","2009",232142,
"AUS","ELECTRICITY","TOT","GWH","A","2010",235929,
"AUS","ELECTRICITY","TOT","GWH","A","2011",236614,
"AUS","ELECTRICITY","TOT","GWH","A","2012",234930,
"AUS","ELECTRICITY","TOT","GWH","A","2013",232885,
"AUS","ELECTRICITY","TOT","GWH","A","2014",,"L"
"AUT","ELECTRICITY","TOT","GWH","A","1960",0,
"AUT","ELECTRICITY","TOT","GWH","A","1961",0,
"AUT","ELECTRICITY","TOT","GWH","A","1962",0,
"AUT","ELECTRICITY","TOT","GWH","A","1963",0,
"AUT","ELECTRICITY","TOT","GWH","A","1964",0,
"AUT","ELECTRICITY","TOT","GWH","A","1965",0,
"AUT","ELECTRICITY","TOT","GWH","A","1966",0,
"AUT","ELECTRICITY","TOT","GWH","A","1967",0,
"AUT","ELECTRICITY","TOT","GWH","A","1968",0,
"AUT","ELECTRICITY","TOT","GWH","A","1969",0,
"AUT","ELECTRICITY","TOT","GWH","A","1970",0,
"AUT","ELECTRICITY","TOT","GWH","A","1971",0,
"AUT","ELECTRICITY","TOT","GWH","A","1972",0,
"AUT","ELECTRICITY","TOT","GWH","A","1973",0,
"AUT","ELECTRICITY","TOT","GWH","A","1974",32876,
"AUT","ELECTRICITY","TOT","GWH","A","1975",34137,
"AUT","ELECTRICITY","TOT","GWH","A","1976",34084,
"AUT","ELECTRICITY","TOT","GWH","A","1977",36552,
"AUT","ELECTRICITY","TOT","GWH","A","1978",36929,
"AUT","ELECTRICITY","TOT","GWH","A","1979",39504,
"AUT","ELECTRICITY","TOT","GWH","A","1980",40784,
"AUT","ELECTRICITY","TOT","GWH","A","1981",41613,
"AUT","ELECTRICITY","TOT","GWH","A","1982",41614,
"AUT","ELECTRICITY","TOT","GWH","A","1983",41305,
"AUT","ELECTRICITY","TOT","GWH","A","1984",41156,
"AUT","ELECTRICITY","TOT","GWH","A","1985",43225,
"AUT","ELECTRICITY","TOT","GWH","A","1986",43447,
"AUT","ELECTRICITY","TOT","GWH","A","1987",49182,
"AUT","ELECTRICITY","TOT","GWH","A","1988",47972,
"AUT","ELECTRICITY","TOT","GWH","A","1989",48972,
"AUT","ELECTRICITY","TOT","GWH","A","1990",48376,
"AUT","ELECTRICITY","TOT","GWH","A","1991",49499,
"AUT","ELECTRICITY","TOT","GWH","A","1992",49372,
"AUT","ELECTRICITY","TOT","GWH","A","1993",51184,
"AUT","ELECTRICITY","TOT","GWH","A","1994",51992,
"AUT","ELECTRICITY","TOT","GWH","A","1995",54943,
"AUT","ELECTRICITY","TOT","GWH","A","1996",53155,
"AUT","ELECTRICITY","TOT","GWH","A","1997",55142,
"AUT","ELECTRICITY","TOT","GWH","A","1998",55511,
"AUT","ELECTRICITY","TOT","GWH","A","1999",58550,
"AUT","ELECTRICITY","TOT","GWH","A","2000",59054,
"AUT","ELECTRICITY","TOT","GWH","A","2001",60111,
"AUT","ELECTRICITY","TOT","GWH","A","2002",59937,
"AUT","ELECTRICITY","TOT","GWH","A","2003",57413,
"AUT","ELECTRICITY","TOT","GWH","A","2004",61387,
"AUT","ELECTRICITY","TOT","GWH","A","2005",63547,
"AUT","ELECTRICITY","TOT","GWH","A","2006",62174,
"AUT","ELECTRICITY","TOT","GWH","A","2007",63152,
"AUT","ELECTRICITY","TOT","GWH","A","2008",64620,
"AUT","ELECTRICITY","TOT","GWH","A","2009",67614,
"AUT","ELECTRICITY","TOT","GWH","A","2010",69261,
"AUT","ELECTRICITY","TOT","GWH","A","2011",63776,
"AUT","ELECTRICITY","TOT","GWH","A","2012",70500,
"AUT","ELECTRICITY","TOT","GWH","A","2013",65861,
"AUT","ELECTRICITY","TOT","GWH","A","2014",,"L"
"BEL","ELECTRICITY","TOT","GWH","A","1960",0,
"BEL","ELECTRICITY","TOT","GWH","A","1961",0,
"BEL","ELECTRICITY","TOT","GWH","A","1962",0,
"BEL","ELECTRICITY","TOT","GWH","A","1963",0,
"BEL","ELECTRICITY","TOT","GWH","A","1964",0,
"BEL","ELECTRICITY","TOT","GWH","A","1965",0,
"BEL","ELECTRICITY","TOT","GWH","A","1966",0,
"BEL","ELECTRICITY","TOT","GWH","A","1967",0,
"BEL","ELECTRICITY","TOT","GWH","A","1968",0,
"BEL","ELECTRICITY","TOT","GWH","A","1969",0,
"BEL","ELECTRICITY","TOT","GWH","A","1970",0,
"BEL","ELECTRICITY","TOT","GWH","A","1971",0,
"BEL","ELECTRICITY","TOT","GWH","A","1972",0,
"BEL","ELECTRICITY","TOT","GWH","A","1973",0,
"BEL","ELECTRICITY","TOT","GWH","A","1974",40764,
"BEL","ELECTRICITY","TOT","GWH","A","1975",38934,
"BEL","ELECTRICITY","TOT","GWH","A","1976",45000,
"BEL","ELECTRICITY","TOT","GWH","A","1977",44774,
"BEL","ELECTRICITY","TOT","GWH","A","1978",48356,
"BEL","ELECTRICITY","TOT","GWH","A","1979",49648,
"BEL","ELECTRICITY","TOT","GWH","A","1980",51015,
"BEL","ELECTRICITY","TOT","GWH","A","1981",48180,
"BEL","ELECTRICITY","TOT","GWH","A","1982",47936,
"BEL","ELECTRICITY","TOT","GWH","A","1983",49927,
"BEL","ELECTRICITY","TOT","GWH","A","1984",51850,
"BEL","ELECTRICITY","TOT","GWH","A","1985",54184,
"BEL","ELECTRICITY","TOT","GWH","A","1986",55504,
"BEL","ELECTRICITY","TOT","GWH","A","1987",59999,
"BEL","ELECTRICITY","TOT","GWH","A","1988",61913,
"BEL","ELECTRICITY","TOT","GWH","A","1989",63972,
"BEL","ELECTRICITY","TOT","GWH","A","1990",67266,
"BEL","ELECTRICITY","TOT","GWH","A","1991",68118,
"BEL","ELECTRICITY","TOT","GWH","A","1992",68348,
"BEL","ELECTRICITY","TOT","GWH","A","1993",67097,
"BEL","ELECTRICITY","TOT","GWH","A","1994",68509,
"BEL","ELECTRICITY","TOT","GWH","A","1995",70612,
"BEL","ELECTRICITY","TOT","GWH","A","1996",72315,
"BEL","ELECTRICITY","TOT","GWH","A","1997",75023,
"BEL","ELECTRICITY","TOT","GWH","A","1998",79436,
"BEL","ELECTRICITY","TOT","GWH","A","1999",80844,
"BEL","ELECTRICITY","TOT","GWH","A","2000",80266,
"BEL","ELECTRICITY","TOT","GWH","A","2001",76216,
"BEL","ELECTRICITY","TOT","GWH","A","2002",78147,
"BEL","ELECTRICITY","TOT","GWH","A","2003",80858,
"BEL","ELECTRICITY","TOT","GWH","A","2004",81730,
"BEL","ELECTRICITY","TOT","GWH","A","2005",83396,
"BEL","ELECTRICITY","TOT","GWH","A","2006",81977,
"BEL","ELECTRICITY","TOT","GWH","A","2007",85098,
"BEL","ELECTRICITY","TOT","GWH","A","2008",81384,
"BEL","ELECTRICITY","TOT","GWH","A","2009",87523,
"BEL","ELECTRICITY","TOT","GWH","A","2010",91436,
"BEL","ELECTRICITY","TOT","GWH","A","2011",86729,
"BEL","ELECTRICITY","TOT","GWH","A","2012",79946,
"BEL","ELECTRICITY","TOT","GWH","A","2013",80193,
"BEL","ELECTRICITY","TOT","GWH","A","2014",,"L"
"CAN","ELECTRICITY","TOT","GWH","A","1960",0,
