"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"AUT","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"BEL","NUCLEARPLANT","TOT","NBR","A","2012",7,
"CAN","NUCLEARPLANT","TOT","NBR","A","2012",19,
"CZE","NUCLEARPLANT","TOT","NBR","A","2012",6,
"DNK","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"FIN","NUCLEARPLANT","TOT","NBR","A","2012",4,
"FRA","NUCLEARPLANT","TOT","NBR","A","2012",58,
"DEU","NUCLEARPLANT","TOT","NBR","A","2012",9,
"GRC","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"HUN","NUCLEARPLANT","TOT","NBR","A","2012",4,
"ISL","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"IRL","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"ITA","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"JPN","NUCLEARPLANT","TOT","NBR","A","2012",50,
"KOR","NUCLEARPLANT","TOT","NBR","A","2012",23,
"LUX","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"MEX","NUCLEARPLANT","TOT","NBR","A","2012",2,
"NLD","NUCLEARPLANT","TOT","NBR","A","2012",1,
"NZL","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"NOR","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"POL","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"PRT","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"SVK","NUCLEARPLANT","TOT","NBR","A","2012",4,
"ESP","NUCLEARPLANT","TOT","NBR","A","2012",8,
"SWE","NUCLEARPLANT","TOT","NBR","A","2012",10,
"CHE","NUCLEARPLANT","TOT","NBR","A","2012",5,
"TUR","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"GBR","NUCLEARPLANT","TOT","NBR","A","2012",16,
"USA","NUCLEARPLANT","TOT","NBR","A","2012",102,
"BRA","NUCLEARPLANT","TOT","NBR","A","2012",2,
"CHL","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"CHN","NUCLEARPLANT","TOT","NBR","A","2012",17,
"EST","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"IND","NUCLEARPLANT","TOT","NBR","A","2012",20,
"ISR","NUCLEARPLANT","TOT","NBR","A","2012",0,"Z"
"RUS","NUCLEARPLANT","TOT","NBR","A","2012",33,
"SVN","NUCLEARPLANT","TOT","NBR","A","2012",1,
"ZAF","NUCLEARPLANT","TOT","NBR","A","2012",2,
"WLD","NUCLEARPLANT","TOT","NBR","A","2012",435,
"EU27","NUCLEARPLANT","TOT","NBR","A","2012",132,
"OECD","NUCLEARPLANT","TOT","NBR","A","2012",329,
"EU28","NUCLEARPLANT","TOT","NBR","A","2012",132,
