"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","TOT","KTOE","A","1960",31482.545,
"AUS","RENEWABLE","TOT","KTOE","A","1961",32662.796,
"AUS","RENEWABLE","TOT","KTOE","A","1962",34084.096,
"AUS","RENEWABLE","TOT","KTOE","A","1963",35960.358,
"AUS","RENEWABLE","TOT","KTOE","A","1964",37402.908,
"AUS","RENEWABLE","TOT","KTOE","A","1965",39439.099,
"AUS","RENEWABLE","TOT","KTOE","A","1966",41320.714,
"AUS","RENEWABLE","TOT","KTOE","A","1967",43571.441,
"AUS","RENEWABLE","TOT","KTOE","A","1968",45196.573,
"AUS","RENEWABLE","TOT","KTOE","A","1969",46512.759,
"AUS","RENEWABLE","TOT","KTOE","A","1970",50821.086,
"AUS","RENEWABLE","TOT","KTOE","A","1971",51613.84,
"AUS","RENEWABLE","TOT","KTOE","A","1972",53171.914,
"AUS","RENEWABLE","TOT","KTOE","A","1973",57055.949,
"AUS","RENEWABLE","TOT","KTOE","A","1974",58928.78,
"AUS","RENEWABLE","TOT","KTOE","A","1975",60377.192,
"AUS","RENEWABLE","TOT","KTOE","A","1976",61825.23,
"AUS","RENEWABLE","TOT","KTOE","A","1977",66293.609,
"AUS","RENEWABLE","TOT","KTOE","A","1978",66472.062,
"AUS","RENEWABLE","TOT","KTOE","A","1979",67981.445,
"AUS","RENEWABLE","TOT","KTOE","A","1980",69603.086,
"AUS","RENEWABLE","TOT","KTOE","A","1981",70077.435,
"AUS","RENEWABLE","TOT","KTOE","A","1982",73119.856,
"AUS","RENEWABLE","TOT","KTOE","A","1983",70008.042,
"AUS","RENEWABLE","TOT","KTOE","A","1984",72306.218,
"AUS","RENEWABLE","TOT","KTOE","A","1985",72533.389,
"AUS","RENEWABLE","TOT","KTOE","A","1986",74064.902,
"AUS","RENEWABLE","TOT","KTOE","A","1987",77617.356,
"AUS","RENEWABLE","TOT","KTOE","A","1988",77748.318,
"AUS","RENEWABLE","TOT","KTOE","A","1989",84090.548,
"AUS","RENEWABLE","TOT","KTOE","A","1990",86375.148,
"AUS","RENEWABLE","TOT","KTOE","A","1991",85171.777,
"AUS","RENEWABLE","TOT","KTOE","A","1992",86761.465,
"AUS","RENEWABLE","TOT","KTOE","A","1993",90941.53,
"AUS","RENEWABLE","TOT","KTOE","A","1994",90878.182,
"AUS","RENEWABLE","TOT","KTOE","A","1995",92695.33,
"AUS","RENEWABLE","TOT","KTOE","A","1996",98761.855,
"AUS","RENEWABLE","TOT","KTOE","A","1997",101280.583,
"AUS","RENEWABLE","TOT","KTOE","A","1998",103914.41,
"AUS","RENEWABLE","TOT","KTOE","A","1999",106181.384,
"AUS","RENEWABLE","TOT","KTOE","A","2000",108100.776,
"AUS","RENEWABLE","TOT","KTOE","A","2001",105742.091,
"AUS","RENEWABLE","TOT","KTOE","A","2002",109451.243,
"AUS","RENEWABLE","TOT","KTOE","A","2003",110792.806,
"AUS","RENEWABLE","TOT","KTOE","A","2004",112674.96,
"AUS","RENEWABLE","TOT","KTOE","A","2005",113478.445,
"AUS","RENEWABLE","TOT","KTOE","A","2006",118171.03,
"AUS","RENEWABLE","TOT","KTOE","A","2007",122223.586,
"AUS","RENEWABLE","TOT","KTOE","A","2008",126743.545,
"AUS","RENEWABLE","TOT","KTOE","A","2009",127168.718,
"AUS","RENEWABLE","TOT","KTOE","A","2010",124450.671,
"AUS","RENEWABLE","TOT","KTOE","A","2011",125964.208,
"AUS","RENEWABLE","TOT","KTOE","A","2012",126337.487,
"AUS","RENEWABLE","TOT","KTOE","A","2013",129141.347,
"AUS","RENEWABLE","TOT","KTOE","A","2014",128694.573,
"AUT","RENEWABLE","TOT","KTOE","A","1960",10897.338,
