"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1970",24808,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1971",26530,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1972",26977,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1973",28470,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1974",31770,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1975",33110,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1976",35020,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1977",38260,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1978",39560,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1979",43120,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1980",48200,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1981",53290,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1982",57710,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1983",58160,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1984",61950,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1985",67740,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1986",73510,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1987",74320,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1988",80220,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1989",86730,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1990",91890,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1991",89140,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1992",87760,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1993",92200,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1994",95770,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1995",104870,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1996",111270,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1997",115540,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1998",125190,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1999",131480,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2000",136760,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2001",138250,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2002",143660,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2003",150560,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2004",157820,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2005",164080,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2006",169640,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2007",177480,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2008",185900,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2009",181550,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2010",185410,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2011",191160,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2012",199250,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2013",203590,
"AUS","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","2014",210600,
"AUT","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1970",2864,
"AUT","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1971",3103,
"AUT","FREIGHTTRANSP","ROAD","MLN_TONNEKM","A","1972",3513,
