"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFRAINVEST","ROAD","EUR","A","1995",2423916124,
"AUS","INFRAINVEST","ROAD","EUR","A","1996",2923086405,
"AUS","INFRAINVEST","ROAD","EUR","A","1997",3331151832,
"AUS","INFRAINVEST","ROAD","EUR","A","1998",3528521798,
"AUS","INFRAINVEST","ROAD","EUR","A","1999",3930236783,
"AUS","INFRAINVEST","ROAD","EUR","A","2000",3701466239,
"AUS","INFRAINVEST","ROAD","EUR","A","2001",3264551182,
"AUS","INFRAINVEST","ROAD","EUR","A","2002",3434938229,
"AUS","INFRAINVEST","ROAD","EUR","A","2003",4088610505,
"AUS","INFRAINVEST","ROAD","EUR","A","2004",5195451315,
"AUS","INFRAINVEST","ROAD","EUR","A","2005",6748541603,
"AUS","INFRAINVEST","ROAD","EUR","A","2006",6976409148,
"AUS","INFRAINVEST","ROAD","EUR","A","2007",8027755701,
"AUS","INFRAINVEST","ROAD","EUR","A","2008",9287064078,
"AUS","INFRAINVEST","ROAD","EUR","A","2009",9196609028,
"AUS","INFRAINVEST","ROAD","EUR","A","2010",11200997368,
"AUS","INFRAINVEST","ROAD","EUR","A","2011",13805743118,
"AUS","INFRAINVEST","ROAD","EUR","A","2012",15895720848,
"AUS","INFRAINVEST","ROAD","EUR","A","2013",12938268014,
"AUT","INFRAINVEST","ROAD","EUR","A","1995",456748763,
"AUT","INFRAINVEST","ROAD","EUR","A","1996",425644790,
"AUT","INFRAINVEST","ROAD","EUR","A","1997",365000000,
"AUT","INFRAINVEST","ROAD","EUR","A","1998",430000000,
"AUT","INFRAINVEST","ROAD","EUR","A","1999",391000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2000",475000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2001",640000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2002",532100000,
"AUT","INFRAINVEST","ROAD","EUR","A","2003",649900000,
"AUT","INFRAINVEST","ROAD","EUR","A","2004",719700000,
"AUT","INFRAINVEST","ROAD","EUR","A","2005",687008920,
"AUT","INFRAINVEST","ROAD","EUR","A","2006",801968070,
"AUT","INFRAINVEST","ROAD","EUR","A","2007",869903070,
"AUT","INFRAINVEST","ROAD","EUR","A","2008",874503000,
"AUT","INFRAINVEST","ROAD","EUR","A","2009",664985000,
"AUT","INFRAINVEST","ROAD","EUR","A","2010",390000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2011",303000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2012",327000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2013",363000000,
"BEL","INFRAINVEST","ROAD","EUR","A","1995",1069338298,
"BEL","INFRAINVEST","ROAD","EUR","A","1996",987161594,
"BEL","INFRAINVEST","ROAD","EUR","A","1997",954018230,
"BEL","INFRAINVEST","ROAD","EUR","A","1998",1133747008,
"BEL","INFRAINVEST","ROAD","EUR","A","1999",1253137959,
"BEL","INFRAINVEST","ROAD","EUR","A","2000",1299757798,
"BEL","INFRAINVEST","ROAD","EUR","A","2001",1173110000,
"BEL","INFRAINVEST","ROAD","EUR","A","2002",995290000,
"BEL","INFRAINVEST","ROAD","EUR","A","2003",1118270000,
"BEL","INFRAINVEST","ROAD","EUR","A","2004",1431721118,
"BEL","INFRAINVEST","ROAD","EUR","A","2005",1561788043,
"BEL","INFRAINVEST","ROAD","EUR","A","2006",1508420656,
"BEL","INFRAINVEST","ROAD","EUR","A","2007",1281053808,
"BEL","INFRAINVEST","ROAD","EUR","A","2008",1431874838,
