"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PASSCAR","TOT","PC_CHG","A","1956",-14.8691767708998,
"AUS","PASSCAR","TOT","PC_CHG","A","1957",6.2968515742129,
"AUS","PASSCAR","TOT","PC_CHG","A","1958",12.8349788434415,
"AUS","PASSCAR","TOT","PC_CHG","A","1959",12.0625,
"AUS","PASSCAR","TOT","PC_CHG","A","1960",24.0379252649191,
"AUS","PASSCAR","TOT","PC_CHG","A","1961",-22.6169064748201,
"AUS","PASSCAR","TOT","PC_CHG","A","1962",41.5456130156886,
"AUS","PASSCAR","TOT","PC_CHG","A","1963",15.1888341543514,
"AUS","PASSCAR","TOT","PC_CHG","A","1964",7.9472558802566,
"AUS","PASSCAR","TOT","PC_CHG","A","1965",0.297127764938929,
"AUS","PASSCAR","TOT","PC_CHG","A","1966",-7.57077024358131,
"AUS","PASSCAR","TOT","PC_CHG","A","1967",9.50854700854701,
"AUS","PASSCAR","TOT","PC_CHG","A","1968",9.20325203252031,
"AUS","PASSCAR","TOT","PC_CHG","A","1969",9.02322811197141,
"AUS","PASSCAR","TOT","PC_CHG","A","1970",3.19584812892653,
"AUS","PASSCAR","TOT","PC_CHG","A","1971",1.27051349920593,
"AUS","PASSCAR","TOT","PC_CHG","A","1972",-2.87506534239413,
"AUS","PASSCAR","TOT","PC_CHG","A","1973",12.7287405812702,
"AUS","PASSCAR","TOT","PC_CHG","A","1974",3.55693482931486,
"AUS","PASSCAR","TOT","PC_CHG","A","1975",-0.57630244352237,
"AUS","PASSCAR","TOT","PC_CHG","A","1976",-1.04335729190817,
"AUS","PASSCAR","TOT","PC_CHG","A","1977",-7.68509840674788,
"AUS","PASSCAR","TOT","PC_CHG","A","1978",5,
"AUS","PASSCAR","TOT","PC_CHG","A","1979",1.78873579888807,
"AUS","PASSCAR","TOT","PC_CHG","A","1980",-2.04227024459747,
"AUS","PASSCAR","TOT","PC_CHG","A","1981",2.54545454545453,
"AUS","PASSCAR","TOT","PC_CHG","A","1982",3.54609929078015,
"AUS","PASSCAR","TOT","PC_CHG","A","1983",-9.79452054794521,
"AUS","PASSCAR","TOT","PC_CHG","A","1984",11.5666919767148,
"AUS","PASSCAR","TOT","PC_CHG","A","1985",9.89110707803991,
"AUS","PASSCAR","TOT","PC_CHG","A","1986",-22.1924029727498,
"AUS","PASSCAR","TOT","PC_CHG","A","1987",-10.2679755903423,
"AUS","PASSCAR","TOT","PC_CHG","A","1988",12.8326434062685,
"AUS","PASSCAR","TOT","PC_CHG","A","1989",11.3207547169811,
"AUS","PASSCAR","TOT","PC_CHG","A","1990",4.99058380414311,
"AUS","PASSCAR","TOT","PC_CHG","A","1991",-14.6412556053812,
"AUS","PASSCAR","TOT","PC_CHG","A","1992",8.4581034935645,
"AUS","PASSCAR","TOT","PC_CHG","A","1993",0.72656817631387,
"AUS","PASSCAR","TOT","PC_CHG","A","1994",10.764125991825,
"AUS","PASSCAR","TOT","PC_CHG","A","1995",6.0138755025311,
"AUS","PASSCAR","TOT","PC_CHG","A","1996",0.75475252471477,
"AUS","PASSCAR","TOT","PC_CHG","A","1997",9.81489986952757,
"AUS","PASSCAR","TOT","PC_CHG","A","1998",8.14412060264308,
"AUS","PASSCAR","TOT","PC_CHG","A","1999",-6.29543432130878,
"AUS","PASSCAR","TOT","PC_CHG","A","2000",1.11419137574602,
"AUS","PASSCAR","TOT","PC_CHG","A","2001",-4.37460378237697,
"AUS","PASSCAR","TOT","PC_CHG","A","2002",2.03757847736906,
"AUS","PASSCAR","TOT","PC_CHG","A","2003",8.93510291722197,
"AUS","PASSCAR","TOT","PC_CHG","A","2004",0.250462608175538,
"AUS","PASSCAR","TOT","PC_CHG","A","2005",3.1897421120876,
"AUS","PASSCAR","TOT","PC_CHG","A","2006",-1.70990992174821,
"AUS","PASSCAR","TOT","PC_CHG","A","2007",6.44575313255145,
"AUS","PASSCAR","TOT","PC_CHG","A","2008",-6.31102179868595,
"AUS","PASSCAR","TOT","PC_CHG","A","2009",-9.41809687549223,
"AUS","PASSCAR","TOT","PC_CHG","A","2010",9.53822133261309,
"AUS","PASSCAR","TOT","PC_CHG","A","2011",-5.5056221521916,
"AUS","PASSCAR","TOT","PC_CHG","A","2012",3.09782278444815,
"AUS","PASSCAR","TOT","PC_CHG","A","2013",-1.80305276022571,
"AUS","PASSCAR","TOT","PC_CHG","A","2014",-6.15266199903259,
"AUS","PASSCAR","TOT","PC_CHG","A","2015",-2.99453350438861,
"AUT","PASSCAR","TOT","PC_CHG","A","1958",14.3638980418892,
