"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1970",104210,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1971",109610,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1972",116155,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1973",120295,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1974",127763,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1975",132702,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1976",137556,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1977",143460,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1978",148119,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1979",152121,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1980",153100,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1981",155862,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1982",163514,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1983",165269,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1984",173553,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1985",180960,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1986",187059,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1987",191817,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1988",201493,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1989",211278,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1990",217788,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1991",217530,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1992",221079,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1993",227321,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1994",232459,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1995",238968,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1996",242632,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1997",244109,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1998",246486,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","1999",251924,
"AUS","PASSTRANSP","ROAD","MLN_PKM","A","2000",256811,
