"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVN","ROADACCID","DEATH","NBR","A","1970",620,
"SVN","ROADACCID","DEATH","NBR","A","1971",644,
"SVN","ROADACCID","DEATH","NBR","A","1972",625,
"SVN","ROADACCID","DEATH","NBR","A","1973",701,
"SVN","ROADACCID","DEATH","NBR","A","1974",557,
"SVN","ROADACCID","DEATH","NBR","A","1975",596,
"SVN","ROADACCID","DEATH","NBR","A","1976",587,
"SVN","ROADACCID","DEATH","NBR","A","1977",680,
"SVN","ROADACCID","DEATH","NBR","A","1978",729,
"SVN","ROADACCID","DEATH","NBR","A","1979",735,
"SVN","ROADACCID","DEATH","NBR","A","1980",558,
"SVN","ROADACCID","DEATH","NBR","A","1981",565,
"SVN","ROADACCID","DEATH","NBR","A","1982",569,
"SVN","ROADACCID","DEATH","NBR","A","1983",527,
"SVN","ROADACCID","DEATH","NBR","A","1984",492,
"SVN","ROADACCID","DEATH","NBR","A","1985",464,
"SVN","ROADACCID","DEATH","NBR","A","1986",504,
"SVN","ROADACCID","DEATH","NBR","A","1987",558,
"SVN","ROADACCID","DEATH","NBR","A","1988",551,
"SVN","ROADACCID","DEATH","NBR","A","1989",554,
"SVN","ROADACCID","DEATH","NBR","A","1990",517,
"SVN","ROADACCID","DEATH","NBR","A","1991",462,
"SVN","ROADACCID","DEATH","NBR","A","1992",492,
"SVN","ROADACCID","DEATH","NBR","A","1993",493,
"SVN","ROADACCID","DEATH","NBR","A","1994",505,
"SVN","ROADACCID","DEATH","NBR","A","1995",415,
"SVN","ROADACCID","DEATH","NBR","A","1996",389,
"SVN","ROADACCID","DEATH","NBR","A","1997",357,
"SVN","ROADACCID","DEATH","NBR","A","1998",309,
"SVN","ROADACCID","DEATH","NBR","A","1999",334,
"SVN","ROADACCID","DEATH","NBR","A","2000",313,
"SVN","ROADACCID","DEATH","NBR","A","2001",278,
"SVN","ROADACCID","DEATH","NBR","A","2002",268,
"SVN","ROADACCID","DEATH","NBR","A","2003",242,
"SVN","ROADACCID","DEATH","NBR","A","2004",274,
"SVN","ROADACCID","DEATH","NBR","A","2005",258,
"SVN","ROADACCID","DEATH","NBR","A","2006",262,
"SVN","ROADACCID","DEATH","NBR","A","2007",293,
"SVN","ROADACCID","DEATH","NBR","A","2008",214,
"SVN","ROADACCID","DEATH","NBR","A","2009",171,
"SVN","ROADACCID","DEATH","NBR","A","2010",138,
"SVN","ROADACCID","DEATH","NBR","A","2011",141,
"SVN","ROADACCID","DEATH","NBR","A","2012",130,
"SVN","ROADACCID","DEATH","NBR","A","2013",125,
"SVN","ROADACCID","DEATH","NBR","A","2014",108,
"LUX","ROADACCID","DEATH","1000000HAB","A","1970",388.6,
"LUX","ROADACCID","DEATH","1000000HAB","A","1971",251.3,
"LUX","ROADACCID","DEATH","1000000HAB","A","1972",310,
"LUX","ROADACCID","DEATH","1000000HAB","A","1973",310.2,
"LUX","ROADACCID","DEATH","1000000HAB","A","1974",361.6,
"LUX","ROADACCID","DEATH","1000000HAB","A","1975",350.3,
"LUX","ROADACCID","DEATH","1000000HAB","A","1976",280.5,
"LUX","ROADACCID","DEATH","1000000HAB","A","1977",306.4,
"LUX","ROADACCID","DEATH","1000000HAB","A","1978",282.5,
"LUX","ROADACCID","DEATH","1000000HAB","A","1979",248.1,
"LUX","ROADACCID","DEATH","1000000HAB","A","1980",269.2,
"LUX","ROADACCID","DEATH","1000000HAB","A","1981",274.1,
"LUX","ROADACCID","DEATH","1000000HAB","A","1982",205.4,
"LUX","ROADACCID","DEATH","1000000HAB","A","1983",232.7,
"LUX","ROADACCID","DEATH","1000000HAB","A","1984",191.4,
"LUX","ROADACCID","DEATH","1000000HAB","A","1985",215.3,
"LUX","ROADACCID","DEATH","1000000HAB","A","1986",214.3,
"LUX","ROADACCID","DEATH","1000000HAB","A","1987",183.2,
"LUX","ROADACCID","DEATH","1000000HAB","A","1988",224.5,
"LUX","ROADACCID","DEATH","1000000HAB","A","1989",174.7,
"LUX","ROADACCID","DEATH","1000000HAB","A","1990",186,
"LUX","ROADACCID","DEATH","1000000HAB","A","1991",214.8,
"LUX","ROADACCID","DEATH","1000000HAB","A","1992",176.3,
"LUX","ROADACCID","DEATH","1000000HAB","A","1993",196.6,
"LUX","ROADACCID","DEATH","1000000HAB","A","1994",163.8,
"LUX","ROADACCID","DEATH","1000000HAB","A","1995",171.3,
"LUX","ROADACCID","DEATH","1000000HAB","A","1996",171.4,
"LUX","ROADACCID","DEATH","1000000HAB","A","1997",143,
"LUX","ROADACCID","DEATH","1000000HAB","A","1998",134.2,
"LUX","ROADACCID","DEATH","1000000HAB","A","1999",134.7,
"LUX","ROADACCID","DEATH","1000000HAB","A","2000",174.2,
"LUX","ROADACCID","DEATH","1000000HAB","A","2001",158.5,
"LUX","ROADACCID","DEATH","1000000HAB","A","2002",139,
"LUX","ROADACCID","DEATH","1000000HAB","A","2003",117.4,
"LUX","ROADACCID","DEATH","1000000HAB","A","2004",109.1,
"LUX","ROADACCID","DEATH","1000000HAB","A","2005",101,
"LUX","ROADACCID","DEATH","1000000HAB","A","2006",91,
"LUX","ROADACCID","DEATH","1000000HAB","A","2007",95.8,
"LUX","ROADACCID","DEATH","1000000HAB","A","2008",71.6,
"LUX","ROADACCID","DEATH","1000000HAB","A","2009",96.4,
"LUX","ROADACCID","DEATH","1000000HAB","A","2010",63.1,
"LUX","ROADACCID","DEATH","1000000HAB","A","2011",63.7,"E"
"LUX","ROADACCID","DEATH","1000000HAB","A","2012",64,"E"
"LUX","ROADACCID","DEATH","1000000HAB","A","2013",82.8,"P"
"GBR","ROADACCID","DEATH","1000000HAB","A","1970",139.7,
"GBR","ROADACCID","DEATH","1000000HAB","A","1971",143.4,
"GBR","ROADACCID","DEATH","1000000HAB","A","1972",145.4,
"GBR","ROADACCID","DEATH","1000000HAB","A","1973",138,
"GBR","ROADACCID","DEATH","1000000HAB","A","1974",128.2,
"GBR","ROADACCID","DEATH","1000000HAB","A","1975",118.8,
