"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HOMECOMP","TOT","PC_HH","A","2006",84.97,
"DNK","HOMECOMP","TOT","PC_HH","A","2010",88.02,
"DNK","HOMECOMP","TOT","PC_HH","A","2011",90.44,
"DNK","HOMECOMP","TOT","PC_HH","A","2012",92.26,
"DEU","HOMECOMP","TOT","PC_HH","A","2006",76.86,
"DEU","HOMECOMP","TOT","PC_HH","A","2010",85.74,
"DEU","HOMECOMP","TOT","PC_HH","A","2011",86.86,
"DEU","HOMECOMP","TOT","PC_HH","A","2012",87.1,
"ISL","HOMECOMP","TOT","PC_HH","A","2006",84.61,
"ISL","HOMECOMP","TOT","PC_HH","A","2010",93.06,
"ISL","HOMECOMP","TOT","PC_HH","A","2011",94.66,
"ISL","HOMECOMP","TOT","PC_HH","A","2012",95.52,
"JPN","HOMECOMP","TOT","PC_HH","A","2006",80.8,
"JPN","HOMECOMP","TOT","PC_HH","A","2010",83.4,
"JPN","HOMECOMP","TOT","PC_HH","A","2011",80,
"JPN","HOMECOMP","TOT","PC_HH","A","2012",77.9,
"CZE","HOMECOMP","TOT","PC_HH","A","2006",39.04,
"CZE","HOMECOMP","TOT","PC_HH","A","2010",64.06,
"CZE","HOMECOMP","TOT","PC_HH","A","2011",69.9,
"CZE","HOMECOMP","TOT","PC_HH","A","2012",67.29,
"FRA","HOMECOMP","TOT","PC_HH","A","2010",76.45,
"FRA","HOMECOMP","TOT","PC_HH","A","2011",78.18,
"FRA","HOMECOMP","TOT","PC_HH","A","2012",81.01,
"HUN","HOMECOMP","TOT","PC_HH","A","2006",49.63,
"HUN","HOMECOMP","TOT","PC_HH","A","2010",66.44,
"HUN","HOMECOMP","TOT","PC_HH","A","2011",69.65,
"HUN","HOMECOMP","TOT","PC_HH","A","2012",71.43,
"SVN","HOMECOMP","TOT","PC_HH","A","2006",65.26,
"SVN","HOMECOMP","TOT","PC_HH","A","2010",70.46,
"SVN","HOMECOMP","TOT","PC_HH","A","2011",74.44,
"SVN","HOMECOMP","TOT","PC_HH","A","2012",76.1,
"AUT","HOMECOMP","TOT","PC_HH","A","2006",67.07,
"AUT","HOMECOMP","TOT","PC_HH","A","2010",76.19,
"AUT","HOMECOMP","TOT","PC_HH","A","2011",78.07,
"AUT","HOMECOMP","TOT","PC_HH","A","2012",81.3,
"POL","HOMECOMP","TOT","PC_HH","A","2006",45.41,
"POL","HOMECOMP","TOT","PC_HH","A","2010",69.02,
"POL","HOMECOMP","TOT","PC_HH","A","2011",71.31,
"POL","HOMECOMP","TOT","PC_HH","A","2012",73.37,
"ESP","HOMECOMP","TOT","PC_HH","A","2006",57.22,
"ESP","HOMECOMP","TOT","PC_HH","A","2010",68.72,
"ESP","HOMECOMP","TOT","PC_HH","A","2011",71.54,
"ESP","HOMECOMP","TOT","PC_HH","A","2012",73.91,
"TUR","HOMECOMP","TOT","PC_HH","A","2006",0,
"TUR","HOMECOMP","TOT","PC_HH","A","2010",44.23,
"CHL","HOMECOMP","TOT","PC_HH","A","2006",34.5,
"CHL","HOMECOMP","TOT","PC_HH","A","2010",43.9,
"CHL","HOMECOMP","TOT","PC_HH","A","2012",68.27844113,
"GRC","HOMECOMP","TOT","PC_HH","A","2006",36.7,
"GRC","HOMECOMP","TOT","PC_HH","A","2010",53.39,
"GRC","HOMECOMP","TOT","PC_HH","A","2011",57.24,
"GRC","HOMECOMP","TOT","PC_HH","A","2012",56.79,
"IRL","HOMECOMP","TOT","PC_HH","A","2006",58.57,
"IRL","HOMECOMP","TOT","PC_HH","A","2010",76.46,
"IRL","HOMECOMP","TOT","PC_HH","A","2011",80.56,
"IRL","HOMECOMP","TOT","PC_HH","A","2012",82.75,
"KOR","HOMECOMP","TOT","PC_HH","A","2006",79.59442265,
"KOR","HOMECOMP","TOT","PC_HH","A","2010",81.842274,
"KOR","HOMECOMP","TOT","PC_HH","A","2011",81.88133549,
"KOR","HOMECOMP","TOT","PC_HH","A","2012",82.30572997,
"NLD","HOMECOMP","TOT","PC_HH","A","2006",80.04,
"NLD","HOMECOMP","TOT","PC_HH","A","2010",91.97,
"NLD","HOMECOMP","TOT","PC_HH","A","2011",94.16,
"NLD","HOMECOMP","TOT","PC_HH","A","2012",94.5,
"AUS","HOMECOMP","TOT","PC_HH","A","2006",73,
"AUS","HOMECOMP","TOT","PC_HH","A","2010",82.57,
"CAN","HOMECOMP","TOT","PC_HH","A","2006",75.4,
"CAN","HOMECOMP","TOT","PC_HH","A","2010",82.7,
"CAN","HOMECOMP","TOT","PC_HH","A","2011",84.5,
"FIN","HOMECOMP","TOT","PC_HH","A","2006",71.1,
"FIN","HOMECOMP","TOT","PC_HH","A","2010",81.99,
"FIN","HOMECOMP","TOT","PC_HH","A","2011",85.12,
"FIN","HOMECOMP","TOT","PC_HH","A","2012",87.56,
"USA","HOMECOMP","TOT","PC_HH","A","2011",75.57,
"MEX","HOMECOMP","TOT","PC_HH","A","2006",20.62,
"MEX","HOMECOMP","TOT","PC_HH","A","2010",29.79,
"MEX","HOMECOMP","TOT","PC_HH","A","2011",30.04,
"MEX","HOMECOMP","TOT","PC_HH","A","2012",32.19,
"NOR","HOMECOMP","TOT","PC_HH","A","2006",75.35,
"NOR","HOMECOMP","TOT","PC_HH","A","2010",90.94,
"NOR","HOMECOMP","TOT","PC_HH","A","2011",90.97,
"NOR","HOMECOMP","TOT","PC_HH","A","2012",91.9,
"SVK","HOMECOMP","TOT","PC_HH","A","2006",50.09,
"SVK","HOMECOMP","TOT","PC_HH","A","2010",72.18,
"SVK","HOMECOMP","TOT","PC_HH","A","2011",75.43,
"SVK","HOMECOMP","TOT","PC_HH","A","2012",78.81,
"CHE","HOMECOMP","TOT","PC_HH","A","2006",77.4,
"CHE","HOMECOMP","TOT","PC_HH","A","2010",83.6,
"ISR","HOMECOMP","TOT","PC_HH","A","2006",65.8,
"ISR","HOMECOMP","TOT","PC_HH","A","2010",76.7,
"ISR","HOMECOMP","TOT","PC_HH","A","2011",78.2,
"ITA","HOMECOMP","TOT","PC_HH","A","2006",51.58,
"ITA","HOMECOMP","TOT","PC_HH","A","2010",64.85,
"ITA","HOMECOMP","TOT","PC_HH","A","2011",66.2,
"ITA","HOMECOMP","TOT","PC_HH","A","2012",67.09,
"LUX","HOMECOMP","TOT","PC_HH","A","2006",77.25,
"LUX","HOMECOMP","TOT","PC_HH","A","2010",90.21,
"LUX","HOMECOMP","TOT","PC_HH","A","2011",91.73,
"LUX","HOMECOMP","TOT","PC_HH","A","2012",92.13,
"PRT","HOMECOMP","TOT","PC_HH","A","2006",45.59,
"PRT","HOMECOMP","TOT","PC_HH","A","2010",59.49,
"PRT","HOMECOMP","TOT","PC_HH","A","2011",63.73,
"PRT","HOMECOMP","TOT","PC_HH","A","2012",66.1,
"EST","HOMECOMP","TOT","PC_HH","A","2006",52.44,
"EST","HOMECOMP","TOT","PC_HH","A","2010",69.25,
"EST","HOMECOMP","TOT","PC_HH","A","2011",71.44,
"EST","HOMECOMP","TOT","PC_HH","A","2012",75.51,
"BEL","HOMECOMP","TOT","PC_HH","A","2006",57.54,
"BEL","HOMECOMP","TOT","PC_HH","A","2010",76.72,
"BEL","HOMECOMP","TOT","PC_HH","A","2011",78.88,
"BEL","HOMECOMP","TOT","PC_HH","A","2012",80.33,
"SWE","HOMECOMP","TOT","PC_HH","A","2006",82.48,
"SWE","HOMECOMP","TOT","PC_HH","A","2010",89.5,
"SWE","HOMECOMP","TOT","PC_HH","A","2011",91.59,
"SWE","HOMECOMP","TOT","PC_HH","A","2012",92.29,
"GBR","HOMECOMP","TOT","PC_HH","A","2006",71.5,
"GBR","HOMECOMP","TOT","PC_HH","A","2010",82.57,
"GBR","HOMECOMP","TOT","PC_HH","A","2011",84.56,
"GBR","HOMECOMP","TOT","PC_HH","A","2012",87.22,
"NZL","HOMECOMP","TOT","PC_HH","A","2006",72,
"NZL","HOMECOMP","TOT","PC_HH","A","2010",80,
"EU28","HOMECOMP","TOT","PC_HH","A","2006",60.62,
"EU28","HOMECOMP","TOT","PC_HH","A","2010",74.36,
"EU28","HOMECOMP","TOT","PC_HH","A","2011",76.65,
"EU28","HOMECOMP","TOT","PC_HH","A","2012",78.41,
