"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","BSNSBROADBAND","TOT","PC","A","2009",93.0359557924321,
"ESP","BSNSBROADBAND","TOT","PC","A","2010",95.4386715531182,
"SWE","BSNSBROADBAND","TOT","PC","A","2009",88.2989191642825,
"SWE","BSNSBROADBAND","TOT","PC","A","2010",91.4051805871945,
"IRL","BSNSBROADBAND","TOT","PC","A","2009",76.1060166799893,
"IRL","BSNSBROADBAND","TOT","PC","A","2010",86.8352843221853,
"NOR","BSNSBROADBAND","TOT","PC","A","2004",58.6585899112606,
"NOR","BSNSBROADBAND","TOT","PC","A","2005",75.9919493397477,
"NOR","BSNSBROADBAND","TOT","PC","A","2006",84.0026765711988,
"NOR","BSNSBROADBAND","TOT","PC","A","2007",83.8715099991244,
"NOR","BSNSBROADBAND","TOT","PC","A","2008",84.3592252270124,
"NOR","BSNSBROADBAND","TOT","PC","A","2009",88.2820557643563,
"NOR","BSNSBROADBAND","TOT","PC","A","2010",86.9185704889279,
"AUT","BSNSBROADBAND","TOT","PC","A","2004",55.1508495774992,
"AUT","BSNSBROADBAND","TOT","PC","A","2005",61.4661083803629,
"AUT","BSNSBROADBAND","TOT","PC","A","2006",69.810517351501,
"AUT","BSNSBROADBAND","TOT","PC","A","2007",73.35920856801,
"AUT","BSNSBROADBAND","TOT","PC","A","2008",76.935219999426,
"AUT","BSNSBROADBAND","TOT","PC","A","2009",76.0060849121837,
"AUT","BSNSBROADBAND","TOT","PC","A","2010",82.058453363166,
"FRA","BSNSBROADBAND","TOT","PC","A","2009",91.6773446166448,
"FRA","BSNSBROADBAND","TOT","PC","A","2010",93.3116429485913,
"LUX","BSNSBROADBAND","TOT","PC","A","2009",88.0339383277296,
"LUX","BSNSBROADBAND","TOT","PC","A","2010",87.9118927929767,
"PRT","BSNSBROADBAND","TOT","PC","A","2009",81.7049643479093,
"PRT","BSNSBROADBAND","TOT","PC","A","2010",84.7482756526438,
"HUN","BSNSBROADBAND","TOT","PC","A","2007",66.9761010527727,
"HUN","BSNSBROADBAND","TOT","PC","A","2008",70.3659132116045,
"HUN","BSNSBROADBAND","TOT","PC","A","2009",74.1931813474831,
"HUN","BSNSBROADBAND","TOT","PC","A","2010",79.6086309776876,
"CZE","BSNSBROADBAND","TOT","PC","A","2006",69.4212595449332,
"CZE","BSNSBROADBAND","TOT","PC","A","2007",76.960552225168,
"CZE","BSNSBROADBAND","TOT","PC","A","2008",79.3277518734916,
"CZE","BSNSBROADBAND","TOT","PC","A","2009",77.3099471966302,
"CZE","BSNSBROADBAND","TOT","PC","A","2010",86.5242377334375,
"EST","BSNSBROADBAND","TOT","PC","A","2006",75.3234608745685,
"EST","BSNSBROADBAND","TOT","PC","A","2007",78.0577115970272,
"EST","BSNSBROADBAND","TOT","PC","A","2008",87.5333651721451,
"EST","BSNSBROADBAND","TOT","PC","A","2009",86.0810539596129,
"EST","BSNSBROADBAND","TOT","PC","A","2010",88.0794265374198,
"ISL","BSNSBROADBAND","TOT","PC","A","2010",95.431548060797,
"DEU","BSNSBROADBAND","TOT","PC","A","2005",61.235351188955,
"DEU","BSNSBROADBAND","TOT","PC","A","2006",72.5127296390945,
"DEU","BSNSBROADBAND","TOT","PC","A","2007",78.3154267623433,
"DEU","BSNSBROADBAND","TOT","PC","A","2008",83.4575383027591,
"DEU","BSNSBROADBAND","TOT","PC","A","2009",87.8958623170548,
"DEU","BSNSBROADBAND","TOT","PC","A","2010",89.3420921998152,
"NLD","BSNSBROADBAND","TOT","PC","A","2009",86.3837109020455,
"NLD","BSNSBROADBAND","TOT","PC","A","2010",90.9315497186022,
"GBR","BSNSBROADBAND","TOT","PC","A","2009",84.9411571962974,
"GBR","BSNSBROADBAND","TOT","PC","A","2010",88.0254840420829,
"POL","BSNSBROADBAND","TOT","PC","A","2005",42.5719628137263,
"POL","BSNSBROADBAND","TOT","PC","A","2006",46.7174445879345,
"POL","BSNSBROADBAND","TOT","PC","A","2007",53.6240346081372,
"POL","BSNSBROADBAND","TOT","PC","A","2008",59.1219090754389,
"POL","BSNSBROADBAND","TOT","PC","A","2009",58.467474405169,
"POL","BSNSBROADBAND","TOT","PC","A","2010",69.3426005687786,
"SVN","BSNSBROADBAND","TOT","PC","A","2005",74.4245524296675,
"SVN","BSNSBROADBAND","TOT","PC","A","2006",75.1428571428571,
"SVK","BSNSBROADBAND","TOT","PC","A","2004",24.4486719525206,
"SVK","BSNSBROADBAND","TOT","PC","A","2005",46.2328196450067,
"SVK","BSNSBROADBAND","TOT","PC","A","2006",59.8855464066475,
"SVK","BSNSBROADBAND","TOT","PC","A","2007",74.4928830981158,
"SVK","BSNSBROADBAND","TOT","PC","A","2008",73.7248603107686,
"SVK","BSNSBROADBAND","TOT","PC","A","2009",78.3666304184653,
"SVK","BSNSBROADBAND","TOT","PC","A","2010",78.320440664414,
"TUR","BSNSBROADBAND","TOT","PC","A","2010",88.8636021701165,
"ITA","BSNSBROADBAND","TOT","PC","A","2009",82.9227477832253,
"ITA","BSNSBROADBAND","TOT","PC","A","2010",84.1231653126262,
