"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",9.60054,
"BEL","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",12.82677,
"CZE","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",15.36563,
"DNK","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",10.48049,
"FIN","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",10.80899,
"FRA","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",15.31243,
"DEU","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",7.097416,
"HUN","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",12.94567,
"IRL","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",6.357104,
"ITA","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",23.63037,
"JPN","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2009",21.80154,
"MEX","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2008",25.41437,
"NLD","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",17.6631,
"NZL","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",12.86437,
"NOR","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",9.632555,
"POL","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",14.4221,
"PRT","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",19.55508,
"SVK","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",18.81377,
"ESP","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",20.14889,
"SWE","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",11.95466,
"CHE","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",8.773426,
"GBR","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",8.66923,
"USA","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",7.728663,
"EST","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",13.31885,
"ISR","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2009",9.76402,
"SVN","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",14.78259,
"AUS","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",23.65728,
"BRA","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",6.676892,
"RUS","EMPLOYEE","0_9","PC_EMPLOYEEMFG","A","2010",0.3158459,
