"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",74.42638,
"BEL","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",82.83229,
"CZE","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",92.33055,
"DNK","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",80.2164,
"FIN","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",82.56071,
"FRA","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",86.38648,
"DEU","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",61.61403,
"HUN","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",85.14944,
"IRL","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",90.42344,
"ITA","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",81.97672,
"JPN","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2009",75.59233,
"KOR","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",84.4777,
"LUX","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",65.68047,
"MEX","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2008",93.72974,
"NLD","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",82.71042,
"NZL","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",70.21738,
"NOR","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",80.35957,
"POL","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",86.97064,
"PRT","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",81.96267,
"SVK","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",93.13101,
"ESP","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",82.90118,
"SWE","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",87.38017,
"CHE","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",55.5057,
"GBR","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",75.89008,
"USA","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",91.60535,
"EST","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",72.53971,
"ISR","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2009",70.82809,
"SVN","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",87.39985,
"AUS","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",90.28137,
"CAN","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2009",68.14307,
"TUR","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2009",94.63589,
"BRA","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",63.10141,
"RUS","ENTERPRISE","0_9","PC_ENTERPRISEMFG","A","2010",54.02407,
