"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FIXWIRED","TOT","100HAB","A","2006",18.284,
"AUS","FIXWIRED","TOT","100HAB","A","2007",22.719,
"AUS","FIXWIRED","TOT","100HAB","A","2008",24.558,
"AUS","FIXWIRED","TOT","100HAB","A","2009",23.906,
"AUS","FIXWIRED","TOT","100HAB","A","2010",24.914,
"AUS","FIXWIRED","TOT","100HAB","A","2011",25.055,
"AUS","FIXWIRED","TOT","100HAB","A","2012",25.719,
"AUS","FIXWIRED","TOT","100HAB","A","2013",26.432,
"AUS","FIXWIRED","TOT","100HAB","A","2014",27.657,
"AUT","FIXWIRED","TOT","100HAB","A","2006",16.737,
"AUT","FIXWIRED","TOT","100HAB","A","2007",19.264,
"AUT","FIXWIRED","TOT","100HAB","A","2008",21.257,
"AUT","FIXWIRED","TOT","100HAB","A","2009",21.499,
"AUT","FIXWIRED","TOT","100HAB","A","2010",23.187,
"AUT","FIXWIRED","TOT","100HAB","A","2011",24.456,
"AUT","FIXWIRED","TOT","100HAB","A","2012",25.218,
"AUT","FIXWIRED","TOT","100HAB","A","2013",26.308,
"AUT","FIXWIRED","TOT","100HAB","A","2014",27.549,
"BEL","FIXWIRED","TOT","100HAB","A","2006",22.343,
"BEL","FIXWIRED","TOT","100HAB","A","2007",25.568,
"BEL","FIXWIRED","TOT","100HAB","A","2008",27.668,
"BEL","FIXWIRED","TOT","100HAB","A","2009",29.044,
"BEL","FIXWIRED","TOT","100HAB","A","2010",30.995,
"BEL","FIXWIRED","TOT","100HAB","A","2011",32.281,
"BEL","FIXWIRED","TOT","100HAB","A","2012",33.4,
"BEL","FIXWIRED","TOT","100HAB","A","2013",34.479,
"BEL","FIXWIRED","TOT","100HAB","A","2014",35.952,
"CAN","FIXWIRED","TOT","100HAB","A","2006",24.34,
"CAN","FIXWIRED","TOT","100HAB","A","2007",27.258,
"CAN","FIXWIRED","TOT","100HAB","A","2008",28.228,
"CAN","FIXWIRED","TOT","100HAB","A","2009",30.599,
"CAN","FIXWIRED","TOT","100HAB","A","2010",31.81,
"CAN","FIXWIRED","TOT","100HAB","A","2011",32.838,
"CAN","FIXWIRED","TOT","100HAB","A","2012",33.621,
"CAN","FIXWIRED","TOT","100HAB","A","2013",34.387,
"CAN","FIXWIRED","TOT","100HAB","A","2014",35.366,
"CZE","FIXWIRED","TOT","100HAB","A","2006",11.072,
"CZE","FIXWIRED","TOT","100HAB","A","2007",14.545,
"CZE","FIXWIRED","TOT","100HAB","A","2008",16.968,
"CZE","FIXWIRED","TOT","100HAB","A","2009",19.407,
"CZE","FIXWIRED","TOT","100HAB","A","2010",21.507,
"CZE","FIXWIRED","TOT","100HAB","A","2011",23.782,
"CZE","FIXWIRED","TOT","100HAB","A","2012",25.277,
"CZE","FIXWIRED","TOT","100HAB","A","2013",26.646,
"CZE","FIXWIRED","TOT","100HAB","A","2014",28.341,
"DNK","FIXWIRED","TOT","100HAB","A","2006",31.788,
"DNK","FIXWIRED","TOT","100HAB","A","2007",35.638,
"DNK","FIXWIRED","TOT","100HAB","A","2008",36.271,
"DNK","FIXWIRED","TOT","100HAB","A","2009",36.597,
"DNK","FIXWIRED","TOT","100HAB","A","2010",38.052,
"DNK","FIXWIRED","TOT","100HAB","A","2011",38.478,
"DNK","FIXWIRED","TOT","100HAB","A","2012",38.983,
"DNK","FIXWIRED","TOT","100HAB","A","2013",40.485,
"DNK","FIXWIRED","TOT","100HAB","A","2014",41.323,
"FIN","FIXWIRED","TOT","100HAB","A","2006",27.139,
"FIN","FIXWIRED","TOT","100HAB","A","2007",30.577,
"FIN","FIXWIRED","TOT","100HAB","A","2008",27.892,
