"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","GOVRESEARCHER","TOT","HEADCOUNT","A","1986",6.43863179074447,
"CHE","GOVRESEARCHER","TOT","HEADCOUNT","A","1989",3.68098159509203,
"CHE","GOVRESEARCHER","TOT","HEADCOUNT","A","1992",3.55731225296443,
"CHE","GOVRESEARCHER","TOT","HEADCOUNT","A","1996",2.5107441755259,
"CHE","GOVRESEARCHER","TOT","HEADCOUNT","A","2000",1.55142692970695,
"CHE","GOVRESEARCHER","TOT","HEADCOUNT","A","2004",1.67322834645669,
"CHE","GOVRESEARCHER","TOT","HEADCOUNT","A","2008",1.93980519964684,
"CHE","GOVRESEARCHER","TOT","HEADCOUNT","A","2012",1.19527159901746,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","1981",28.0651024454726,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","1984",23.9470391993328,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","1985",23.5384718408893,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","1986",22.1045419509549,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","1987",20.3838823849714,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","1988",20.8787363790863,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","1990",21.4957383731703,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","1992",18.4308913472784,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","1994",15.4843791759857,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","1996",14.783318556322,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","1998",13.550891202507,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","2000",13.2185074862048,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","2002",10.9821928853539,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","2004",10.389018554898,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","2006",10.0010320982558,
"AUS","GOVRESEARCHER","TOT","HEADCOUNT","A","2008",8.94215575377123,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","1998",13623,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","1999",13443,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2000",13521,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2001",14068,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2002",16070,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2003",16729,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2004",17020,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2005",16151,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2006",16638,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2007",16815,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2008",17709,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2009",18116,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2010",18810,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2011",19167,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2012",19281,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2013",19363,
"TWN","GOVRESEARCHER","TOT","PC_NATIONAL","A","2014",19725,
"MEX","GOVRESEARCHER","TOT","PC_NATIONAL","A","2003",7217,
"RUS","GOVRESEARCHER","TOT","HEADCOUNT","A","1994",25.2390678524904,
"RUS","GOVRESEARCHER","TOT","HEADCOUNT","A","1995",25.851100257718,
