"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","MLN_USD","A","1981",3386.60939428029,
"AUS","GDEXPRD","TOT","MLN_USD","A","1984",4135.06970560792,
"AUS","GDEXPRD","TOT","MLN_USD","A","1986",5082.84940568596,
"AUS","GDEXPRD","TOT","MLN_USD","A","1987",5187.42598327917,
"AUS","GDEXPRD","TOT","MLN_USD","A","1988",5510.9963807275,
"AUS","GDEXPRD","TOT","MLN_USD","A","1990",6149.47806259029,
"AUS","GDEXPRD","TOT","MLN_USD","A","1992",7451.34482722194,
"AUS","GDEXPRD","TOT","MLN_USD","A","1994",8310.55275487225,
"AUS","GDEXPRD","TOT","MLN_USD","A","1996",9414.88654903233,
"AUS","GDEXPRD","TOT","MLN_USD","A","1998",9397.70288410727,
"AUS","GDEXPRD","TOT","MLN_USD","A","2000",10221.4387835135,
"AUS","GDEXPRD","TOT","MLN_USD","A","2002",12221.7936110888,
"AUS","GDEXPRD","TOT","MLN_USD","A","2004",13790.9353142901,
"AUS","GDEXPRD","TOT","MLN_USD","A","2006",17052.2490521398,
"AUS","GDEXPRD","TOT","MLN_USD","A","2008",20199.0972158983,
"AUS","GDEXPRD","TOT","MLN_USD","A","2010",20572.1875375628,
"AUS","GDEXPRD","TOT","MLN_USD","A","2011",20679.3016966995,
"AUS","GDEXPRD","TOT","MLN_USD","A","2013",21592.3875951387,
"AUS","GDEXPRD","TOT","PC_GDP","A","1981",0.90294868289126,
"AUS","GDEXPRD","TOT","PC_GDP","A","1984",1.02401818282421,
"AUS","GDEXPRD","TOT","PC_GDP","A","1986",1.17881086679637,
"AUS","GDEXPRD","TOT","PC_GDP","A","1987",1.13714490258157,
"AUS","GDEXPRD","TOT","PC_GDP","A","1988",1.16277172804764,
"AUS","GDEXPRD","TOT","PC_GDP","A","1990",1.2586165341046,
"AUS","GDEXPRD","TOT","PC_GDP","A","1992",1.45985286401744,
"AUS","GDEXPRD","TOT","PC_GDP","A","1994",1.50642425245081,
"AUS","GDEXPRD","TOT","PC_GDP","A","1996",1.57950894627921,
"AUS","GDEXPRD","TOT","PC_GDP","A","1998",1.43778162911612,
"AUS","GDEXPRD","TOT","PC_GDP","A","2000",1.477026691716,
"AUS","GDEXPRD","TOT","PC_GDP","A","2002",1.64960038556768,
"AUS","GDEXPRD","TOT","PC_GDP","A","2004",1.73141749947684,
"AUS","GDEXPRD","TOT","PC_GDP","A","2006",2.00337065834551,
"AUS","GDEXPRD","TOT","PC_GDP","A","2008",2.24939868402018,
"AUS","GDEXPRD","TOT","PC_GDP","A","2010",2.19587815593114,
"AUS","GDEXPRD","TOT","PC_GDP","A","2011",2.12798415083587,
"AUS","GDEXPRD","TOT","PC_GDP","A","2013",2.11369088703469,
