"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","HHBROADHBAND","TOT","PC","A","2002",16.6,
"JPN","HHBROADHBAND","TOT","PC","A","2003",31.1,
"JPN","HHBROADHBAND","TOT","PC","A","2004",40.4,
"JPN","HHBROADHBAND","TOT","PC","A","2005",42.1,
"JPN","HHBROADHBAND","TOT","PC","A","2006",40.7,
"JPN","HHBROADHBAND","TOT","PC","A","2007",51.7,
"JPN","HHBROADHBAND","TOT","PC","A","2008",58.5,
"JPN","HHBROADHBAND","TOT","PC","A","2009",63.4,
"JPN","HHBROADHBAND","TOT","PC","A","2010",63.4,
"NOR","HHBROADHBAND","TOT","PC","A","2003",22.8939833305977,
"NOR","HHBROADHBAND","TOT","PC","A","2004",30.0134806026233,
"NOR","HHBROADHBAND","TOT","PC","A","2005",41.4356176489513,
"NOR","HHBROADHBAND","TOT","PC","A","2006",57.0696472453586,
"NOR","HHBROADHBAND","TOT","PC","A","2007",66.7167586966374,
"NOR","HHBROADHBAND","TOT","PC","A","2008",72.976473670361,
"NOR","HHBROADHBAND","TOT","PC","A","2009",77.7683386056809,
"NOR","HHBROADHBAND","TOT","PC","A","2010",82.5727047509357,
"SVK","HHBROADHBAND","TOT","PC","A","2004",3.5518686019119,
"SVK","HHBROADHBAND","TOT","PC","A","2005",7.11642651447072,
"SVK","HHBROADHBAND","TOT","PC","A","2006",11.4169476773236,
"SVK","HHBROADHBAND","TOT","PC","A","2007",26.5023138932719,
"SVK","HHBROADHBAND","TOT","PC","A","2008",35.329986496319,
"SVK","HHBROADHBAND","TOT","PC","A","2009",41.7273755411469,
"SVK","HHBROADHBAND","TOT","PC","A","2010",49.3511819681631,
"AUT","HHBROADHBAND","TOT","PC","A","2003",10.2853375470288,
"AUT","HHBROADHBAND","TOT","PC","A","2004",15.9234940848469,
"AUT","HHBROADHBAND","TOT","PC","A","2005",23.1403620208918,
"AUT","HHBROADHBAND","TOT","PC","A","2006",33.116975692562,
"AUT","HHBROADHBAND","TOT","PC","A","2007",46.14633165071,
"AUT","HHBROADHBAND","TOT","PC","A","2008",54.4968865042262,
"AUT","HHBROADHBAND","TOT","PC","A","2009",57.8027426144126,
"AUT","HHBROADHBAND","TOT","PC","A","2010",63.7001924161669,
"CZE","HHBROADHBAND","TOT","PC","A","2003",1.47637795275591,
"CZE","HHBROADHBAND","TOT","PC","A","2004",4.45052299338743,
"CZE","HHBROADHBAND","TOT","PC","A","2005",5.06132416784956,
"CZE","HHBROADHBAND","TOT","PC","A","2006",16.5826667621741,
"CZE","HHBROADHBAND","TOT","PC","A","2007",28.0623979497611,
"CZE","HHBROADHBAND","TOT","PC","A","2008",36.4049800041917,
"CZE","HHBROADHBAND","TOT","PC","A","2009",48.8913646227454,
"CZE","HHBROADHBAND","TOT","PC","A","2010",53.6004101763395,
"FRA","HHBROADHBAND","TOT","PC","A","2006",30.2602944657977,
"FRA","HHBROADHBAND","TOT","PC","A","2007",42.9018565869491,
"FRA","HHBROADHBAND","TOT","PC","A","2008",57.0996663279852,
"FRA","HHBROADHBAND","TOT","PC","A","2009",57.4889098242175,
"FRA","HHBROADHBAND","TOT","PC","A","2010",66.8382161249759,
"IRL","HHBROADHBAND","TOT","PC","A","2003",0.616176585289759,
"IRL","HHBROADHBAND","TOT","PC","A","2004",2.89008455034589,
"IRL","HHBROADHBAND","TOT","PC","A","2005",7.39159055010468,
"IRL","HHBROADHBAND","TOT","PC","A","2006",13.0666509374882,
"IRL","HHBROADHBAND","TOT","PC","A","2007",31.21579725068,
"IRL","HHBROADHBAND","TOT","PC","A","2008",42.9402509396426,
"IRL","HHBROADHBAND","TOT","PC","A","2009",53.7193131585651,
"IRL","HHBROADHBAND","TOT","PC","A","2010",57.519083994349,
"KOR","HHBROADHBAND","TOT","PC","A","2000",30.2723059096176,
"KOR","HHBROADHBAND","TOT","PC","A","2001",56.4202697608237,
"KOR","HHBROADHBAND","TOT","PC","A","2002",67.9561246162693,
"KOR","HHBROADHBAND","TOT","PC","A","2003",66.011206589139,
"KOR","HHBROADHBAND","TOT","PC","A","2004",85.7382451535071,
"KOR","HHBROADHBAND","TOT","PC","A","2005",90.7781092034037,
"KOR","HHBROADHBAND","TOT","PC","A","2006",93.9931852515755,
"KOR","HHBROADHBAND","TOT","PC","A","2007",94.1327783404481,
"KOR","HHBROADHBAND","TOT","PC","A","2008",94.2655024045624,
"KOR","HHBROADHBAND","TOT","PC","A","2009",95.904861328162,
"KOR","HHBROADHBAND","TOT","PC","A","2010",97.4735834542694,
"FIN","HHBROADHBAND","TOT","PC","A","2003",12.3714465672895,
"FIN","HHBROADHBAND","TOT","PC","A","2004",21.2871741397289,
"FIN","HHBROADHBAND","TOT","PC","A","2005",36.088275692205,
"FIN","HHBROADHBAND","TOT","PC","A","2006",52.8618913234059,
"FIN","HHBROADHBAND","TOT","PC","A","2007",62.8781710519766,
"FIN","HHBROADHBAND","TOT","PC","A","2008",66.1443839063012,
"FIN","HHBROADHBAND","TOT","PC","A","2009",73.7381520778073,
"FIN","HHBROADHBAND","TOT","PC","A","2010",75.8023871096081,
"DNK","HHBROADHBAND","TOT","PC","A","2003",25.0723950003144,
"DNK","HHBROADHBAND","TOT","PC","A","2004",35.8149618021531,
"DNK","HHBROADHBAND","TOT","PC","A","2005",51.1789832063026,
"DNK","HHBROADHBAND","TOT","PC","A","2006",63.2526580160509,
"DNK","HHBROADHBAND","TOT","PC","A","2007",69.531476262528,
"DNK","HHBROADHBAND","TOT","PC","A","2008",74.0712835395671,
"DNK","HHBROADHBAND","TOT","PC","A","2009",76.0467033079129,
"DNK","HHBROADHBAND","TOT","PC","A","2010",80.1021219355592,
"ISL","HHBROADHBAND","TOT","PC","A","2004",45.4378444580527,
"ISL","HHBROADHBAND","TOT","PC","A","2005",63.4669773966559,
"ISL","HHBROADHBAND","TOT","PC","A","2006",72.0759002507926,
"ISL","HHBROADHBAND","TOT","PC","A","2007",76.099001628505,
"ISL","HHBROADHBAND","TOT","PC","A","2008",83.2487808088603,
"ISL","HHBROADHBAND","TOT","PC","A","2009",86.7288861857909,
"ISL","HHBROADHBAND","TOT","PC","A","2010",86.9647168935777,
"DEU","HHBROADHBAND","TOT","PC","A","2003",9.33150749312512,
"DEU","HHBROADHBAND","TOT","PC","A","2004",18.0065290623676,
"DEU","HHBROADHBAND","TOT","PC","A","2005",23.2447672027443,
"DEU","HHBROADHBAND","TOT","PC","A","2006",33.5356676283365,
"DEU","HHBROADHBAND","TOT","PC","A","2007",49.5663915931121,
"DEU","HHBROADHBAND","TOT","PC","A","2008",54.8585488242541,
"DEU","HHBROADHBAND","TOT","PC","A","2009",64.5848870011613,
"DEU","HHBROADHBAND","TOT","PC","A","2010",75.2013150093057,
"AUS","HHBROADHBAND","TOT","PC","A","2004",16.3,
"AUS","HHBROADHBAND","TOT","PC","A","2005",28.3,
"AUS","HHBROADHBAND","TOT","PC","A","2006",43,
"AUS","HHBROADHBAND","TOT","PC","A","2007",52,
"AUS","HHBROADHBAND","TOT","PC","A","2008",62,
"USA","HHBROADHBAND","TOT","PC","A","2000",4.4,
"USA","HHBROADHBAND","TOT","PC","A","2001",9.1,
"USA","HHBROADHBAND","TOT","PC","A","2003",19.9,
"USA","HHBROADHBAND","TOT","PC","A","2007",50.8,
"USA","HHBROADHBAND","TOT","PC","A","2009",63.5,
"USA","HHBROADHBAND","TOT","PC","A","2010",68.24,
"CAN","HHBROADHBAND","TOT","PC","A","2001",21.6,
"CAN","HHBROADHBAND","TOT","PC","A","2002",29.3,
"CAN","HHBROADHBAND","TOT","PC","A","2003",35.5,
"CAN","HHBROADHBAND","TOT","PC","A","2004",44.1,
"CAN","HHBROADHBAND","TOT","PC","A","2005",50.1,
"CAN","HHBROADHBAND","TOT","PC","A","2006",57.9,
"CAN","HHBROADHBAND","TOT","PC","A","2007",64.2,
"CAN","HHBROADHBAND","TOT","PC","A","2008",66.9,
"CAN","HHBROADHBAND","TOT","PC","A","2009",72.2,
"CHE","HHBROADHBAND","TOT","PC","A","2003",11.4,
"CHE","HHBROADHBAND","TOT","PC","A","2006",52.7863,
"CHE","HHBROADHBAND","TOT","PC","A","2007",63.0007,
"CHE","HHBROADHBAND","TOT","PC","A","2008",70.82,
"EST","HHBROADHBAND","TOT","PC","A","2004",20.3119645792234,
"EST","HHBROADHBAND","TOT","PC","A","2005",29.7662869506989,
"EST","HHBROADHBAND","TOT","PC","A","2006",36.6152819092336,
"EST","HHBROADHBAND","TOT","PC","A","2007",47.5625649085077,
"EST","HHBROADHBAND","TOT","PC","A","2008",54.4271892023742,
"EST","HHBROADHBAND","TOT","PC","A","2009",61.9813813058246,
"EST","HHBROADHBAND","TOT","PC","A","2010",64.4506465022706,
"PRT","HHBROADHBAND","TOT","PC","A","2003",7.87238656282188,
"PRT","HHBROADHBAND","TOT","PC","A","2004",12.2993585269419,
"PRT","HHBROADHBAND","TOT","PC","A","2005",19.7211663143967,
"PRT","HHBROADHBAND","TOT","PC","A","2006",24.0068397167916,
"PRT","HHBROADHBAND","TOT","PC","A","2007",30.4211433222302,
"PRT","HHBROADHBAND","TOT","PC","A","2008",39.3449325648711,
"PRT","HHBROADHBAND","TOT","PC","A","2009",46.1581344851322,
"PRT","HHBROADHBAND","TOT","PC","A","2010",50.316407996964,
"GBR","HHBROADHBAND","TOT","PC","A","2003",10.6937222360433,
"GBR","HHBROADHBAND","TOT","PC","A","2004",15.8172032931002,
"GBR","HHBROADHBAND","TOT","PC","A","2005",31.5439372693038,
"GBR","HHBROADHBAND","TOT","PC","A","2006",43.9226656654205,
"GBR","HHBROADHBAND","TOT","PC","A","2007",56.7482817045497,
"GBR","HHBROADHBAND","TOT","PC","A","2008",61.5147156342386,
"GBR","HHBROADHBAND","TOT","PC","A","2009",69.4670216019202,
"BEL","HHBROADHBAND","TOT","PC","A","2005",40.560387628415,
"BEL","HHBROADHBAND","TOT","PC","A","2006",48.0499229060686,
"BEL","HHBROADHBAND","TOT","PC","A","2007",56.3885623216378,
"BEL","HHBROADHBAND","TOT","PC","A","2008",60.3154634593363,
"BEL","HHBROADHBAND","TOT","PC","A","2009",63.3981918371447,
"BEL","HHBROADHBAND","TOT","PC","A","2010",69.9525382002121,
"SWE","HHBROADHBAND","TOT","PC","A","2005",40.1798208816492,
"SWE","HHBROADHBAND","TOT","PC","A","2006",51.0101925892588,
