"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","ICTVA","TOT","PC_VA","A","2011",3.784,
"BEL","ICTVA","TOT","PC_VA","A","2011",4.494,
"CAN","ICTVA","TOT","PC_VA","A","2011",5.1,
"CZE","ICTVA","TOT","PC_VA","A","2011",5.728,
"DNK","ICTVA","TOT","PC_VA","A","2011",5.208,
"FIN","ICTVA","TOT","PC_VA","A","2011",6.427,
"FRA","ICTVA","TOT","PC_VA","A","2011",5.1,
"DEU","ICTVA","TOT","PC_VA","A","2011",5.139,
"GRC","ICTVA","TOT","PC_VA","A","2011",4.92,
"HUN","ICTVA","TOT","PC_VA","A","2011",7.35,
"ISL","ICTVA","TOT","PC_VA","A","2011",4.322,
"IRL","ICTVA","TOT","PC_VA","A","2011",11.932,
"ITA","ICTVA","TOT","PC_VA","A","2011",4.94,
"JPN","ICTVA","TOT","PC_VA","A","2011",8.077,
"KOR","ICTVA","TOT","PC_VA","A","2011",9.578,
"LUX","ICTVA","TOT","PC_VA","A","2011",7.046,
"NLD","ICTVA","TOT","PC_VA","A","2011",5.09,
"NOR","ICTVA","TOT","PC_VA","A","2011",3.868,
"POL","ICTVA","TOT","PC_VA","A","2011",4.106,
"PRT","ICTVA","TOT","PC_VA","A","2011",4.094,
"SVK","ICTVA","TOT","PC_VA","A","2011",5.872,
"ESP","ICTVA","TOT","PC_VA","A","2011",4.563,
"SWE","ICTVA","TOT","PC_VA","A","2011",6.833,
"CHE","ICTVA","TOT","PC_VA","A","2011",7.447,
"GBR","ICTVA","TOT","PC_VA","A","2011",7.369,
"USA","ICTVA","TOT","PC_VA","A","2011",7.109,
"EST","ICTVA","TOT","PC_VA","A","2011",6.949,
"SVN","ICTVA","TOT","PC_VA","A","2011",4.713,
"OECD","ICTVA","TOT","PC_VA","A","2011",6.004,
