"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","INTERNET","TOT","PC_HH","A","2005",50.16,
"BEL","INTERNET","TOT","PC_HH","A","2010",72.74,
"BEL","INTERNET","TOT","PC_HH","A","2011",76.51,
"BEL","INTERNET","TOT","PC_HH","A","2012",77.71,
"DNK","INTERNET","TOT","PC_HH","A","2000",46,
"DNK","INTERNET","TOT","PC_HH","A","2005",74.92,
"DNK","INTERNET","TOT","PC_HH","A","2010",86.1,
"DNK","INTERNET","TOT","PC_HH","A","2011",90.08,
"DNK","INTERNET","TOT","PC_HH","A","2012",92,
"DEU","INTERNET","TOT","PC_HH","A","2000",16.4,
"DEU","INTERNET","TOT","PC_HH","A","2005",61.64,
"DEU","INTERNET","TOT","PC_HH","A","2010",82.49,
"DEU","INTERNET","TOT","PC_HH","A","2011",83.25,
"DEU","INTERNET","TOT","PC_HH","A","2012",85.5,
"ISL","INTERNET","TOT","PC_HH","A","2005",84.41,
"ISL","INTERNET","TOT","PC_HH","A","2010",92.04,
"ISL","INTERNET","TOT","PC_HH","A","2011",92.59,
"ISL","INTERNET","TOT","PC_HH","A","2012",94.6,
"AUT","INTERNET","TOT","PC_HH","A","2000",19,
"AUT","INTERNET","TOT","PC_HH","A","2005",46.69,
"AUT","INTERNET","TOT","PC_HH","A","2010",72.89,
"AUT","INTERNET","TOT","PC_HH","A","2011",75.44,
"AUT","INTERNET","TOT","PC_HH","A","2012",79.28,
"CZE","INTERNET","TOT","PC_HH","A","2005",19.05,
"CZE","INTERNET","TOT","PC_HH","A","2010",60.52,
"CZE","INTERNET","TOT","PC_HH","A","2011",66.63,
"CZE","INTERNET","TOT","PC_HH","A","2012",65.44,
"FRA","INTERNET","TOT","PC_HH","A","2000",11.89728432,
"FRA","INTERNET","TOT","PC_HH","A","2005",40.93,
"FRA","INTERNET","TOT","PC_HH","A","2010",73.61,
"FRA","INTERNET","TOT","PC_HH","A","2011",75.92,
"FRA","INTERNET","TOT","PC_HH","A","2012",80,
"CHL","INTERNET","TOT","PC_HH","A","2000",8.7,
"CHL","INTERNET","TOT","PC_HH","A","2005",19.7,
"CHL","INTERNET","TOT","PC_HH","A","2010",30,
"CHL","INTERNET","TOT","PC_HH","A","2012",60.53127531,
"NLD","INTERNET","TOT","PC_HH","A","2000",41,
"NLD","INTERNET","TOT","PC_HH","A","2005",78.26,
"NLD","INTERNET","TOT","PC_HH","A","2010",90.89,
"NLD","INTERNET","TOT","PC_HH","A","2011",93.64,
"NLD","INTERNET","TOT","PC_HH","A","2012",93.55,
"POL","INTERNET","TOT","PC_HH","A","2005",30.44,
"POL","INTERNET","TOT","PC_HH","A","2010",63.44,
"POL","INTERNET","TOT","PC_HH","A","2011",66.64,
"POL","INTERNET","TOT","PC_HH","A","2012",70.49,
"ESP","INTERNET","TOT","PC_HH","A","2005",35.51,
"ESP","INTERNET","TOT","PC_HH","A","2010",59.07,
"ESP","INTERNET","TOT","PC_HH","A","2011",63.88,
"ESP","INTERNET","TOT","PC_HH","A","2012",67.87,
"TUR","INTERNET","TOT","PC_HH","A","2000",6.9,
"TUR","INTERNET","TOT","PC_HH","A","2005",86.59833417,
"TUR","INTERNET","TOT","PC_HH","A","2010",41.625878,
"TUR","INTERNET","TOT","PC_HH","A","2011",42.93761295,
"TUR","INTERNET","TOT","PC_HH","A","2012",47.19762288,
"FIN","INTERNET","TOT","PC_HH","A","2000",30,
"FIN","INTERNET","TOT","PC_HH","A","2005",54.14,
"FIN","INTERNET","TOT","PC_HH","A","2010",80.54,
"FIN","INTERNET","TOT","PC_HH","A","2011",84.16,
"FIN","INTERNET","TOT","PC_HH","A","2012",86.8,
"GRC","INTERNET","TOT","PC_HH","A","2005",21.73,
"GRC","INTERNET","TOT","PC_HH","A","2010",46.35,
"GRC","INTERNET","TOT","PC_HH","A","2011",50.17,
"GRC","INTERNET","TOT","PC_HH","A","2012",53.58,
