"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1990",4.766613474,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1991",4.766613474,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1992",4.588153935,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1993",4.681398629,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1994",4.612453139,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1995",4.666147251,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1996",4.340556267,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1997",4.242637569,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1998",4.238745122,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1999",4.182502914,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2000",4.178211588,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2001",4.04771234,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2002",3.918400908,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2003",3.867835785,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2004",3.635296717,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2005",3.612784807,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2006",3.35062834,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2007",3.128085595,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2008",3.197720392,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2009",3.233753552,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2010",3.210743884,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2011",2.881927426,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2012",2.649171972,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2013",2.612028429,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2014",2.464959027,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1995",6.287323546,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1996",6.408862092,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1997",6.391946616,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1998",6.641573361,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1999",6.400469985,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2000",6.428361505,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2001",6.346719202,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2002",6.920797787,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2003",6.746575044,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2004",5.886277244,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2005",6.503140378,"B"
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2006",6.502721457,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2007",6.665397377,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2008",6.324520624,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2009",6.482369022,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2010",6.43213706,
