"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PATENT","TOT","NBR","A","1985",153.5095,
"AUS","PATENT","TOT","NBR","A","1986",179.4399,
"AUS","PATENT","TOT","NBR","A","1987",189.1798,
"AUS","PATENT","TOT","NBR","A","1988",135.2813,
"AUS","PATENT","TOT","NBR","A","1989",146.0048,
"AUS","PATENT","TOT","NBR","A","1990",185.7859,
"AUS","PATENT","TOT","NBR","A","1991",188.6244,
"AUS","PATENT","TOT","NBR","A","1992",194.9377,
"AUS","PATENT","TOT","NBR","A","1993",204.2711,
"AUS","PATENT","TOT","NBR","A","1994",244.5954,
"AUS","PATENT","TOT","NBR","A","1995",238.6216,
"AUS","PATENT","TOT","NBR","A","1996",245.6757,
"AUS","PATENT","TOT","NBR","A","1997",301.2246,
"AUS","PATENT","TOT","NBR","A","1998",321.9445,
"AUS","PATENT","TOT","NBR","A","1999",335.4766,
"AUS","PATENT","TOT","NBR","A","2000",517.5334,
"AUS","PATENT","TOT","NBR","A","2001",466.2842,
"AUS","PATENT","TOT","NBR","A","2002",491.3476,
"AUS","PATENT","TOT","NBR","A","2003",498.0658,
"AUS","PATENT","TOT","NBR","A","2004",523.9513,
"AUS","PATENT","TOT","NBR","A","2005",482.0279,
"AUS","PATENT","TOT","NBR","A","2006",364.6212,
"AUS","PATENT","TOT","NBR","A","2007",346.074,
"AUS","PATENT","TOT","NBR","A","2008",316.817,
"AUS","PATENT","TOT","NBR","A","2009",350.6262,
"AUS","PATENT","TOT","NBR","A","2010",305.295,
"AUS","PATENT","TOT","NBR","A","2011",301.2071,
"AUS","PATENT","TOT","NBR","A","2012",299.0811,
"AUS","PATENT","TOT","NBR","A","2013",304.1389,
"AUT","PATENT","TOT","NBR","A","1985",162.0226,
"AUT","PATENT","TOT","NBR","A","1986",157.9,
"AUT","PATENT","TOT","NBR","A","1987",182.3982,
"AUT","PATENT","TOT","NBR","A","1988",214.2722,
"AUT","PATENT","TOT","NBR","A","1989",199.6502,
"AUT","PATENT","TOT","NBR","A","1990",175.8433,
"AUT","PATENT","TOT","NBR","A","1991",189.2153,
"AUT","PATENT","TOT","NBR","A","1992",148.3353,
"AUT","PATENT","TOT","NBR","A","1993",180.7786,
"AUT","PATENT","TOT","NBR","A","1994",212.9575,
"AUT","PATENT","TOT","NBR","A","1995",226.7178,
"AUT","PATENT","TOT","NBR","A","1996",216.1381,
"AUT","PATENT","TOT","NBR","A","1997",264.3496,
"AUT","PATENT","TOT","NBR","A","1998",277.0965,
"AUT","PATENT","TOT","NBR","A","1999",280.816,
"AUT","PATENT","TOT","NBR","A","2000",345.9362,
"AUT","PATENT","TOT","NBR","A","2001",338.6995,
"AUT","PATENT","TOT","NBR","A","2002",348.7188,
