"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WIRELESSWIRED","TOT","100HAB","A","2009",13.002,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2010",56.118,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2011",91.988,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2012",102.222,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2013",113.105,
"AUS","WIRELESSWIRED","TOT","100HAB","A","2014",114.369,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2009",21.305,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2010",33.015,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2011",46.003,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2012",58.056,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2013",64.479,
"AUT","WIRELESSWIRED","TOT","100HAB","A","2014",67.109,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2009",5.698,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2010",9.561,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2011",18.959,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2012",32.915,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2013",51.507,
"BEL","WIRELESSWIRED","TOT","100HAB","A","2014",57.723,
"CAN","WIRELESSWIRED","TOT","100HAB","A","2009",0,
"CAN","WIRELESSWIRED","TOT","100HAB","A","2010",29.482,
"CAN","WIRELESSWIRED","TOT","100HAB","A","2011",38.395,
"CAN","WIRELESSWIRED","TOT","100HAB","A","2012",45.521,
"CAN","WIRELESSWIRED","TOT","100HAB","A","2013",51.683,
"CAN","WIRELESSWIRED","TOT","100HAB","A","2014",54.246,
"CZE","WIRELESSWIRED","TOT","100HAB","A","2009",3.533,
"CZE","WIRELESSWIRED","TOT","100HAB","A","2010",5.157,
"CZE","WIRELESSWIRED","TOT","100HAB","A","2011",38.155,
"CZE","WIRELESSWIRED","TOT","100HAB","A","2012",45.009,
"CZE","WIRELESSWIRED","TOT","100HAB","A","2013",53.288,
"CZE","WIRELESSWIRED","TOT","100HAB","A","2014",65.142,
"DNK","WIRELESSWIRED","TOT","100HAB","A","2009",29.62,
"DNK","WIRELESSWIRED","TOT","100HAB","A","2010",63.921,
"DNK","WIRELESSWIRED","TOT","100HAB","A","2011",83.506,
"DNK","WIRELESSWIRED","TOT","100HAB","A","2012",97.336,
"DNK","WIRELESSWIRED","TOT","100HAB","A","2013",102.264,
