"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","1990",38774,
"AUS","AVWAGE","TOT","USD","A","1991",38939,
"AUS","AVWAGE","TOT","USD","A","1992",39870,
"AUS","AVWAGE","TOT","USD","A","1993",40319,
"AUS","AVWAGE","TOT","USD","A","1994",40740,
"AUS","AVWAGE","TOT","USD","A","1995",40648,
"AUS","AVWAGE","TOT","USD","A","1996",41940,
"AUS","AVWAGE","TOT","USD","A","1997",43238,
"AUS","AVWAGE","TOT","USD","A","1998",43924,
"AUS","AVWAGE","TOT","USD","A","1999",45057,
"AUS","AVWAGE","TOT","USD","A","2000",45130,
"AUS","AVWAGE","TOT","USD","A","2001",44734,
"AUS","AVWAGE","TOT","USD","A","2002",45098,
"AUS","AVWAGE","TOT","USD","A","2003",45588,
"AUS","AVWAGE","TOT","USD","A","2004",46987,
"AUS","AVWAGE","TOT","USD","A","2005",47598,
"AUS","AVWAGE","TOT","USD","A","2006",47880,
"AUS","AVWAGE","TOT","USD","A","2007",49236,
"AUS","AVWAGE","TOT","USD","A","2008",49616,
"AUS","AVWAGE","TOT","USD","A","2009",49147,
"AUS","AVWAGE","TOT","USD","A","2010",50706,
"AUS","AVWAGE","TOT","USD","A","2011",52175,
"AUS","AVWAGE","TOT","USD","A","2012",52229,
"AUS","AVWAGE","TOT","USD","A","2013",51374,
"AUS","AVWAGE","TOT","USD","A","2014",51148,
"AUT","AVWAGE","TOT","USD","A","1990",37681,
"AUT","AVWAGE","TOT","USD","A","1991",38875,
"AUT","AVWAGE","TOT","USD","A","1992",39666,
"AUT","AVWAGE","TOT","USD","A","1993",40040,
"AUT","AVWAGE","TOT","USD","A","1994",40422,
"AUT","AVWAGE","TOT","USD","A","1995",40618,
"AUT","AVWAGE","TOT","USD","A","1996",40304,
"AUT","AVWAGE","TOT","USD","A","1997",39996,
"AUT","AVWAGE","TOT","USD","A","1998",41265,
"AUT","AVWAGE","TOT","USD","A","1999",42169,
"AUT","AVWAGE","TOT","USD","A","2000",42298,
"AUT","AVWAGE","TOT","USD","A","2001",42193,
"AUT","AVWAGE","TOT","USD","A","2002",42876,
"AUT","AVWAGE","TOT","USD","A","2003",42994,
"AUT","AVWAGE","TOT","USD","A","2004",43673,
"AUT","AVWAGE","TOT","USD","A","2005",43904,
"AUT","AVWAGE","TOT","USD","A","2006",44601,
"AUT","AVWAGE","TOT","USD","A","2007",44863,
"AUT","AVWAGE","TOT","USD","A","2008",45550,
"AUT","AVWAGE","TOT","USD","A","2009",46230,
"AUT","AVWAGE","TOT","USD","A","2010",45978,
"AUT","AVWAGE","TOT","USD","A","2011",45444,
"AUT","AVWAGE","TOT","USD","A","2012",45733,
"AUT","AVWAGE","TOT","USD","A","2013",45660,
"AUT","AVWAGE","TOT","USD","A","2014",45988,
"BEL","AVWAGE","TOT","USD","A","1990",39270,
"BEL","AVWAGE","TOT","USD","A","1991",40831,
"BEL","AVWAGE","TOT","USD","A","1992",41922,
"BEL","AVWAGE","TOT","USD","A","1993",42522,
"BEL","AVWAGE","TOT","USD","A","1994",43134,
"BEL","AVWAGE","TOT","USD","A","1995",42749,
"BEL","AVWAGE","TOT","USD","A","1996",43218,
"BEL","AVWAGE","TOT","USD","A","1997",43826,
"BEL","AVWAGE","TOT","USD","A","1998",43787,
"BEL","AVWAGE","TOT","USD","A","1999",46097,
"BEL","AVWAGE","TOT","USD","A","2000",45844,
"BEL","AVWAGE","TOT","USD","A","2001",46107,
"BEL","AVWAGE","TOT","USD","A","2002",46973,
"BEL","AVWAGE","TOT","USD","A","2003",47218,
"BEL","AVWAGE","TOT","USD","A","2004",47106,
"BEL","AVWAGE","TOT","USD","A","2005",46809,
"BEL","AVWAGE","TOT","USD","A","2006",47065,
"BEL","AVWAGE","TOT","USD","A","2007",46840,
"BEL","AVWAGE","TOT","USD","A","2008",46922,
"BEL","AVWAGE","TOT","USD","A","2009",47439,
"BEL","AVWAGE","TOT","USD","A","2010",47154,
"BEL","AVWAGE","TOT","USD","A","2011",47319,
"BEL","AVWAGE","TOT","USD","A","2012",47682,
"BEL","AVWAGE","TOT","USD","A","2013",48102,
"BEL","AVWAGE","TOT","USD","A","2014",48093,
"CAN","AVWAGE","TOT","USD","A","1990",34965,
"CAN","AVWAGE","TOT","USD","A","1991",34755,
"CAN","AVWAGE","TOT","USD","A","1992",35288,
"CAN","AVWAGE","TOT","USD","A","1993",35226,
"CAN","AVWAGE","TOT","USD","A","1994",35057,
"CAN","AVWAGE","TOT","USD","A","1995",35174,
"CAN","AVWAGE","TOT","USD","A","1996",35534,
"CAN","AVWAGE","TOT","USD","A","1997",36907,
"CAN","AVWAGE","TOT","USD","A","1998",37641,
"CAN","AVWAGE","TOT","USD","A","1999",38112,
"CAN","AVWAGE","TOT","USD","A","2000",39207,
"CAN","AVWAGE","TOT","USD","A","2001",39078,
"CAN","AVWAGE","TOT","USD","A","2002",38669,
"CAN","AVWAGE","TOT","USD","A","2003",38682,
"CAN","AVWAGE","TOT","USD","A","2004",39703,
"CAN","AVWAGE","TOT","USD","A","2005",41384,
"CAN","AVWAGE","TOT","USD","A","2006",42683,
"CAN","AVWAGE","TOT","USD","A","2007",43712,
"CAN","AVWAGE","TOT","USD","A","2008",44514,
"CAN","AVWAGE","TOT","USD","A","2009",44968,
"CAN","AVWAGE","TOT","USD","A","2010",45165,
"CAN","AVWAGE","TOT","USD","A","2011",45858,
"CAN","AVWAGE","TOT","USD","A","2012",46902,
"CAN","AVWAGE","TOT","USD","A","2013",47794,
"CAN","AVWAGE","TOT","USD","A","2014",48164,
"CZE","AVWAGE","TOT","USD","A","1995",12548,
"CZE","AVWAGE","TOT","USD","A","1996",13823,
"CZE","AVWAGE","TOT","USD","A","1997",14012,
"CZE","AVWAGE","TOT","USD","A","1998",13937,
"CZE","AVWAGE","TOT","USD","A","1999",14437,
"CZE","AVWAGE","TOT","USD","A","2000",14913,
"CZE","AVWAGE","TOT","USD","A","2001",15392,
"CZE","AVWAGE","TOT","USD","A","2002",16567,
"CZE","AVWAGE","TOT","USD","A","2003",17817,
"CZE","AVWAGE","TOT","USD","A","2004",18695,
"CZE","AVWAGE","TOT","USD","A","2005",19245,
"CZE","AVWAGE","TOT","USD","A","2006",20005,
"CZE","AVWAGE","TOT","USD","A","2007",20595,
"CZE","AVWAGE","TOT","USD","A","2008",20602,
"CZE","AVWAGE","TOT","USD","A","2009",20550,
"CZE","AVWAGE","TOT","USD","A","2010",21028,
"CZE","AVWAGE","TOT","USD","A","2011",21218,
"CZE","AVWAGE","TOT","USD","A","2012",21031,
"CZE","AVWAGE","TOT","USD","A","2013",20660,
"CZE","AVWAGE","TOT","USD","A","2014",21185,
"DNK","AVWAGE","TOT","USD","A","1990",37617,
"DNK","AVWAGE","TOT","USD","A","1991",37809,
"DNK","AVWAGE","TOT","USD","A","1992",39076,
"DNK","AVWAGE","TOT","USD","A","1993",39565,
"DNK","AVWAGE","TOT","USD","A","1994",38102,
"DNK","AVWAGE","TOT","USD","A","1995",39094,
"DNK","AVWAGE","TOT","USD","A","1996",39835,
"DNK","AVWAGE","TOT","USD","A","1997",40497,
"DNK","AVWAGE","TOT","USD","A","1998",41225,
"DNK","AVWAGE","TOT","USD","A","1999",41742,
"DNK","AVWAGE","TOT","USD","A","2000",41736,
"DNK","AVWAGE","TOT","USD","A","2001",42050,
"DNK","AVWAGE","TOT","USD","A","2002",43016,
"DNK","AVWAGE","TOT","USD","A","2003",44089,
"DNK","AVWAGE","TOT","USD","A","2004",45101,
"DNK","AVWAGE","TOT","USD","A","2005",45886,
"DNK","AVWAGE","TOT","USD","A","2006",46695,
"DNK","AVWAGE","TOT","USD","A","2007",47248,
"DNK","AVWAGE","TOT","USD","A","2008",47897,
"DNK","AVWAGE","TOT","USD","A","2009",49055,
"DNK","AVWAGE","TOT","USD","A","2010",49576,
"DNK","AVWAGE","TOT","USD","A","2011",49174,
"DNK","AVWAGE","TOT","USD","A","2012",48901,
"DNK","AVWAGE","TOT","USD","A","2013",48761,
"DNK","AVWAGE","TOT","USD","A","2014",49589,
"FIN","AVWAGE","TOT","USD","A","1990",30962,
"FIN","AVWAGE","TOT","USD","A","1991",31279,
"FIN","AVWAGE","TOT","USD","A","1992",30819,
"FIN","AVWAGE","TOT","USD","A","1993",29732,
"FIN","AVWAGE","TOT","USD","A","1994",30165,
