"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1970",56.0588647260581,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1971",56.6053961951761,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1972",56.7485746001312,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1973",56.49917668779,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1974",57.8490453141862,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1975",60.4415723267465,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1976",61.0981817583737,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1977",61.2201722195455,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1978",61.3017175395277,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1979",61.3178091232939,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1980",61.7963387859248,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1981",62.0549712461461,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1982",62.0416563446843,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1983",61.3922442940948,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1984",60.6542959189796,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1985",60.0192790577176,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1986",58.4176771493981,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1987",58.0087877492729,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1988",56.7227924888882,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1989",55.8771318712236,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1990",56.3071825859333,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1991",56.6331989888633,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1992",56.4778437019258,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1993",56.8081844294761,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1994",56.4907774265551,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1995",56.7010572319513,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1996",56.9240984133285,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1997",56.5180167182743,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1998",56.0983223878482,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1999",56.6052351827928,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2000",56.3745490634698,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2001",56.4877431325942,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2002",56.9223241028254,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2003",57.0268684544643,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2004",56.5898698934866,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2005",56.7256159717717,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2006",56.7620723315538,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2007",56.0979058529752,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2008",56.2381595245717,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2009",57.7965587240874,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2010",57.7580453330461,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2011",57.7956288679415,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2012",58.3071872748138,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2013",58.284859844576,
"FRA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","2014",58.9263811549493,
"EA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1995",54.0611129516289,"E"
"EA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1996",53.7334185735506,"E"
"EA","COMPEMPLOYEEACTY","TOT","PC_GVA","A","1997",53.2930487206179,"E"
