"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMPINDUS","AGR","THND_PER","A","1964",462.75,
"AUS","EMPINDUS","AGR","THND_PER","A","1965",448.75,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1966",439.25,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1967",441,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1968",437,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1969",428.5,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1970",432.25,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1971",423.5,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1972",439.75,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1973",422.25,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1974",408,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1975",404.75,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1976",390,"E"
"AUS","EMPINDUS","AGR","THND_PER","A","1977",398,
"AUS","EMPINDUS","AGR","THND_PER","A","1978",380.5,
"AUS","EMPINDUS","AGR","THND_PER","A","1979",396,
"AUS","EMPINDUS","AGR","THND_PER","A","1980",407.25,
"AUS","EMPINDUS","AGR","THND_PER","A","1981",416,
"AUS","EMPINDUS","AGR","THND_PER","A","1982",412,
"AUS","EMPINDUS","AGR","THND_PER","A","1983",416,
"AUS","EMPINDUS","AGR","THND_PER","A","1984",403.5444,"B"
"AUS","EMPINDUS","AGR","THND_PER","A","1985",411.6402,
"AUS","EMPINDUS","AGR","THND_PER","A","1986",424.194,
"AUS","EMPINDUS","AGR","THND_PER","A","1987",411.2527,
"AUS","EMPINDUS","AGR","THND_PER","A","1988",430.56,
"AUS","EMPINDUS","AGR","THND_PER","A","1989",425.2033,
"AUS","EMPINDUS","AGR","THND_PER","A","1990",435.7737,
"AUS","EMPINDUS","AGR","THND_PER","A","1991",410.4288,
"AUS","EMPINDUS","AGR","THND_PER","A","1992",384.4738,
"AUS","EMPINDUS","AGR","THND_PER","A","1993",389.9679,
"AUS","EMPINDUS","AGR","THND_PER","A","1994",385.517,
"AUS","EMPINDUS","AGR","THND_PER","A","1995",390.1216,
"AUS","EMPINDUS","AGR","THND_PER","A","1996",401.1078,
"AUS","EMPINDUS","AGR","THND_PER","A","1997",409.1771,
"AUS","EMPINDUS","AGR","THND_PER","A","1998",411.0339,
"AUS","EMPINDUS","AGR","THND_PER","A","1999",425.8499,
"AUS","EMPINDUS","AGR","THND_PER","A","2000",430.4146,
"AUS","EMPINDUS","AGR","THND_PER","A","2001",427.3297,
"AUS","EMPINDUS","AGR","THND_PER","A","2002",401.6648,
"AUS","EMPINDUS","AGR","THND_PER","A","2003",366.9275,
"AUS","EMPINDUS","AGR","THND_PER","A","2004",355.8749,
"AUS","EMPINDUS","AGR","THND_PER","A","2005",352.7252,
"AUS","EMPINDUS","AGR","THND_PER","A","2006",344.1808,
"AUS","EMPINDUS","AGR","THND_PER","A","2007",345.5932,
"AUS","EMPINDUS","AGR","THND_PER","A","2008",344.7386,
"AUS","EMPINDUS","AGR","THND_PER","A","2009",348.4926,
"AUS","EMPINDUS","AGR","THND_PER","A","2010",355.0624,
"AUS","EMPINDUS","AGR","THND_PER","A","2011",315.1926,
"AUS","EMPINDUS","AGR","THND_PER","A","2012",316.8052,
"AUS","EMPINDUS","AGR","THND_PER","A","2013",298.9035,
"AUS","EMPINDUS","AGR","THND_PER","A","2014",323.2782,
"AUS","EMPINDUS","AGR","THND_PER","A","2015",311.4253,
"AUT","EMPINDUS","AGR","THND_PER","A","1956",920,
"AUT","EMPINDUS","AGR","THND_PER","A","1957",889,
"AUT","EMPINDUS","AGR","THND_PER","A","1958",865,
"AUT","EMPINDUS","AGR","THND_PER","A","1959",832,
"AUT","EMPINDUS","AGR","THND_PER","A","1960",796,
"AUT","EMPINDUS","AGR","THND_PER","A","1961",767,
"AUT","EMPINDUS","AGR","THND_PER","A","1962",742,
"AUT","EMPINDUS","AGR","THND_PER","A","1963",725,
"AUT","EMPINDUS","AGR","THND_PER","A","1964",705,
"AUT","EMPINDUS","AGR","THND_PER","A","1965",689,
"AUT","EMPINDUS","AGR","THND_PER","A","1966",660,"E"
"AUT","EMPINDUS","AGR","THND_PER","A","1967",638,"E"
"AUT","EMPINDUS","AGR","THND_PER","A","1968",604,
"AUT","EMPINDUS","AGR","THND_PER","A","1969",569.5,
"AUT","EMPINDUS","AGR","THND_PER","A","1970",559.5,
"AUT","EMPINDUS","AGR","THND_PER","A","1971",526,
"AUT","EMPINDUS","AGR","THND_PER","A","1972",498.25,
"AUT","EMPINDUS","AGR","THND_PER","A","1973",489.25,
"AUT","EMPINDUS","AGR","THND_PER","A","1974",390.25,"B"
"AUT","EMPINDUS","AGR","THND_PER","A","1975",369,
"AUT","EMPINDUS","AGR","THND_PER","A","1976",363.5,
"AUT","EMPINDUS","AGR","THND_PER","A","1977",353,
"AUT","EMPINDUS","AGR","THND_PER","A","1978",329.25,
"AUT","EMPINDUS","AGR","THND_PER","A","1979",325.5,
"AUT","EMPINDUS","AGR","THND_PER","A","1980",323,
"AUT","EMPINDUS","AGR","THND_PER","A","1981",317,
"AUT","EMPINDUS","AGR","THND_PER","A","1982",320,
"AUT","EMPINDUS","AGR","THND_PER","A","1983",313,
"AUT","EMPINDUS","AGR","THND_PER","A","1984",304.25,
"AUT","EMPINDUS","AGR","THND_PER","A","1985",291,
"AUT","EMPINDUS","AGR","THND_PER","A","1986",284,
"AUT","EMPINDUS","AGR","THND_PER","A","1987",285.25,
"AUT","EMPINDUS","AGR","THND_PER","A","1988",269.75,
"AUT","EMPINDUS","AGR","THND_PER","A","1989",265.5,
"AUT","EMPINDUS","AGR","THND_PER","A","1990",268.75,
"AUT","EMPINDUS","AGR","THND_PER","A","1991",257.25,
"AUT","EMPINDUS","AGR","THND_PER","A","1992",251,
"AUT","EMPINDUS","AGR","THND_PER","A","1993",246.25,"B"
"AUT","EMPINDUS","AGR","THND_PER","A","1994",265.25,
"AUT","EMPINDUS","AGR","THND_PER","A","1995",277.75,
"AUT","EMPINDUS","AGR","THND_PER","A","1996",268.75,
"AUT","EMPINDUS","AGR","THND_PER","A","1997",250.25,
"AUT","EMPINDUS","AGR","THND_PER","A","1998",241.8,"B"
"AUT","EMPINDUS","AGR","THND_PER","A","1999",228.625,
"AUT","EMPINDUS","AGR","THND_PER","A","2000",216,
"AUT","EMPINDUS","AGR","THND_PER","A","2001",212.875,
"AUT","EMPINDUS","AGR","THND_PER","A","2002",212.4,
"AUT","EMPINDUS","AGR","THND_PER","A","2003",210.6,"B"
"AUT","EMPINDUS","AGR","THND_PER","A","2004",188.4,"B"
"AUT","EMPINDUS","AGR","THND_PER","A","2005",210.5,
"AUT","EMPINDUS","AGR","THND_PER","A","2006",216.9,
"AUT","EMPINDUS","AGR","THND_PER","A","2007",231.275,"B"
"AUT","EMPINDUS","AGR","THND_PER","A","2008",209.775,
