"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","EMPEDU","BUPPSRY","PC_25_64","A","2012",68.54,
"CHE","EMPEDU","BUPPSRY","PC_25_64","A","2013",69.02,
"KOR","EMPEDU","BUPPSRY","PC_25_64","A","2012",65.25,
"KOR","EMPEDU","BUPPSRY","PC_25_64","A","2013",65.37,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2012",50.57,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2013",58.22,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2012",61.39,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2013",60.93,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2012",30.7,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2013",31.02,
"USA","EMPEDU","BUPPSRY","PC_25_64","A","2012",52.87,
"USA","EMPEDU","BUPPSRY","PC_25_64","A","2013",53.17,
"TUR","EMPEDU","BUPPSRY","PC_25_64","A","2012",51.23,
"TUR","EMPEDU","BUPPSRY","PC_25_64","A","2013",51.22,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2012",55.97,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2013",55.28,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2012",47.34,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2013",45.15,
"GBR","EMPEDU","BUPPSRY","PC_25_64","A","2012",56.77,
"GBR","EMPEDU","BUPPSRY","PC_25_64","A","2013",57.4,
"NLD","EMPEDU","BUPPSRY","PC_25_64","A","2012",62.19,
"NLD","EMPEDU","BUPPSRY","PC_25_64","A","2013",60.72,
"PRT","EMPEDU","BUPPSRY","PC_25_64","A","2012",63.18,
"PRT","EMPEDU","BUPPSRY","PC_25_64","A","2013",61.8,
"SVN","EMPEDU","BUPPSRY","PC_25_64","A","2012",47.19,
"SVN","EMPEDU","BUPPSRY","PC_25_64","A","2013",45.48,
"OAVG","EMPEDU","BUPPSRY","PC_25_64","A","2012",54.98,
"OAVG","EMPEDU","BUPPSRY","PC_25_64","A","2013",54.73,
"CZE","EMPEDU","BUPPSRY","PC_25_64","A","2012",40.43,
"CZE","EMPEDU","BUPPSRY","PC_25_64","A","2013",41.83,
"LVA","EMPEDU","BUPPSRY","PC_25_64","A","2012",51.79,
"LVA","EMPEDU","BUPPSRY","PC_25_64","A","2013",50.88,
"NZL","EMPEDU","BUPPSRY","PC_25_64","A","2012",68.28,
"NZL","EMPEDU","BUPPSRY","PC_25_64","A","2013",68.41,
"AUS","EMPEDU","BUPPSRY","PC_25_64","A","2012",66.24,
"AUS","EMPEDU","BUPPSRY","PC_25_64","A","2013",60.33,
"DEU","EMPEDU","BUPPSRY","PC_25_64","A","2012",57.46,
"DEU","EMPEDU","BUPPSRY","PC_25_64","A","2013",57.91,
"POL","EMPEDU","BUPPSRY","PC_25_64","A","2012",39.76,
"POL","EMPEDU","BUPPSRY","PC_25_64","A","2013",38.54,
"ISL","EMPEDU","BUPPSRY","PC_25_64","A","2012",73.01,
"ISL","EMPEDU","BUPPSRY","PC_25_64","A","2013",74.4,
"MEX","EMPEDU","BUPPSRY","PC_25_64","A","2012",64.14,
"MEX","EMPEDU","BUPPSRY","PC_25_64","A","2013",63.66,
"BEL","EMPEDU","BUPPSRY","PC_25_64","A","2012",47.56,
"BEL","EMPEDU","BUPPSRY","PC_25_64","A","2013",47.82,
"HUN","EMPEDU","BUPPSRY","PC_25_64","A","2012",38.79,
"HUN","EMPEDU","BUPPSRY","PC_25_64","A","2013",39.44,
"IRL","EMPEDU","BUPPSRY","PC_25_64","A","2012",44.1,
"IRL","EMPEDU","BUPPSRY","PC_25_64","A","2013",46.93,
"SWE","EMPEDU","BUPPSRY","PC_25_64","A","2012",63.97,
"SWE","EMPEDU","BUPPSRY","PC_25_64","A","2013",62.45,
"ITA","EMPEDU","BUPPSRY","PC_25_64","A","2012",50.9,
"ITA","EMPEDU","BUPPSRY","PC_25_64","A","2013",49.75,
"BRA","EMPEDU","BUPPSRY","PC_25_64","A","2012",66.78,
"BRA","EMPEDU","BUPPSRY","PC_25_64","A","2013",66.87,
"FRA","EMPEDU","BUPPSRY","PC_25_64","A","2012",55.48,
"FRA","EMPEDU","BUPPSRY","PC_25_64","A","2013",54.26,
"NOR","EMPEDU","BUPPSRY","PC_25_64","A","2012",65.21,
"NOR","EMPEDU","BUPPSRY","PC_25_64","A","2013",62.27,
"CAN","EMPEDU","BUPPSRY","PC_25_64","A","2012",56.24,
"CAN","EMPEDU","BUPPSRY","PC_25_64","A","2013",56.32,
"FIN","EMPEDU","BUPPSRY","PC_25_64","A","2012",55.2,
"FIN","EMPEDU","BUPPSRY","PC_25_64","A","2013",54.13,
"RUS","EMPEDU","BUPPSRY","PC_25_64","A","2012",49.52,
"LUX","EMPEDU","BUPPSRY","PC_25_64","A","2012",62.98,
"LUX","EMPEDU","BUPPSRY","PC_25_64","A","2013",61.77,
"ESP","EMPEDU","BUPPSRY","PC_25_64","A","2012",49.11,
"ESP","EMPEDU","BUPPSRY","PC_25_64","A","2013",48.3,
"ISR","EMPEDU","BUPPSRY","PC_25_64","A","2012",47.18,
"ISR","EMPEDU","BUPPSRY","PC_25_64","A","2013",48.07,
"COL","EMPEDU","BUPPSRY","PC_25_64","A","2013",71.79,
