"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EMPAGE","15_24","PC_AGE","A","1999",56.3,
"AUT","EMPAGE","15_24","PC_AGE","A","2000",52.55,
"AUT","EMPAGE","15_24","PC_AGE","A","2001",51.375,
"AUT","EMPAGE","15_24","PC_AGE","A","2002",51.675,
"AUT","EMPAGE","15_24","PC_AGE","A","2003",51.125,"B"
"AUT","EMPAGE","15_24","PC_AGE","A","2004",50.75,
"AUT","EMPAGE","15_24","PC_AGE","A","2005",51.625,
"AUT","EMPAGE","15_24","PC_AGE","A","2006",52.25,
"AUT","EMPAGE","15_24","PC_AGE","A","2007",53.825,
"AUT","EMPAGE","15_24","PC_AGE","A","2008",54.45,
"AUT","EMPAGE","15_24","PC_AGE","A","2009",53.15,
"AUT","EMPAGE","15_24","PC_AGE","A","2010",52.75,
"AUT","EMPAGE","15_24","PC_AGE","A","2011",53.9,
"AUT","EMPAGE","15_24","PC_AGE","A","2012",53.675,
"AUT","EMPAGE","15_24","PC_AGE","A","2013",53.075,
"AUT","EMPAGE","15_24","PC_AGE","A","2014",52.05,
"BEL","EMPAGE","15_24","PC_AGE","A","1999",28.2,
"BEL","EMPAGE","15_24","PC_AGE","A","2000",29.125,
"BEL","EMPAGE","15_24","PC_AGE","A","2001",29.7,
"BEL","EMPAGE","15_24","PC_AGE","A","2002",29.35,
"BEL","EMPAGE","15_24","PC_AGE","A","2003",27.35,
"BEL","EMPAGE","15_24","PC_AGE","A","2004",27.8,
"BEL","EMPAGE","15_24","PC_AGE","A","2005",27.475,
"BEL","EMPAGE","15_24","PC_AGE","A","2006",27.575,
"BEL","EMPAGE","15_24","PC_AGE","A","2007",27.475,
"BEL","EMPAGE","15_24","PC_AGE","A","2008",27.4,
"BEL","EMPAGE","15_24","PC_AGE","A","2009",25.35,
"BEL","EMPAGE","15_24","PC_AGE","A","2010",25.225,
"BEL","EMPAGE","15_24","PC_AGE","A","2011",26,
"BEL","EMPAGE","15_24","PC_AGE","A","2012",25.25,
"BEL","EMPAGE","15_24","PC_AGE","A","2013",23.625,
"BEL","EMPAGE","15_24","PC_AGE","A","2014",23.2,
"CAN","EMPAGE","15_24","PC_AGE","A","1995",53.78333,
"CAN","EMPAGE","15_24","PC_AGE","A","1996",52.66667,
"CAN","EMPAGE","15_24","PC_AGE","A","1997",51.475,
"CAN","EMPAGE","15_24","PC_AGE","A","1998",52.44167,
"CAN","EMPAGE","15_24","PC_AGE","A","1999",54.54167,
"CAN","EMPAGE","15_24","PC_AGE","A","2000",56.23333,
"CAN","EMPAGE","15_24","PC_AGE","A","2001",56.34167,
"CAN","EMPAGE","15_24","PC_AGE","A","2002",57.46667,
"CAN","EMPAGE","15_24","PC_AGE","A","2003",58.15,
"CAN","EMPAGE","15_24","PC_AGE","A","2004",57.83333,
"CAN","EMPAGE","15_24","PC_AGE","A","2005",57.7,
"CAN","EMPAGE","15_24","PC_AGE","A","2006",58.51667,
"CAN","EMPAGE","15_24","PC_AGE","A","2007",59.48333,
"CAN","EMPAGE","15_24","PC_AGE","A","2008",59.53333,
"CAN","EMPAGE","15_24","PC_AGE","A","2009",55.31667,
"CAN","EMPAGE","15_24","PC_AGE","A","2010",54.88334,
"CAN","EMPAGE","15_24","PC_AGE","A","2011",55.31667,
"CAN","EMPAGE","15_24","PC_AGE","A","2012",54.325,
"CAN","EMPAGE","15_24","PC_AGE","A","2013",55.075,
"CAN","EMPAGE","15_24","PC_AGE","A","2014",55.55,
"CAN","EMPAGE","15_24","PC_AGE","A","2015",55.775,
"CZE","EMPAGE","15_24","PC_AGE","A","1999",38.275,
