"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HRWKD","TOT","HR_WKD","A","1979",1833.8,
"AUS","HRWKD","TOT","HR_WKD","A","1980",1835.9,
"AUS","HRWKD","TOT","HR_WKD","A","1981",1818.6,
"AUS","HRWKD","TOT","HR_WKD","A","1982",1802.3,
"AUS","HRWKD","TOT","HR_WKD","A","1983",1790.7,
"AUS","HRWKD","TOT","HR_WKD","A","1984",1801.4,
"AUS","HRWKD","TOT","HR_WKD","A","1985",1791.7,
"AUS","HRWKD","TOT","HR_WKD","A","1986",1798.5,
"AUS","HRWKD","TOT","HR_WKD","A","1987",1797.2,
"AUS","HRWKD","TOT","HR_WKD","A","1988",1802,
"AUS","HRWKD","TOT","HR_WKD","A","1989",1804.7,
"AUS","HRWKD","TOT","HR_WKD","A","1990",1779.7,
"AUS","HRWKD","TOT","HR_WKD","A","1991",1774.6,
"AUS","HRWKD","TOT","HR_WKD","A","1992",1773.5,
"AUS","HRWKD","TOT","HR_WKD","A","1993",1787,
"AUS","HRWKD","TOT","HR_WKD","A","1994",1797.8,
"AUS","HRWKD","TOT","HR_WKD","A","1995",1792.9,
"AUS","HRWKD","TOT","HR_WKD","A","1996",1782.1,
"AUS","HRWKD","TOT","HR_WKD","A","1997",1783.6,
"AUS","HRWKD","TOT","HR_WKD","A","1998",1769,
"AUS","HRWKD","TOT","HR_WKD","A","1999",1778.7,
"AUS","HRWKD","TOT","HR_WKD","A","2000",1779.2,
"AUS","HRWKD","TOT","HR_WKD","A","2001",1735.5,
"AUS","HRWKD","TOT","HR_WKD","A","2002",1731.3,
"AUS","HRWKD","TOT","HR_WKD","A","2003",1735.9,
"AUS","HRWKD","TOT","HR_WKD","A","2004",1735.5,
"AUS","HRWKD","TOT","HR_WKD","A","2005",1729.7,
"AUS","HRWKD","TOT","HR_WKD","A","2006",1720.3,
"AUS","HRWKD","TOT","HR_WKD","A","2007",1711.2,
"AUS","HRWKD","TOT","HR_WKD","A","2008",1717.4,
"AUS","HRWKD","TOT","HR_WKD","A","2009",1690.1,
"AUS","HRWKD","TOT","HR_WKD","A","2010",1691.5,
"AUS","HRWKD","TOT","HR_WKD","A","2011",1699.4,
"AUS","HRWKD","TOT","HR_WKD","A","2012",1678.4,
"AUS","HRWKD","TOT","HR_WKD","A","2013",1662.9,
"AUS","HRWKD","TOT","HR_WKD","A","2014",1664.2,
"AUT","HRWKD","TOT","HR_WKD","A","1995",1783.4,
"AUT","HRWKD","TOT","HR_WKD","A","1996",1816.3,
"AUT","HRWKD","TOT","HR_WKD","A","1997",1825,
"AUT","HRWKD","TOT","HR_WKD","A","1998",1803.3,
"AUT","HRWKD","TOT","HR_WKD","A","1999",1807,
"AUT","HRWKD","TOT","HR_WKD","A","2000",1807.4,
