"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","LFFORECAST","TOT","PER","A","1960",4385739.04689202,
"NLD","LFFORECAST","TOT","PER","A","1961",4474209.61029207,
"NLD","LFFORECAST","TOT","PER","A","1962",4600451.83702344,
"NLD","LFFORECAST","TOT","PER","A","1963",4702317.21237632,
"NLD","LFFORECAST","TOT","PER","A","1964",4816852.79470414,
"NLD","LFFORECAST","TOT","PER","A","1965",4902362.22225061,
"NLD","LFFORECAST","TOT","PER","A","1966",4996040.50060453,
"NLD","LFFORECAST","TOT","PER","A","1967",5075922.12700663,
"NLD","LFFORECAST","TOT","PER","A","1968",5156874.09476526,
"NLD","LFFORECAST","TOT","PER","A","1969",5258319.42564399,
"NLD","LFFORECAST","TOT","PER","A","1970",5327134.69545262,
"NLD","LFFORECAST","TOT","PER","A","1971",5398384.1675558,
"NLD","LFFORECAST","TOT","PER","A","1972",5422455.83834842,
"NLD","LFFORECAST","TOT","PER","A","1973",5453949.20276339,
"NLD","LFFORECAST","TOT","PER","A","1974",5517499.73244756,
"NLD","LFFORECAST","TOT","PER","A","1975",5594946.53647302,
"NLD","LFFORECAST","TOT","PER","A","1976",5649707.08299616,
"NLD","LFFORECAST","TOT","PER","A","1977",5676380.95089439,
"NLD","LFFORECAST","TOT","PER","A","1978",5736972.45243789,
"NLD","LFFORECAST","TOT","PER","A","1979",5838513.77121005,
"NLD","LFFORECAST","TOT","PER","A","1980",5932105.93101199,
"NLD","LFFORECAST","TOT","PER","A","1981",6037832.90419465,
"NLD","LFFORECAST","TOT","PER","A","1982",6151895.49753207,
"NLD","LFFORECAST","TOT","PER","A","1983",6290386.80747994,
"NLD","LFFORECAST","TOT","PER","A","1984",6308697.56172269,
"NLD","LFFORECAST","TOT","PER","A","1985",6309665.5821891,
"NLD","LFFORECAST","TOT","PER","A","1986",6395954.97852802,
"NLD","LFFORECAST","TOT","PER","A","1987",6499010.24483154,
"NLD","LFFORECAST","TOT","PER","A","1988",6604245.05203871,
"NLD","LFFORECAST","TOT","PER","A","1989",6704341.62834766,
"NLD","LFFORECAST","TOT","PER","A","1990",6830974.51747844,
"NLD","LFFORECAST","TOT","PER","A","1991",6923408.62882665,
"NLD","LFFORECAST","TOT","PER","A","1992",7016322.38352655,
"NLD","LFFORECAST","TOT","PER","A","1993",7149689.27365633,
"NLD","LFFORECAST","TOT","PER","A","1994",7289471.9917592,
"NLD","LFFORECAST","TOT","PER","A","1995",7403544.93637757,
"NLD","LFFORECAST","TOT","PER","A","1996",7497392.58194764,
"NLD","LFFORECAST","TOT","PER","A","1997",7634426.53205711,
"NLD","LFFORECAST","TOT","PER","A","1998",7705788.29176641,
"NLD","LFFORECAST","TOT","PER","A","1999",7847009.93222892,
"NLD","LFFORECAST","TOT","PER","A","2000",7941081.71249097,
"NLD","LFFORECAST","TOT","PER","A","2001",8032705.71435953,
"NLD","LFFORECAST","TOT","PER","A","2002",8129502.57365727,
"NLD","LFFORECAST","TOT","PER","A","2003",8178083.33346405,
