"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LFPR","TOT","PC_AGE","A","1966",59.9268975465448,
"AUS","LFPR","TOT","PC_AGE","A","1967",60.1286520286053,
"AUS","LFPR","TOT","PC_AGE","A","1968",60.2034597534105,
"AUS","LFPR","TOT","PC_AGE","A","1969",60.1802502458998,
"AUS","LFPR","TOT","PC_AGE","A","1970",61.1551781923807,
"AUS","LFPR","TOT","PC_AGE","A","1971",61.019659895771,
"AUS","LFPR","TOT","PC_AGE","A","1972",61.3450753779559,
"AUS","LFPR","TOT","PC_AGE","A","1973",61.5747372823757,
"AUS","LFPR","TOT","PC_AGE","A","1974",61.3809694425961,
"AUS","LFPR","TOT","PC_AGE","A","1975",61.5934298194408,
"AUS","LFPR","TOT","PC_AGE","A","1976",61.2888215668221,
"AUS","LFPR","TOT","PC_AGE","A","1977",61.7944205132194,
"AUS","LFPR","TOT","PC_AGE","A","1978",60.9320102171863,
"AUS","LFPR","TOT","PC_AGE","A","1979",60.75705561977,
"AUS","LFPR","TOT","PC_AGE","A","1980",61.2951182564222,
"AUS","LFPR","TOT","PC_AGE","A","1981",61.1358744351948,
"AUS","LFPR","TOT","PC_AGE","A","1982",60.7810633940318,
"AUS","LFPR","TOT","PC_AGE","A","1983",60.4369986514104,
"AUS","LFPR","TOT","PC_AGE","A","1984",60.5501756320241,
"AUS","LFPR","TOT","PC_AGE","A","1985",60.8055633040226,
"AUS","LFPR","TOT","PC_AGE","A","1986",61.8873092277432,
"AUS","LFPR","TOT","PC_AGE","A","1987",61.9582079043069,
"AUS","LFPR","TOT","PC_AGE","A","1988",62.3794255229274,
"AUS","LFPR","TOT","PC_AGE","A","1989",63.1596982736286,
"AUS","LFPR","TOT","PC_AGE","A","1990",63.7468604545467,
"AUS","LFPR","TOT","PC_AGE","A","1991",63.1378904464448,
"AUS","LFPR","TOT","PC_AGE","A","1992",62.8631819084096,
"AUS","LFPR","TOT","PC_AGE","A","1993",62.4508656191511,
"AUS","LFPR","TOT","PC_AGE","A","1994",62.9339193628462,
"AUS","LFPR","TOT","PC_AGE","A","1995",63.5420365163115,
"AUS","LFPR","TOT","PC_AGE","A","1996",63.5200205934296,
"AUS","LFPR","TOT","PC_AGE","A","1997",63.1232085660239,
"AUS","LFPR","TOT","PC_AGE","A","1998",62.9976671974515,
"AUS","LFPR","TOT","PC_AGE","A","1999",62.7640206496356,
"AUS","LFPR","TOT","PC_AGE","A","2000",63.1380625409747,
"AUS","LFPR","TOT","PC_AGE","A","2001",63.2985174470249,
"AUS","LFPR","TOT","PC_AGE","A","2002",63.3639846366588,
"AUS","LFPR","TOT","PC_AGE","A","2003",63.5860252113828,
"AUS","LFPR","TOT","PC_AGE","A","2004",63.4595757515659,
"AUS","LFPR","TOT","PC_AGE","A","2005",64.3978900563614,
"AUS","LFPR","TOT","PC_AGE","A","2006",64.7562221942732,
"AUS","LFPR","TOT","PC_AGE","A","2007",65.1762724039854,
"AUS","LFPR","TOT","PC_AGE","A","2008",65.4810431614341,
"AUS","LFPR","TOT","PC_AGE","A","2009",65.4312285445776,
"AUS","LFPR","TOT","PC_AGE","A","2010",65.3906081236048,
"AUS","LFPR","TOT","PC_AGE","A","2011",65.4196259792022,
"AUS","LFPR","TOT","PC_AGE","A","2012",65.1373768219316,
"AUS","LFPR","TOT","PC_AGE","A","2013",64.9227815675369,
"AUS","LFPR","TOT","PC_AGE","A","2014",64.6961711821349,
"AUT","LFPR","TOT","PC_AGE","A","1994",59.0628798476275,
"AUT","LFPR","TOT","PC_AGE","A","1995",59.2356531388096,
"AUT","LFPR","TOT","PC_AGE","A","1996",58.5665779843048,
"AUT","LFPR","TOT","PC_AGE","A","1997",58.5444571027847,
"AUT","LFPR","TOT","PC_AGE","A","1998",58.4568501588537,
