"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","LF","TOT","THND_PER","Q","1955-Q1",63829.33,
"USA","LF","TOT","THND_PER","Q","1955-Q2",64475.67,
"USA","LF","TOT","THND_PER","Q","1955-Q3",65451.33,
"USA","LF","TOT","THND_PER","Q","1955-Q4",66101,
"USA","LF","TOT","THND_PER","Q","1956-Q1",66239.34,
"USA","LF","TOT","THND_PER","Q","1956-Q2",66562.66,
"USA","LF","TOT","THND_PER","Q","1956-Q3",66713,
"USA","LF","TOT","THND_PER","Q","1956-Q4",66634.34,
"USA","LF","TOT","THND_PER","Q","1957-Q1",66740,
"USA","LF","TOT","THND_PER","Q","1957-Q2",66798,
"USA","LF","TOT","THND_PER","Q","1957-Q3",67035.34,
"USA","LF","TOT","THND_PER","Q","1957-Q4",67195.66,
"USA","LF","TOT","THND_PER","Q","1958-Q1",67173,
"USA","LF","TOT","THND_PER","Q","1958-Q2",67738.66,
"USA","LF","TOT","THND_PER","Q","1958-Q3",67954.34,
"USA","LF","TOT","THND_PER","Q","1958-Q4",67814.34,
"USA","LF","TOT","THND_PER","Q","1959-Q1",67884.34,
"USA","LF","TOT","THND_PER","Q","1959-Q2",68265,
"USA","LF","TOT","THND_PER","Q","1959-Q3",68505.34,
"USA","LF","TOT","THND_PER","Q","1959-Q4",68782.66,
"USA","LF","TOT","THND_PER","Q","1960-Q1",68770,
"USA","LF","TOT","THND_PER","Q","1960-Q2",69713,
"USA","LF","TOT","THND_PER","Q","1960-Q3",69912.34,
"USA","LF","TOT","THND_PER","Q","1960-Q4",70239.34,
"USA","LF","TOT","THND_PER","Q","1961-Q1",70523.34,
"USA","LF","TOT","THND_PER","Q","1961-Q2",70532.34,
"USA","LF","TOT","THND_PER","Q","1961-Q3",70429,
"USA","LF","TOT","THND_PER","Q","1961-Q4",70315,
"USA","LF","TOT","THND_PER","Q","1962-Q1",70337.34,
"USA","LF","TOT","THND_PER","Q","1962-Q2",70447.66,
"USA","LF","TOT","THND_PER","Q","1962-Q3",70812,
"USA","LF","TOT","THND_PER","Q","1962-Q4",70880.66,
"USA","LF","TOT","THND_PER","Q","1963-Q1",71277,
"USA","LF","TOT","THND_PER","Q","1963-Q2",71718.34,
"USA","LF","TOT","THND_PER","Q","1963-Q3",71957.66,
"USA","LF","TOT","THND_PER","Q","1963-Q4",72295.66,
"USA","LF","TOT","THND_PER","Q","1964-Q1",72584,
"USA","LF","TOT","THND_PER","Q","1964-Q2",73233.66,
"USA","LF","TOT","THND_PER","Q","1964-Q3",73138.34,
"USA","LF","TOT","THND_PER","Q","1964-Q4",73353,
"USA","LF","TOT","THND_PER","Q","1965-Q1",73791.66,
"USA","LF","TOT","THND_PER","Q","1965-Q2",74368.66,
"USA","LF","TOT","THND_PER","Q","1965-Q3",74626.34,
"USA","LF","TOT","THND_PER","Q","1965-Q4",74909.34,
"USA","LF","TOT","THND_PER","Q","1966-Q1",75071.66,
"USA","LF","TOT","THND_PER","Q","1966-Q2",75477.34,
"USA","LF","TOT","THND_PER","Q","1966-Q3",75946,
"USA","LF","TOT","THND_PER","Q","1966-Q4",76483.34,
"USA","LF","TOT","THND_PER","Q","1967-Q1",76496,
"USA","LF","TOT","THND_PER","Q","1967-Q2",76940,
"USA","LF","TOT","THND_PER","Q","1967-Q3",77662.66,
"USA","LF","TOT","THND_PER","Q","1967-Q4",78292,
"USA","LF","TOT","THND_PER","Q","1968-Q1",78021.34,
"USA","LF","TOT","THND_PER","Q","1968-Q2",78745.66,
"USA","LF","TOT","THND_PER","Q","1968-Q3",78879.66,
"USA","LF","TOT","THND_PER","Q","1968-Q4",79195,
"USA","LF","TOT","THND_PER","Q","1969-Q1",79873.66,
