"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1978",14.4202463493047,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1979",18.1281509467225,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1980",19.1755175958103,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1981",19.5011234243497,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1982",18.7591805726455,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1983",25.211607875543,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1984",31.0161178387904,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1985",30.7679803339708,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1986",27.6100025769749,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1987",28.0074357009055,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1988",27.7700453647751,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1989",24.7619909894129,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1990",21.0844733242134,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1991",23.7353999609561,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1992",33.4400254244983,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1993",36.7125633159735,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1994",36.0667445938048,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1995",32.0236704656787,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1996",28.515251123274,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1997",31.1990046426019,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1998",32.9212344925203,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","1999",31.3333261811455,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2000",28.3386058072534,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2001",23.9466121466936,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2002",22.4287475450942,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2003",21.4849586763745,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2004",20.6119084393659,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2005",18.2246775828883,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2006",18.1195303372651,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2007",15.3683003396555,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2008",14.9279400064019,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2009",14.7275026949838,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2010",18.6079171657607,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2011",18.9291431080983,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2012",18.9709263711253,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2013",19.1475297210163,
"AUS","LTUNEMP","TOT","PC_UNEMP","A","2014",21.8068456601303,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1994",18.4271754304328,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1995",29.1442250149611,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1996",24.8637939574047,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1997",27.4987053340238,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1998",30.293971101146,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","1999",29.1735995562951,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2000",25.8375724529264,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2001",23.3310064522022,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2002",19.2131723700492,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2003",24.5470964917082,
"AUT","LTUNEMP","TOT","PC_UNEMP","A","2004",27.8930528581584,
