"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMP","TOT","PC_EMP","A","1964",16.37193,
"AUS","SELFEMP","TOT","PC_EMP","A","1965",15.98876,
"AUS","SELFEMP","TOT","PC_EMP","A","1966",15.6108,"B"
"AUS","SELFEMP","TOT","PC_EMP","A","1967",14.77273,
"AUS","SELFEMP","TOT","PC_EMP","A","1968",14.38699,
"AUS","SELFEMP","TOT","PC_EMP","A","1969",13.9178,
"AUS","SELFEMP","TOT","PC_EMP","A","1970",13.86549,
"AUS","SELFEMP","TOT","PC_EMP","A","1971",13.70397,
"AUS","SELFEMP","TOT","PC_EMP","A","1972",13.83595,
"AUS","SELFEMP","TOT","PC_EMP","A","1973",13.65123,
"AUS","SELFEMP","TOT","PC_EMP","A","1974",14.08893,
"AUS","SELFEMP","TOT","PC_EMP","A","1975",14.31889,
"AUS","SELFEMP","TOT","PC_EMP","A","1976",15.0522,
"AUS","SELFEMP","TOT","PC_EMP","A","1977",15.8832,
"AUS","SELFEMP","TOT","PC_EMP","A","1978",15.58177,"B"
"AUS","SELFEMP","TOT","PC_EMP","A","1979",15.91491,
"AUS","SELFEMP","TOT","PC_EMP","A","1980",16.01618,
"AUS","SELFEMP","TOT","PC_EMP","A","1981",15.57713,
"AUS","SELFEMP","TOT","PC_EMP","A","1982",15.62614,
"AUS","SELFEMP","TOT","PC_EMP","A","1983",15.60702,
"AUS","SELFEMP","TOT","PC_EMP","A","1984",15.60707,
"AUS","SELFEMP","TOT","PC_EMP","A","1985",15.03445,"B"
"AUS","SELFEMP","TOT","PC_EMP","A","1986",15.31517,
"AUS","SELFEMP","TOT","PC_EMP","A","1987",15.01189,
"AUS","SELFEMP","TOT","PC_EMP","A","1988",15.06831,
"AUS","SELFEMP","TOT","PC_EMP","A","1989",14.48796,
"AUS","SELFEMP","TOT","PC_EMP","A","1990",14.43366,
"AUS","SELFEMP","TOT","PC_EMP","A","1991",15.52122,
"AUS","SELFEMP","TOT","PC_EMP","A","1992",15.85558,
"AUS","SELFEMP","TOT","PC_EMP","A","1993",16.19387,
"AUS","SELFEMP","TOT","PC_EMP","A","1994",15.60345,
"AUS","SELFEMP","TOT","PC_EMP","A","1995",15.19559,
"AUS","SELFEMP","TOT","PC_EMP","A","1996",14.95118,
"AUS","SELFEMP","TOT","PC_EMP","A","1997",14.9295,
"AUS","SELFEMP","TOT","PC_EMP","A","1998",14.52821,
"AUS","SELFEMP","TOT","PC_EMP","A","1999",14.34017,
"AUS","SELFEMP","TOT","PC_EMP","A","2000",13.51807,"B"
"AUS","SELFEMP","TOT","PC_EMP","A","2001",13.66744,
"AUS","SELFEMP","TOT","PC_EMP","A","2002",13.80664,
"AUS","SELFEMP","TOT","PC_EMP","A","2003",13.38588,
"AUS","SELFEMP","TOT","PC_EMP","A","2004",13.1607,
"AUS","SELFEMP","TOT","PC_EMP","A","2005",12.91154,
"AUS","SELFEMP","TOT","PC_EMP","A","2006",12.4058,
"AUS","SELFEMP","TOT","PC_EMP","A","2007",11.91839,
"AUS","SELFEMP","TOT","PC_EMP","A","2008",11.69035,
"AUS","SELFEMP","TOT","PC_EMP","A","2009",11.77834,
"AUS","SELFEMP","TOT","PC_EMP","A","2010",11.77748,
"AUS","SELFEMP","TOT","PC_EMP","A","2011",11.29764,
"AUS","SELFEMP","TOT","PC_EMP","A","2012",10.58691,
"AUS","SELFEMP","TOT","PC_EMP","A","2013",10.3459,
"AUT","SELFEMP","TOT","PC_EMP","A","1974",19.49635,
"AUT","SELFEMP","TOT","PC_EMP","A","1975",19.11588,
"AUT","SELFEMP","TOT","PC_EMP","A","1976",18.90219,
"AUT","SELFEMP","TOT","PC_EMP","A","1977",18.56079,
"AUT","SELFEMP","TOT","PC_EMP","A","1978",17.72346,
"AUT","SELFEMP","TOT","PC_EMP","A","1979",17.06518,
"AUT","SELFEMP","TOT","PC_EMP","A","1980",16.84094,
"AUT","SELFEMP","TOT","PC_EMP","A","1981",16.34716,"B"
"AUT","SELFEMP","TOT","PC_EMP","A","1982",16.05735,
"AUT","SELFEMP","TOT","PC_EMP","A","1983",16.04563,"B"
"AUT","SELFEMP","TOT","PC_EMP","A","1984",15.42035,
"AUT","SELFEMP","TOT","PC_EMP","A","1985",15.06943,
"AUT","SELFEMP","TOT","PC_EMP","A","1986",14.96235,
"AUT","SELFEMP","TOT","PC_EMP","A","1987",14.93903,
"AUT","SELFEMP","TOT","PC_EMP","A","1988",14.86813,
"AUT","SELFEMP","TOT","PC_EMP","A","1989",14.68227,
"AUT","SELFEMP","TOT","PC_EMP","A","1990",14.54067,
"AUT","SELFEMP","TOT","PC_EMP","A","1991",14.08858,
"AUT","SELFEMP","TOT","PC_EMP","A","1992",13.43148,
"AUT","SELFEMP","TOT","PC_EMP","A","1993",13.19538,"B"
"AUT","SELFEMP","TOT","PC_EMP","A","1994",14.08155,
"AUT","SELFEMP","TOT","PC_EMP","A","1995",14.54137,
"AUT","SELFEMP","TOT","PC_EMP","A","1996",14.14137,
"AUT","SELFEMP","TOT","PC_EMP","A","1997",13.81569,
"AUT","SELFEMP","TOT","PC_EMP","A","1998",13.8851,
"AUT","SELFEMP","TOT","PC_EMP","A","1999",13.54113,
"AUT","SELFEMP","TOT","PC_EMP","A","2000",13.26506,
"AUT","SELFEMP","TOT","PC_EMP","A","2001",13.34045,
"AUT","SELFEMP","TOT","PC_EMP","A","2002",13.25564,
"AUT","SELFEMP","TOT","PC_EMP","A","2003",12.92686,"B"
