"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1984",12.45,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1985",12.27,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1986",11.29,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1987",11.07,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1988",11.49,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1989",9.99,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1990",10.79,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1991",11.94,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1992",10.99,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1993",10.66,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1994",11.96,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1995",12.09,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1996",11.24,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1997",11.09,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1998",10.11,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","1999",10.16,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2000",9.74,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2001",9.16,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2002",9.07,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2003",9.26,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2004",9.45,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2005",9.84,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2006",8.93,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2007",9.05,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2008",8.53,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2009",8.71,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2010",8.43,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2011",8.84,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2012",8.54,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2013",8.76,
"DNK","TEMPEMP","TOT","PC_DEPEMP","A","2014",8.5,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1983",5.5,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1984",6.16,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1985",7.02,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1986",7.03,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1987",6.3,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1988",6.02,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1989",5.39,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1990",5.24,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1991",5.32,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1992",5.54,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1993",5.86,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1994",6.45,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1995",6.99,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1996",7.05,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1997",7.39,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1998",7.06,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","1999",6.8,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2000",6.96,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2001",6.75,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2002",6.39,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2003",6.12,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2004",6.03,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2005",5.76,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2006",5.81,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2007",5.85,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2008",5.43,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2009",5.64,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2010",6.11,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2011",6.17,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2012",6.34,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2013",6.23,
"GBR","TEMPEMP","TOT","PC_DEPEMP","A","2014",6.43,
"LUX","TEMPEMP","TOT","PC_DEPEMP","A","1983",3.25,
"LUX","TEMPEMP","TOT","PC_DEPEMP","A","1984",3.92,
"LUX","TEMPEMP","TOT","PC_DEPEMP","A","1985",4.69,
