"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2000",7.51,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",6.33,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",5.61,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",5.06,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",5.5,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",6.64,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",6.21,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",5.88,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",6.22,
"AUS","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",7.14,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2000",6.15,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",8.62,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",7.85,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",7.37,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",6.33,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",8.37,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",7.33,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",7.08,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",7.71,
"AUT","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",8.68,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2000",9.79,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",12.38,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",12.29,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",11.34,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",10.83,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",11.88,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",13.19,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",12.06,
"BEL","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",12.07,
