"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGELEVEL","LPAY","PC","A","1975",11.249,
"AUS","WAGELEVEL","LPAY","PC","A","1976",11.59,
"AUS","WAGELEVEL","LPAY","PC","A","1977",11.702,
"AUS","WAGELEVEL","LPAY","PC","A","1978",12.772,
"AUS","WAGELEVEL","LPAY","PC","A","1979",13.594,
"AUS","WAGELEVEL","LPAY","PC","A","1980",13.54,
"AUS","WAGELEVEL","LPAY","PC","A","1981",13.934,
"AUS","WAGELEVEL","LPAY","PC","A","1982",13.585,
"AUS","WAGELEVEL","LPAY","PC","A","1983",14.58,
"AUS","WAGELEVEL","LPAY","PC","A","1984",14.446,
"AUS","WAGELEVEL","LPAY","PC","A","1985",13.678,
"AUS","WAGELEVEL","LPAY","PC","A","1986",13.832,
"AUS","WAGELEVEL","LPAY","PC","A","1987",14.256,
"AUS","WAGELEVEL","LPAY","PC","A","1988",14.582,
"AUS","WAGELEVEL","LPAY","PC","A","1989",14.362,
"AUS","WAGELEVEL","LPAY","PC","A","1990",14.607,
"AUS","WAGELEVEL","LPAY","PC","A","1991",13.915,
"AUS","WAGELEVEL","LPAY","PC","A","1992",13.842,
"AUS","WAGELEVEL","LPAY","PC","A","1993",13.228,
"AUS","WAGELEVEL","LPAY","PC","A","1994",13.499,
"AUS","WAGELEVEL","LPAY","PC","A","1995",13.834,
"AUS","WAGELEVEL","LPAY","PC","A","1997",12.405,
"AUS","WAGELEVEL","LPAY","PC","A","1998",12.278,
"AUS","WAGELEVEL","LPAY","PC","A","1999",14.307,
"AUS","WAGELEVEL","LPAY","PC","A","2000",14.551,
"AUS","WAGELEVEL","LPAY","PC","A","2001",13.941,
"AUS","WAGELEVEL","LPAY","PC","A","2002",13.77,
"AUS","WAGELEVEL","LPAY","PC","A","2003",13.441,
"AUS","WAGELEVEL","LPAY","PC","A","2004",14.486,
"AUS","WAGELEVEL","LPAY","PC","A","2005",15.856,
"AUS","WAGELEVEL","LPAY","PC","A","2006",15.233,
"AUS","WAGELEVEL","LPAY","PC","A","2007",16,
"AUS","WAGELEVEL","LPAY","PC","A","2008",17.503,
"AUS","WAGELEVEL","LPAY","PC","A","2009",14.439,
"AUS","WAGELEVEL","LPAY","PC","A","2010",16.096001,
"AUS","WAGELEVEL","LPAY","PC","A","2011",16.91,
"AUS","WAGELEVEL","LPAY","PC","A","2012",18.944,
"AUS","WAGELEVEL","LPAY","PC","A","2013",15.829,
"AUT","WAGELEVEL","LPAY","PC","A","2004",15.153,
"AUT","WAGELEVEL","LPAY","PC","A","2005",15.276,
"AUT","WAGELEVEL","LPAY","PC","A","2006",15.79,
"AUT","WAGELEVEL","LPAY","PC","A","2007",16.193001,
"AUT","WAGELEVEL","LPAY","PC","A","2008",15.866,
"AUT","WAGELEVEL","LPAY","PC","A","2009",16.021999,
"AUT","WAGELEVEL","LPAY","PC","A","2010",16.469999,
"AUT","WAGELEVEL","LPAY","PC","A","2011",16.076,
"AUT","WAGELEVEL","LPAY","PC","A","2012",16.073,
"AUT","WAGELEVEL","LPAY","PC","A","2013",15.854,
"BEL","WAGELEVEL","LPAY","PC","A","2004",6.2989998,
"BEL","WAGELEVEL","LPAY","PC","A","2005",6.6989999,
"BEL","WAGELEVEL","LPAY","PC","A","2006",6.2989998,
"BEL","WAGELEVEL","LPAY","PC","A","2007",5.6009998,
"BEL","WAGELEVEL","LPAY","PC","A","2008",4,
"BEL","WAGELEVEL","LPAY","PC","A","2009",3.7,
"BEL","WAGELEVEL","LPAY","PC","A","2010",4.3000002,
"BEL","WAGELEVEL","LPAY","PC","A","2011",5.4000001,
"BEL","WAGELEVEL","LPAY","PC","A","2012",6,
"BEL","WAGELEVEL","LPAY","PC","A","2013",4.5999999,
"CAN","WAGELEVEL","LPAY","PC","A","1997",21.854,
"CAN","WAGELEVEL","LPAY","PC","A","1998",21.141001,
"CAN","WAGELEVEL","LPAY","PC","A","1999",23.048,
"CAN","WAGELEVEL","LPAY","PC","A","2000",23.24,
"CAN","WAGELEVEL","LPAY","PC","A","2001",22.018,
"CAN","WAGELEVEL","LPAY","PC","A","2002",22.378,
"CAN","WAGELEVEL","LPAY","PC","A","2003",22.002001,
"CAN","WAGELEVEL","LPAY","PC","A","2004",22.396999,
"CAN","WAGELEVEL","LPAY","PC","A","2005",21.337,
"CAN","WAGELEVEL","LPAY","PC","A","2006",22.5,
"CAN","WAGELEVEL","LPAY","PC","A","2007",22.009001,
"CAN","WAGELEVEL","LPAY","PC","A","2008",22.122,
"CAN","WAGELEVEL","LPAY","PC","A","2009",20.629,
"CAN","WAGELEVEL","LPAY","PC","A","2010",21.202999,
"CAN","WAGELEVEL","LPAY","PC","A","2011",21.593,
"CAN","WAGELEVEL","LPAY","PC","A","2012",21.844,
"CAN","WAGELEVEL","LPAY","PC","A","2013",20.957001,
"CAN","WAGELEVEL","LPAY","PC","A","2014",22.454,
"CZE","WAGELEVEL","LPAY","PC","A","1996",16.952999,
"CZE","WAGELEVEL","LPAY","PC","A","1997",17.149,
"CZE","WAGELEVEL","LPAY","PC","A","1998",17.559999,
"CZE","WAGELEVEL","LPAY","PC","A","1999",17.624001,
"CZE","WAGELEVEL","LPAY","PC","A","2000",16.384001,
"CZE","WAGELEVEL","LPAY","PC","A","2001",17.444,
"CZE","WAGELEVEL","LPAY","PC","A","2002",18.391001,
"CZE","WAGELEVEL","LPAY","PC","A","2003",19.035,
"CZE","WAGELEVEL","LPAY","PC","A","2004",19.679001,
"CZE","WAGELEVEL","LPAY","PC","A","2005",20.030001,
"CZE","WAGELEVEL","LPAY","PC","A","2006",19.737,
"CZE","WAGELEVEL","LPAY","PC","A","2007",19.655001,
"CZE","WAGELEVEL","LPAY","PC","A","2008",19.702,
"CZE","WAGELEVEL","LPAY","PC","A","2009",20.042,
"CZE","WAGELEVEL","LPAY","PC","A","2010",20.181999,
"CZE","WAGELEVEL","LPAY","PC","A","2011",20.152,
"CZE","WAGELEVEL","LPAY","PC","A","2012",19.749001,
"CZE","WAGELEVEL","LPAY","PC","A","2013",20.049999,
"CZE","WAGELEVEL","LPAY","PC","A","2014",20.139999,
"DNK","WAGELEVEL","LPAY","PC","A","2008",7.888,
"DNK","WAGELEVEL","LPAY","PC","A","2009",7.277,
"DNK","WAGELEVEL","LPAY","PC","A","2010",7.5780001,
"DNK","WAGELEVEL","LPAY","PC","A","2011",7.4910002,
"DNK","WAGELEVEL","LPAY","PC","A","2012",7.573,
"DNK","WAGELEVEL","LPAY","PC","A","2013",7.8860002,
"FIN","WAGELEVEL","LPAY","PC","A","2001",4.6040001,
"FIN","WAGELEVEL","LPAY","PC","A","2002",7.2859998,
"FIN","WAGELEVEL","LPAY","PC","A","2003",6.4120002,
"FIN","WAGELEVEL","LPAY","PC","A","2004",6.9569998,
"FIN","WAGELEVEL","LPAY","PC","A","2005",6.9130001,
"FIN","WAGELEVEL","LPAY","PC","A","2006",7.4809999,
"FIN","WAGELEVEL","LPAY","PC","A","2007",7.9089999,
"FIN","WAGELEVEL","LPAY","PC","A","2008",8.4729996,
"FIN","WAGELEVEL","LPAY","PC","A","2009",8.4820004,
"FIN","WAGELEVEL","LPAY","PC","A","2010",8.1230001,
"FIN","WAGELEVEL","LPAY","PC","A","2011",9.2709999,
"FIN","WAGELEVEL","LPAY","PC","A","2012",8.9130001,
"FIN","WAGELEVEL","LPAY","PC","A","2013",9.0719995,
"DEU","WAGELEVEL","LPAY","PC","A","1992",20.858999,
"DEU","WAGELEVEL","LPAY","PC","A","1993",16.438999,
"DEU","WAGELEVEL","LPAY","PC","A","1994",14.591,
"DEU","WAGELEVEL","LPAY","PC","A","1995",14.121,
"DEU","WAGELEVEL","LPAY","PC","A","1996",13.836,
"DEU","WAGELEVEL","LPAY","PC","A","1997",13.935,
"DEU","WAGELEVEL","LPAY","PC","A","1998",15.115,
"DEU","WAGELEVEL","LPAY","PC","A","1999",15.834,
"DEU","WAGELEVEL","LPAY","PC","A","2000",15.833,
"DEU","WAGELEVEL","LPAY","PC","A","2001",16.587999,
"DEU","WAGELEVEL","LPAY","PC","A","2002",17.535,
"DEU","WAGELEVEL","LPAY","PC","A","2003",17.497,
"DEU","WAGELEVEL","LPAY","PC","A","2004",17.914,
"DEU","WAGELEVEL","LPAY","PC","A","2005",17.639,
"DEU","WAGELEVEL","LPAY","PC","A","2006",18.441999,
"DEU","WAGELEVEL","LPAY","PC","A","2007",18.177,
"DEU","WAGELEVEL","LPAY","PC","A","2008",17.551001,
"DEU","WAGELEVEL","LPAY","PC","A","2009",18.712999,
"DEU","WAGELEVEL","LPAY","PC","A","2010",19.143,
"DEU","WAGELEVEL","LPAY","PC","A","2011",19.700001,
"DEU","WAGELEVEL","LPAY","PC","A","2012",18.323,
"DEU","WAGELEVEL","LPAY","PC","A","2013",18.819,
"GRC","WAGELEVEL","LPAY","PC","A","2004",20.049,
"GRC","WAGELEVEL","LPAY","PC","A","2005",19.746,
"GRC","WAGELEVEL","LPAY","PC","A","2006",19.983999,
"GRC","WAGELEVEL","LPAY","PC","A","2007",17.631001,
"GRC","WAGELEVEL","LPAY","PC","A","2008",13.489,
"GRC","WAGELEVEL","LPAY","PC","A","2009",15.076,
"GRC","WAGELEVEL","LPAY","PC","A","2010",13.279,
"GRC","WAGELEVEL","LPAY","PC","A","2011",12.265,
"GRC","WAGELEVEL","LPAY","PC","A","2012",11.765,
"GRC","WAGELEVEL","LPAY","PC","A","2013",13.945,
"HUN","WAGELEVEL","LPAY","PC","A","1986",13.11,
"HUN","WAGELEVEL","LPAY","PC","A","1989",16.353001,
"HUN","WAGELEVEL","LPAY","PC","A","1992",19.4,
"HUN","WAGELEVEL","LPAY","PC","A","1993",19.219999,
"HUN","WAGELEVEL","LPAY","PC","A","1994",20.780001,
"HUN","WAGELEVEL","LPAY","PC","A","1995",19.940001,
"HUN","WAGELEVEL","LPAY","PC","A","1996",21.006001,
"HUN","WAGELEVEL","LPAY","PC","A","1997",21.868,
"HUN","WAGELEVEL","LPAY","PC","A","1998",21.997999,
"HUN","WAGELEVEL","LPAY","PC","A","1999",22.671,
"HUN","WAGELEVEL","LPAY","PC","A","2000",23.41,
"HUN","WAGELEVEL","LPAY","PC","A","2001",21.74,
"HUN","WAGELEVEL","LPAY","PC","A","2002",21.67,
"HUN","WAGELEVEL","LPAY","PC","A","2003",22.690001,
"HUN","WAGELEVEL","LPAY","PC","A","2004",22.950001,
"HUN","WAGELEVEL","LPAY","PC","A","2005",23.09,
"HUN","WAGELEVEL","LPAY","PC","A","2006",23.110001,
"HUN","WAGELEVEL","LPAY","PC","A","2007",21.16,
"HUN","WAGELEVEL","LPAY","PC","A","2008",20.790001,
"HUN","WAGELEVEL","LPAY","PC","A","2009",21.790001,
"HUN","WAGELEVEL","LPAY","PC","A","2010",21,
"HUN","WAGELEVEL","LPAY","PC","A","2011",19.99,
"HUN","WAGELEVEL","LPAY","PC","A","2012",17.389999,
"HUN","WAGELEVEL","LPAY","PC","A","2013",16.809999,
"HUN","WAGELEVEL","LPAY","PC","A","2014",18.65,
"ISL","WAGELEVEL","LPAY","PC","A","2004",18.664,
"ISL","WAGELEVEL","LPAY","PC","A","2005",17.573,
"ISL","WAGELEVEL","LPAY","PC","A","2006",17.112,
"ISL","WAGELEVEL","LPAY","PC","A","2007",17.351999,
"ISL","WAGELEVEL","LPAY","PC","A","2008",16.691,
"ISL","WAGELEVEL","LPAY","PC","A","2009",15.478,
"ISL","WAGELEVEL","LPAY","PC","A","2010",16.652,
"ISL","WAGELEVEL","LPAY","PC","A","2011",14.731,
"ISL","WAGELEVEL","LPAY","PC","A","2013",16.945,
"IRL","WAGELEVEL","LPAY","PC","A","1997",20.4,
"IRL","WAGELEVEL","LPAY","PC","A","2000",17.789,
"IRL","WAGELEVEL","LPAY","PC","A","2003",19.200001,
"IRL","WAGELEVEL","LPAY","PC","A","2004",17.6,
"IRL","WAGELEVEL","LPAY","PC","A","2005",20.1,
"IRL","WAGELEVEL","LPAY","PC","A","2006",21.200001,
"IRL","WAGELEVEL","LPAY","PC","A","2007",21.690001,
"IRL","WAGELEVEL","LPAY","PC","A","2008",20.549999,
"IRL","WAGELEVEL","LPAY","PC","A","2009",21.5,
"IRL","WAGELEVEL","LPAY","PC","A","2010",20.5,
"IRL","WAGELEVEL","LPAY","PC","A","2011",24.200001,
"IRL","WAGELEVEL","LPAY","PC","A","2012",21.799999,
"IRL","WAGELEVEL","LPAY","PC","A","2013",23.299999,
"ITA","WAGELEVEL","LPAY","PC","A","1987",6.5229998,
"ITA","WAGELEVEL","LPAY","PC","A","1989",6.5669999,
"ITA","WAGELEVEL","LPAY","PC","A","1991",10.353,
"ITA","WAGELEVEL","LPAY","PC","A","1993",10.673,
"ITA","WAGELEVEL","LPAY","PC","A","1995",8.9700003,
"ITA","WAGELEVEL","LPAY","PC","A","1998",10.277,
"ITA","WAGELEVEL","LPAY","PC","A","2000",9.4519997,
"ITA","WAGELEVEL","LPAY","PC","A","2002",10.532,
"ITA","WAGELEVEL","LPAY","PC","A","2004",9.4420004,
"ITA","WAGELEVEL","LPAY","PC","A","2006",9.6890001,
"ITA","WAGELEVEL","LPAY","PC","A","2008",8.0930004,
"ITA","WAGELEVEL","LPAY","PC","A","2010",9.5059996,
"ITA","WAGELEVEL","LPAY","PC","A","2012",10.051,
"JPN","WAGELEVEL","LPAY","PC","A","1975",18.819,
"JPN","WAGELEVEL","LPAY","PC","A","1976",15.962,
"JPN","WAGELEVEL","LPAY","PC","A","1977",16.902,
"JPN","WAGELEVEL","LPAY","PC","A","1978",17.035,
"JPN","WAGELEVEL","LPAY","PC","A","1979",17.926001,
"JPN","WAGELEVEL","LPAY","PC","A","1980",18.302999,
"JPN","WAGELEVEL","LPAY","PC","A","1981",18.577,
"JPN","WAGELEVEL","LPAY","PC","A","1982",18.789,
"JPN","WAGELEVEL","LPAY","PC","A","1983",18.541,
"JPN","WAGELEVEL","LPAY","PC","A","1984",18.65,
"JPN","WAGELEVEL","LPAY","PC","A","1985",18.827,
"JPN","WAGELEVEL","LPAY","PC","A","1986",18.646999,
"JPN","WAGELEVEL","LPAY","PC","A","1987",18.443001,
"JPN","WAGELEVEL","LPAY","PC","A","1988",18.226,
"JPN","WAGELEVEL","LPAY","PC","A","1989",18.031,
"JPN","WAGELEVEL","LPAY","PC","A","1990",17.622999,
"JPN","WAGELEVEL","LPAY","PC","A","1991",17.077,
"JPN","WAGELEVEL","LPAY","PC","A","1992",16.073,
"JPN","WAGELEVEL","LPAY","PC","A","1993",15.884,
"JPN","WAGELEVEL","LPAY","PC","A","1994",15.54,
"JPN","WAGELEVEL","LPAY","PC","A","1995",15.356,
"JPN","WAGELEVEL","LPAY","PC","A","1996",15.324,
"JPN","WAGELEVEL","LPAY","PC","A","1997",15.155,
"JPN","WAGELEVEL","LPAY","PC","A","1998",14.739,
"JPN","WAGELEVEL","LPAY","PC","A","1999",14.581,
"JPN","WAGELEVEL","LPAY","PC","A","2000",14.567,
"JPN","WAGELEVEL","LPAY","PC","A","2001",14.561,
"JPN","WAGELEVEL","LPAY","PC","A","2002",14.435,
"JPN","WAGELEVEL","LPAY","PC","A","2003",14.435,
"JPN","WAGELEVEL","LPAY","PC","A","2004",14.299,
"JPN","WAGELEVEL","LPAY","PC","A","2005",16.098,
"JPN","WAGELEVEL","LPAY","PC","A","2006",16.068001,
"JPN","WAGELEVEL","LPAY","PC","A","2007",15.423,
"JPN","WAGELEVEL","LPAY","PC","A","2008",15.098,
"JPN","WAGELEVEL","LPAY","PC","A","2009",14.65,
"JPN","WAGELEVEL","LPAY","PC","A","2010",14.481,
"JPN","WAGELEVEL","LPAY","PC","A","2011",14.403,
"JPN","WAGELEVEL","LPAY","PC","A","2012",14.294,
"JPN","WAGELEVEL","LPAY","PC","A","2013",14.228,
"KOR","WAGELEVEL","LPAY","PC","A","1985",25.364,
"KOR","WAGELEVEL","LPAY","PC","A","1992",22.788,
"KOR","WAGELEVEL","LPAY","PC","A","1993",23.580999,
"KOR","WAGELEVEL","LPAY","PC","A","1994",22.986,
"KOR","WAGELEVEL","LPAY","PC","A","1995",22.688999,
"KOR","WAGELEVEL","LPAY","PC","A","1996",23.079,
"KOR","WAGELEVEL","LPAY","PC","A","1997",23.323,
"KOR","WAGELEVEL","LPAY","PC","A","1998",23.587999,
"KOR","WAGELEVEL","LPAY","PC","A","1999",23.863001,
"KOR","WAGELEVEL","LPAY","PC","A","2000",25.063,
"KOR","WAGELEVEL","LPAY","PC","A","2001",24.709,
"KOR","WAGELEVEL","LPAY","PC","A","2002",24.952,
"KOR","WAGELEVEL","LPAY","PC","A","2003",24.74,
"KOR","WAGELEVEL","LPAY","PC","A","2004",24.673,
"KOR","WAGELEVEL","LPAY","PC","A","2005",25.865,
"KOR","WAGELEVEL","LPAY","PC","A","2006",24.936001,
"KOR","WAGELEVEL","LPAY","PC","A","2007",26.042,
"KOR","WAGELEVEL","LPAY","PC","A","2008",25.471001,
"KOR","WAGELEVEL","LPAY","PC","A","2009",24.990999,
"KOR","WAGELEVEL","LPAY","PC","A","2010",24.709,
"KOR","WAGELEVEL","LPAY","PC","A","2011",23.798,
"KOR","WAGELEVEL","LPAY","PC","A","2012",23.91,
"KOR","WAGELEVEL","LPAY","PC","A","2013",24.656,
"KOR","WAGELEVEL","LPAY","PC","A","2014",23.700001,
