"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1966",2.58035310095066,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1967",2.76735114447634,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1968",2.53456221198157,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1969",2.41685456595265,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1970",2.30345858530951,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1971",2.77963831212324,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1972",4.22422954303932,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1973",3.3324621014114,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1974",4.31319215076744,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1975",8.99781454886044,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1976",9.83149547763598,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1977",12.212473322267,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1978",12.8169458169042,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1979",12.9762048862603,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1980",12.5255226044134,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1981",11.4204285369992,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1982",13.847457718323,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1983",18.3022066731175,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1984",16.7727864411242,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1985",15.1535201053057,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1986",15.0456669815152,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1987",14.9326625091867,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1988",13.4141903364634,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1989",11.1548670130897,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1990",13.0197486207022,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1991",17.4870503580668,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1992",19.2835291430116,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1993",18.5448459951844,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1994",16.880362661296,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1995",15.2036852558322,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1996",15.6512454771562,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1997",15.8534053281292,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1998",14.468620673599,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",13.1217030997989,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",12.0945333385461,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",13.4820922335518,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",12.8020112780977,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",11.9663514322166,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",11.3733601980194,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",10.62263881518,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",10.0315188345253,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",9.36608712626252,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",8.81736471998958,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",11.462182495954,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",11.5528169741928,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",11.378530307477,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",11.7325253922347,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",12.217590391538,
"AUS","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",13.3034509619848,
