"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CTEXAM","TOT","1000HAB","A","2007",83.2,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2008",87.6,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2009",92.6,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2010",93.6,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2011",91.2,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2012",104.1,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2013",109.8,"D"
"AUS","CTEXAM","TOT","1000HAB","A","2014",115.2,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2007",76.9,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2008",81,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2009",85.5,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2010",86.3,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2011",83.4,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2012",95.4,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2013",100.1,"D"
"AUS","CTEXAM","INAMBULATORY","1000HAB","A","2014",104.9,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2007",6.3,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2008",6.6,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2009",7,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2010",7.3,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2011",7.8,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2012",8.7,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2013",9.7,"D"
"AUS","CTEXAM","INHOSPITAL","1000HAB","A","2014",10.3,"D"
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2004",94.2,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2005",96.2,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2006",105.5,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2007",117.2,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2008",127.4,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2009",139.2,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2010",146,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2011",130.5,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2012",133.4,
"AUT","CTEXAM","INHOSPITAL","1000HAB","A","2013",133.6,
"BEL","CTEXAM","TOT","1000HAB","A","1999",122.2,
"BEL","CTEXAM","TOT","1000HAB","A","2000",114.7,
"BEL","CTEXAM","TOT","1000HAB","A","2001",124.5,
"BEL","CTEXAM","TOT","1000HAB","A","2002",118.1,
"BEL","CTEXAM","TOT","1000HAB","A","2003",126.3,
"BEL","CTEXAM","TOT","1000HAB","A","2004",138.6,
"BEL","CTEXAM","TOT","1000HAB","A","2005",146.2,
"BEL","CTEXAM","TOT","1000HAB","A","2006",155.7,
"BEL","CTEXAM","TOT","1000HAB","A","2007",167.6,
"BEL","CTEXAM","TOT","1000HAB","A","2008",179.3,
"BEL","CTEXAM","TOT","1000HAB","A","2009",187.1,
"BEL","CTEXAM","TOT","1000HAB","A","2010",189.3,
"BEL","CTEXAM","TOT","1000HAB","A","2011",178.5,
"CAN","CTEXAM","TOT","1000HAB","A","2003",87.5,
"CAN","CTEXAM","TOT","1000HAB","A","2004",90.6,
"CAN","CTEXAM","TOT","1000HAB","A","2005",101.8,
"CAN","CTEXAM","TOT","1000HAB","A","2006",109.9,
"CAN","CTEXAM","TOT","1000HAB","A","2008",118.2,
"CAN","CTEXAM","TOT","1000HAB","A","2009",122.2,
"CAN","CTEXAM","TOT","1000HAB","A","2010",124.9,
"CAN","CTEXAM","TOT","1000HAB","A","2011",127,
"CAN","CTEXAM","TOT","1000HAB","A","2012",126.7,"E"
"CAN","CTEXAM","TOT","1000HAB","A","2013",131.5,"E"
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2008",1.3,
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2009",1.8,
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2010",1.8,
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2011",2,
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2012",2,"E"
"CAN","CTEXAM","INAMBULATORY","1000HAB","A","2013",2,"E"
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2008",116.9,
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2009",120.5,
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2010",123.1,
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2011",125,
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2012",124.8,"E"
"CAN","CTEXAM","INHOSPITAL","1000HAB","A","2013",129.4,"E"
"CZE","CTEXAM","TOT","1000HAB","A","2004",66.9,
"CZE","CTEXAM","TOT","1000HAB","A","2005",70.6,
"CZE","CTEXAM","TOT","1000HAB","A","2006",72.5,
"CZE","CTEXAM","TOT","1000HAB","A","2007",75.3,
"CZE","CTEXAM","TOT","1000HAB","A","2008",82.3,
"CZE","CTEXAM","TOT","1000HAB","A","2009",87.9,
"CZE","CTEXAM","TOT","1000HAB","A","2010",86.9,
"CZE","CTEXAM","TOT","1000HAB","A","2011",89.5,
"CZE","CTEXAM","TOT","1000HAB","A","2012",94.5,
"CZE","CTEXAM","TOT","1000HAB","A","2013",95.8,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2006",2.9,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2007",3.1,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2008",3.3,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2009",4.5,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2010",4.6,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2011",4.4,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2012",5.1,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2013",5.2,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2006",69.6,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2007",72.2,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2008",79,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2009",83.4,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2010",82.3,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2011",85.1,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2012",89.4,
"CZE","CTEXAM","INHOSPITAL","1000HAB","A","2013",90.5,
"DNK","CTEXAM","TOT","1000HAB","A","2003",43.2,
"DNK","CTEXAM","TOT","1000HAB","A","2004",49.4,
"DNK","CTEXAM","TOT","1000HAB","A","2005",55.7,
"DNK","CTEXAM","TOT","1000HAB","A","2006",63.2,
"DNK","CTEXAM","TOT","1000HAB","A","2007",73.5,
"DNK","CTEXAM","TOT","1000HAB","A","2008",84.1,
"DNK","CTEXAM","TOT","1000HAB","A","2009",95.9,
"DNK","CTEXAM","TOT","1000HAB","A","2010",111.9,
"DNK","CTEXAM","TOT","1000HAB","A","2011",124.3,
"DNK","CTEXAM","TOT","1000HAB","A","2012",130.1,
"DNK","CTEXAM","TOT","1000HAB","A","2013",141.9,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2003",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2004",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2005",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2006",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2007",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2008",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2009",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2010",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2011",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2012",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2013",0,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2003",43.2,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2004",49.4,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2005",55.7,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2006",63.2,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2007",73.5,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2008",84.1,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2009",95.9,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2010",111.9,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2011",124.3,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2012",130.1,
"DNK","CTEXAM","INHOSPITAL","1000HAB","A","2013",141.9,
"FIN","CTEXAM","TOT","1000HAB","A","2010",23.8,
"FIN","CTEXAM","TOT","1000HAB","A","2011",23.3,
"FIN","CTEXAM","TOT","1000HAB","A","2012",29.1,
"FIN","CTEXAM","TOT","1000HAB","A","2013",31.7,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2010",2.6,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2011",1.5,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2012",1.2,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2013",1.2,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2014",1.2,
"FIN","CTEXAM","INHOSPITAL","1000HAB","A","2010",21.2,
"FIN","CTEXAM","INHOSPITAL","1000HAB","A","2011",21.8,
"FIN","CTEXAM","INHOSPITAL","1000HAB","A","2012",27.9,
"FIN","CTEXAM","INHOSPITAL","1000HAB","A","2013",30.4,
"FRA","CTEXAM","TOT","1000HAB","A","2006",110.8,
"FRA","CTEXAM","TOT","1000HAB","A","2007",120,
"FRA","CTEXAM","TOT","1000HAB","A","2008",129.6,
"FRA","CTEXAM","TOT","1000HAB","A","2009",138.4,
"FRA","CTEXAM","TOT","1000HAB","A","2010",145.6,
"FRA","CTEXAM","TOT","1000HAB","A","2011",154.6,
"FRA","CTEXAM","TOT","1000HAB","A","2012",172.1,
"FRA","CTEXAM","TOT","1000HAB","A","2013",192.8,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2006",40,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2007",43.6,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2008",47,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2009",49.5,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2010",53.1,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2011",56.3,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2012",72.4,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2013",72.4,
"FRA","CTEXAM","INHOSPITAL","1000HAB","A","2001",56.5,
"FRA","CTEXAM","INHOSPITAL","1000HAB","A","2002",61.5,
"FRA","CTEXAM","INHOSPITAL","1000HAB","A","2003",65.1,
"FRA","CTEXAM","INHOSPITAL","1000HAB","A","2004",68.5,
"FRA","CTEXAM","INHOSPITAL","1000HAB","A","2005",67.6,
"FRA","CTEXAM","INHOSPITAL","1000HAB","A","2006",70.8,
"FRA","CTEXAM","INHOSPITAL","1000HAB","A","2007",76.4,
"FRA","CTEXAM","INHOSPITAL","1000HAB","A","2008",82.7,
"FRA","CTEXAM","INHOSPITAL","1000HAB","A","2009",88.8,
"FRA","CTEXAM","INHOSPITAL","1000HAB","A","2010",92.4,
"FRA","CTEXAM","INHOSPITAL","1000HAB","A","2011",98.3,
"FRA","CTEXAM","INHOSPITAL","1000HAB","A","2012",99.7,
"FRA","CTEXAM","INHOSPITAL","1000HAB","A","2013",120.4,
"DEU","CTEXAM","TOT","1000HAB","A","2009",117.1,"E"
"DEU","CTEXAM","INAMBULATORY","1000HAB","A","2009",68.1,"E"
"DEU","CTEXAM","INHOSPITAL","1000HAB","A","2005",36,
"DEU","CTEXAM","INHOSPITAL","1000HAB","A","2006",38.9,
