"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1993",16504.9,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1994",16352.8,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1995",16469.5,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1996",16135.4,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1997",16172.2,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1998",16036.1,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","1999",15891,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",15892.7,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",15787.8,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",15747.9,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",15826.4,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",15888.8,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",16176.5,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",16401.5,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",16506.5,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",16426.5,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",16595.2,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",16890.5,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2011",17264.2,
"AUS","HOSPITALDISCHARGE","TOT","100000HAB","A","2012",17263.4,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1989",21597.9,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1990",22168,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1991",22206.9,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1992",22062.6,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1993",22204.6,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1994",22867.7,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1995",23093.6,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1996",23436.6,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1997",24517.8,"B"
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1998",25296.8,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","1999",25764.6,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",25933.3,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",26057.9,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",26393,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",26598.7,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",27361.4,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",27317.1,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",27655.9,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",27934.5,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",28114.5,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",27912.9,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",27637,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2011",27442.7,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2012",27029.6,
"AUT","HOSPITALDISCHARGE","TOT","100000HAB","A","2013",26558.1,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",16301,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",16209.7,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",16003.2,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",16092.4,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",16067.3,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",17241.5,"B"
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",17014.2,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",16940.3,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",17072.4,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",17057.9,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",17051.4,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2011",16954,
"BEL","HOSPITALDISCHARGE","TOT","100000HAB","A","2012",16989.8,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1980",14364.6,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1981",14186,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1982",14179.3,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1983",14156.9,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1984",14091.1,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1985",13973.9,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1986",13949.7,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1987",13812.5,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1988",13445.8,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1989",13111,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1990",12902.4,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1991",12746.7,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1992",12291.6,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1993",11995.2,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1994",11583.1,"B"
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1995",11046.4,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1996",10414.2,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1997",10112.3,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1998",9910.5,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","1999",9684.8,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",9401.6,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",9084,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",8833.6,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",8805.9,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",8759.8,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",8730.5,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",8573.6,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",8438,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",8347.2,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",8258.8,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",8247.1,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2011",8315.8,
"CAN","HOSPITALDISCHARGE","TOT","100000HAB","A","2012",8320.8,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",20289.6,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",20516,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",21209.4,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",21870.1,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",22344.2,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",22365.5,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",21652.2,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",21541.4,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",21118.3,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",20899.6,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",20592.1,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2011",20196.4,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2012",20054.5,
"CZE","HOSPITALDISCHARGE","TOT","100000HAB","A","2013",20377.3,
"DNK","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",17406.1,
"DNK","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",17402.6,
"DNK","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",17516.4,
"DNK","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",17300.8,
"DNK","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",17215.2,
"DNK","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",17210,
"DNK","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",17257.1,
"DNK","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",17158.4,
"DNK","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",16667.3,
"DNK","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",17027.4,
"DNK","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",17153.7,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",21349.1,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",21047.3,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",20817.2,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",20483.5,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",20130.4,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",19624.1,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",19007.6,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",18834.1,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",18441.1,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",18159.2,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2011",18007.3,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2012",17747.7,
"FIN","HOSPITALDISCHARGE","TOT","100000HAB","A","2013",17315.2,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","1997",19026.4,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","1998",19042.5,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","1999",18994.3,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",18953.8,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",18461.9,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",17993.3,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",17693,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",17558.2,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",17404,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",17298.5,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",17087.6,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",17071.7,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",17036.7,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",16872.8,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2011",16861.7,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2012",16844.5,
"FRA","HOSPITALDISCHARGE","TOT","100000HAB","A","2013",16633.3,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","1994",17750.1,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","1995",18159.3,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","1996",18551.5,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","1997",18843.3,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","1998",19426.7,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","1999",19729.5,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",19960.9,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",20059.9,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",20203.8,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2003",21939.6,"B"
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2004",21923.1,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2005",21840.1,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2006",22040.9,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2007",22710.2,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2008",23258.7,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2009",23670.3,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2010",23993.5,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2011",24290.1,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2012",25093.1,
"DEU","HOSPITALDISCHARGE","TOT","100000HAB","A","2013",25224.3,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1980",11763,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1981",11763.1,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1982",11862.9,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1983",11923.3,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1984",12001.7,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1985",11903.5,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1986",12057.3,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1987",12044,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1988",12345.4,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1989",12581.1,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1990",12603.3,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1991",13137.2,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1992",13604.1,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1993",13770.9,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1994",13422,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1995",14078.5,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1996",14086.1,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1997",14410.4,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1998",14958.8,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","1999",15414.8,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","2000",16076.4,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","2001",16466.1,
"GRC","HOSPITALDISCHARGE","TOT","100000HAB","A","2002",17112.4,
