"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CTSCANNER","TOT","1000000HAB","A","1980",0.75,
"AUS","CTSCANNER","TOT","1000000HAB","A","1981",1.01,
"AUS","CTSCANNER","TOT","1000000HAB","A","1982",2.37,
"AUS","CTSCANNER","TOT","1000000HAB","A","1983",4.09,
"AUS","CTSCANNER","TOT","1000000HAB","A","1984",5.58,
"AUS","CTSCANNER","TOT","1000000HAB","A","1985",8.17,
"AUS","CTSCANNER","TOT","1000000HAB","A","1986",9.43,
"AUS","CTSCANNER","TOT","1000000HAB","A","1987",10.45,
"AUS","CTSCANNER","TOT","1000000HAB","A","1990",13.77,
"AUS","CTSCANNER","TOT","1000000HAB","A","1992",16.71,
"AUS","CTSCANNER","TOT","1000000HAB","A","1994",18.48,
"AUS","CTSCANNER","TOT","1000000HAB","A","1995",20.55,"E"
"AUS","CTSCANNER","TOT","1000000HAB","A","1996",21.95,"E"
"AUS","CTSCANNER","TOT","1000000HAB","A","1997",23.34,"E"
"AUS","CTSCANNER","TOT","1000000HAB","A","1998",24.18,"E"
"AUS","CTSCANNER","TOT","1000000HAB","A","1999",25.51,"E"
"AUS","CTSCANNER","TOT","1000000HAB","A","2000",26.28,"E"
"AUS","CTSCANNER","TOT","1000000HAB","A","2001",29.05,"E"
"AUS","CTSCANNER","TOT","1000000HAB","A","2002",34.37,"E"
"AUS","CTSCANNER","TOT","1000000HAB","A","2003",40.57,"E"
"AUS","CTSCANNER","TOT","1000000HAB","A","2004",45.65,"E"
"AUS","CTSCANNER","TOT","1000000HAB","A","2005",51.54,"E"
"AUS","CTSCANNER","TOT","1000000HAB","A","2006",56.72,"E"
"AUS","CTSCANNER","TOT","1000000HAB","A","2009",39.14,"B"
"AUS","CTSCANNER","TOT","1000000HAB","A","2010",43.07,
"AUS","CTSCANNER","TOT","1000000HAB","A","2011",44.32,
"AUS","CTSCANNER","TOT","1000000HAB","A","2012",50.52,
"AUS","CTSCANNER","TOT","1000000HAB","A","2013",53.65,
"AUS","CTSCANNER","TOT","1000000HAB","A","2014",55.94,
"AUT","CTSCANNER","TOT","1000000HAB","A","1996",24.25,
"AUT","CTSCANNER","TOT","1000000HAB","A","1997",25.23,
"AUT","CTSCANNER","TOT","1000000HAB","A","1998",26.08,
"AUT","CTSCANNER","TOT","1000000HAB","A","1999",26.02,
"AUT","CTSCANNER","TOT","1000000HAB","A","2000",26.09,
"AUT","CTSCANNER","TOT","1000000HAB","A","2001",26.61,
"AUT","CTSCANNER","TOT","1000000HAB","A","2002",27.1,
"AUT","CTSCANNER","TOT","1000000HAB","A","2003",27.21,
"AUT","CTSCANNER","TOT","1000000HAB","A","2004",29.25,
"AUT","CTSCANNER","TOT","1000000HAB","A","2005",29.66,
"AUT","CTSCANNER","TOT","1000000HAB","A","2006",29.87,
"AUT","CTSCANNER","TOT","1000000HAB","A","2007",30.02,
"AUT","CTSCANNER","TOT","1000000HAB","A","2008",29.68,
"AUT","CTSCANNER","TOT","1000000HAB","A","2009",29.36,
"AUT","CTSCANNER","TOT","1000000HAB","A","2010",29.89,
"AUT","CTSCANNER","TOT","1000000HAB","A","2011",29.55,
"AUT","CTSCANNER","TOT","1000000HAB","A","2012",29.77,
"AUT","CTSCANNER","TOT","1000000HAB","A","2013",29.6,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","1996",10.18,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","1997",9.91,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","1998",10.28,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","1999",10.01,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2000",9.74,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2001",10.07,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2002",10.27,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2003",10.34,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2004",10.65,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2005",10.57,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2006",10.52,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2007",10.61,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2008",10.58,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2009",10.67,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2010",10.52,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2011",10.61,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2012",10.68,
"AUT","CTSCANNER","INAMBULATORY","1000000HAB","A","2013",10.85,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","1996",14.07,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","1997",15.31,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","1998",15.8,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","1999",16.02,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2000",16.35,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2001",16.54,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2002",16.83,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2003",16.87,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2004",18.6,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2005",19.08,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2006",19.35,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2007",19.41,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2008",19.11,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2009",18.7,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2010",19.37,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2011",18.95,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2012",19.1,
"AUT","CTSCANNER","INHOSPITAL","1000000HAB","A","2013",18.75,
"BEL","CTSCANNER","INHOSPITAL","1000000HAB","A","2003",10.31,
"BEL","CTSCANNER","INHOSPITAL","1000000HAB","A","2004",10.94,
"BEL","CTSCANNER","INHOSPITAL","1000000HAB","A","2005",12.5,
"BEL","CTSCANNER","INHOSPITAL","1000000HAB","A","2006",12.04,
"BEL","CTSCANNER","INHOSPITAL","1000000HAB","A","2007",12.61,
"BEL","CTSCANNER","INHOSPITAL","1000000HAB","A","2008",13.35,
"BEL","CTSCANNER","INHOSPITAL","1000000HAB","A","2009",13.52,
"BEL","CTSCANNER","INHOSPITAL","1000000HAB","A","2010",13.22,
"BEL","CTSCANNER","INHOSPITAL","1000000HAB","A","2011",13.03,
"BEL","CTSCANNER","INHOSPITAL","1000000HAB","A","2012",14.29,
"BEL","CTSCANNER","INHOSPITAL","1000000HAB","A","2013",22.18,
"CAN","CTSCANNER","TOT","1000000HAB","A","1990",7.15,
"CAN","CTSCANNER","TOT","1000000HAB","A","1991",7.13,
"CAN","CTSCANNER","TOT","1000000HAB","A","1992",7.33,
"CAN","CTSCANNER","TOT","1000000HAB","A","1993",7.53,
"CAN","CTSCANNER","TOT","1000000HAB","A","1994",7.69,
"CAN","CTSCANNER","TOT","1000000HAB","A","1995",7.99,
"CAN","CTSCANNER","TOT","1000000HAB","A","1997",8.19,
"CAN","CTSCANNER","TOT","1000000HAB","A","2001",9.77,
"CAN","CTSCANNER","TOT","1000000HAB","A","2003",10.27,
"CAN","CTSCANNER","TOT","1000000HAB","A","2004",10.68,
"CAN","CTSCANNER","TOT","1000000HAB","A","2005",11.57,
"CAN","CTSCANNER","TOT","1000000HAB","A","2006",12.03,
"CAN","CTSCANNER","TOT","1000000HAB","A","2007",12.72,
"CAN","CTSCANNER","TOT","1000000HAB","A","2009",13.76,
"CAN","CTSCANNER","TOT","1000000HAB","A","2010",14.18,
"CAN","CTSCANNER","TOT","1000000HAB","A","2011",14.56,
"CAN","CTSCANNER","TOT","1000000HAB","A","2012",14.62,
"CAN","CTSCANNER","TOT","1000000HAB","A","2013",14.67,"E"
