"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOSPITALBED","TOT","1000HAB","A","1960",9.65,
"AUS","HOSPITALBED","TOT","1000HAB","A","1961",9.48,
"AUS","HOSPITALBED","TOT","1000HAB","A","1962",9.38,
"AUS","HOSPITALBED","TOT","1000HAB","A","1963",9.36,
"AUS","HOSPITALBED","TOT","1000HAB","A","1964",9.23,
"AUS","HOSPITALBED","TOT","1000HAB","A","1965",9.13,
"AUS","HOSPITALBED","TOT","1000HAB","A","1966",8.93,
"AUS","HOSPITALBED","TOT","1000HAB","A","1967",8.84,
"AUS","HOSPITALBED","TOT","1000HAB","A","1968",8.61,
"AUS","HOSPITALBED","TOT","1000HAB","A","1969",8.4,
"AUS","HOSPITALBED","TOT","1000HAB","A","1970",8.25,
"AUS","HOSPITALBED","TOT","1000HAB","A","1971",7.98,
"AUS","HOSPITALBED","TOT","1000HAB","A","1972",7.9,
"AUS","HOSPITALBED","TOT","1000HAB","A","1973",7.88,
"AUS","HOSPITALBED","TOT","1000HAB","A","1974",8,
"AUS","HOSPITALBED","TOT","1000HAB","A","1975",7.94,
"AUS","HOSPITALBED","TOT","1000HAB","A","1976",7.97,
"AUS","HOSPITALBED","TOT","1000HAB","A","1977",8.1,
"AUS","HOSPITALBED","TOT","1000HAB","A","1978",8.05,
"AUS","HOSPITALBED","TOT","1000HAB","A","1979",8,
"AUS","HOSPITALBED","TOT","1000HAB","A","1980",7.84,
"AUS","HOSPITALBED","TOT","1000HAB","A","1981",7.65,
"AUS","HOSPITALBED","TOT","1000HAB","A","1982",7.43,
"AUS","HOSPITALBED","TOT","1000HAB","A","1983",7.2,
"AUS","HOSPITALBED","TOT","1000HAB","A","1984",6.94,
"AUS","HOSPITALBED","TOT","1000HAB","A","1985",6.24,"B"
"AUS","HOSPITALBED","TOT","1000HAB","A","1987",5.82,
"AUS","HOSPITALBED","TOT","1000HAB","A","1989",5.43,
"AUS","HOSPITALBED","TOT","1000HAB","A","1991",4.92,
"AUS","HOSPITALBED","TOT","1000HAB","A","1992",4.65,
"AUS","HOSPITALBED","TOT","1000HAB","A","1993",4.68,
"AUS","HOSPITALBED","TOT","1000HAB","A","1994",4.59,
"AUS","HOSPITALBED","TOT","1000HAB","A","1995",4.58,
"AUS","HOSPITALBED","TOT","1000HAB","A","1996",4.38,
"AUS","HOSPITALBED","TOT","1000HAB","A","1997",4.28,
"AUS","HOSPITALBED","TOT","1000HAB","A","1998",4.17,
"AUS","HOSPITALBED","TOT","1000HAB","A","1999",4.07,
"AUS","HOSPITALBED","TOT","1000HAB","A","2000",4.04,
"AUS","HOSPITALBED","TOT","1000HAB","A","2001",3.95,
"AUS","HOSPITALBED","TOT","1000HAB","A","2002",3.93,
"AUS","HOSPITALBED","TOT","1000HAB","A","2003",3.97,
"AUS","HOSPITALBED","TOT","1000HAB","A","2004",4,
"AUS","HOSPITALBED","TOT","1000HAB","A","2005",3.9,
"AUS","HOSPITALBED","TOT","1000HAB","A","2006",3.93,
"AUS","HOSPITALBED","TOT","1000HAB","A","2008",3.82,
"AUS","HOSPITALBED","TOT","1000HAB","A","2009",3.77,
"AUS","HOSPITALBED","TOT","1000HAB","A","2010",3.78,
"AUS","HOSPITALBED","TOT","1000HAB","A","2011",3.79,
"AUS","HOSPITALBED","TOT","1000HAB","A","2012",3.75,"E"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1960",6.52,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1961",6.42,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1962",6.38,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1963",6.38,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1964",6.31,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1965",6.29,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1966",6.24,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1967",6.24,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1968",6.17,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1969",6.1,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1970",6.03,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1971",5.91,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1972",5.91,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1973",5.96,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1974",6.13,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1975",6.14,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1976",6.2,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1977",6.46,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1978",6.47,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1979",6.51,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1980",6.44,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1981",6.36,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1982",6.21,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1983",6.04,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1984",5.88,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1985",5.33,
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1987",5.19,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1989",4.85,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1991",4.42,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1992",4.22,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1993",4.17,
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1994",4.11,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1995",4.14,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1996",3.96,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1997",3.86,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1998",3.76,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","1999",3.67,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","2000",3.64,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","2001",3.56,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","2002",3.53,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","2003",3.58,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","2004",3.6,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","2005",3.5,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","2006",3.53,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","2008",3.43,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","2009",3.39,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","2010",3.39,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","2011",3.39,"D"
"AUS","HOSPITALBED","ACUTE","1000HAB","A","2012",3.36,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1960",3.13,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1961",3.06,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1962",3,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1963",2.98,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1964",2.91,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1965",2.85,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1966",2.7,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1967",2.59,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1968",2.44,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1969",2.31,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1970",2.22,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1971",2.07,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1972",1.99,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1973",1.91,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1974",1.88,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1975",1.81,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1976",1.77,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1977",1.64,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1978",1.58,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1979",1.49,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1980",1.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1981",1.29,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1982",1.22,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1983",1.16,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1984",1.07,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1985",0.91,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1987",0.62,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1989",0.58,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1991",0.5,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1992",0.43,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1993",0.51,"B"
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1994",0.48,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1995",0.44,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1996",0.42,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1997",0.42,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1998",0.41,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1999",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2000",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2001",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2002",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2003",0.39,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2004",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2005",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2006",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2008",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2009",0.39,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2010",0.39,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2011",0.39,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2012",0.39,"E"
"AUT","HOSPITALBED","TOT","1000HAB","A","1985",9.94,
"AUT","HOSPITALBED","TOT","1000HAB","A","1986",9.91,
"AUT","HOSPITALBED","TOT","1000HAB","A","1987",9.79,
"AUT","HOSPITALBED","TOT","1000HAB","A","1988",9.65,
"AUT","HOSPITALBED","TOT","1000HAB","A","1989",9.51,
"AUT","HOSPITALBED","TOT","1000HAB","A","1990",9.29,
"AUT","HOSPITALBED","TOT","1000HAB","A","1991",9.05,
"AUT","HOSPITALBED","TOT","1000HAB","A","1992",8.83,
"AUT","HOSPITALBED","TOT","1000HAB","A","1993",8.69,
"AUT","HOSPITALBED","TOT","1000HAB","A","1994",8.6,
"AUT","HOSPITALBED","TOT","1000HAB","A","1995",8.54,
"AUT","HOSPITALBED","TOT","1000HAB","A","1996",8.44,
"AUT","HOSPITALBED","TOT","1000HAB","A","1997",8.34,
"AUT","HOSPITALBED","TOT","1000HAB","A","1998",8.2,
"AUT","HOSPITALBED","TOT","1000HAB","A","1999",8.08,
"AUT","HOSPITALBED","TOT","1000HAB","A","2000",7.95,
"AUT","HOSPITALBED","TOT","1000HAB","A","2001",7.85,
"AUT","HOSPITALBED","TOT","1000HAB","A","2002",7.81,
"AUT","HOSPITALBED","TOT","1000HAB","A","2003",7.73,
"AUT","HOSPITALBED","TOT","1000HAB","A","2004",7.73,
"AUT","HOSPITALBED","TOT","1000HAB","A","2005",7.69,
"AUT","HOSPITALBED","TOT","1000HAB","A","2006",7.66,
"AUT","HOSPITALBED","TOT","1000HAB","A","2007",7.75,
"AUT","HOSPITALBED","TOT","1000HAB","A","2008",7.69,
"AUT","HOSPITALBED","TOT","1000HAB","A","2009",7.68,
"AUT","HOSPITALBED","TOT","1000HAB","A","2010",7.65,
"AUT","HOSPITALBED","TOT","1000HAB","A","2011",7.68,
"AUT","HOSPITALBED","TOT","1000HAB","A","2012",7.67,
"AUT","HOSPITALBED","TOT","1000HAB","A","2013",7.65,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1988",7.58,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1989",7.46,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1990",7.29,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1991",7.08,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1992",6.93,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1993",6.82,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1994",6.82,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1995",6.79,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1996",6.72,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1997",6.67,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1998",6.56,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1999",6.47,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2000",6.31,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2001",6.23,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2002",6.16,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2003",6.04,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2004",5.96,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2005",5.88,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2006",5.83,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2007",5.82,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2008",5.76,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2009",5.69,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2010",5.62,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2011",5.56,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2012",5.46,
