"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MRIUNITS","TOT","1000000HAB","A","1986",0.19,
"AUS","MRIUNITS","TOT","1000000HAB","A","1987",0.31,
"AUS","MRIUNITS","TOT","1000000HAB","A","1988",0.42,
"AUS","MRIUNITS","TOT","1000000HAB","A","1989",0.42,
"AUS","MRIUNITS","TOT","1000000HAB","A","1990",0.64,
"AUS","MRIUNITS","TOT","1000000HAB","A","1991",1.16,
"AUS","MRIUNITS","TOT","1000000HAB","A","1992",1.43,
"AUS","MRIUNITS","TOT","1000000HAB","A","1993",1.81,
"AUS","MRIUNITS","TOT","1000000HAB","A","1994",2.36,
"AUS","MRIUNITS","TOT","1000000HAB","A","1995",2.89,
"AUS","MRIUNITS","TOT","1000000HAB","A","1996",2.96,
"AUS","MRIUNITS","TOT","1000000HAB","A","1997",3.53,
"AUS","MRIUNITS","TOT","1000000HAB","A","1998",4.51,
"AUS","MRIUNITS","TOT","1000000HAB","A","1999",6.01,
"AUS","MRIUNITS","TOT","1000000HAB","A","2000",3.52,"B"
"AUS","MRIUNITS","TOT","1000000HAB","A","2001",3.79,
"AUS","MRIUNITS","TOT","1000000HAB","A","2002",3.74,
"AUS","MRIUNITS","TOT","1000000HAB","A","2003",3.7,
"AUS","MRIUNITS","TOT","1000000HAB","A","2004",3.76,
"AUS","MRIUNITS","TOT","1000000HAB","A","2005",4.26,
"AUS","MRIUNITS","TOT","1000000HAB","A","2006",4.89,
"AUS","MRIUNITS","TOT","1000000HAB","A","2007",5.19,
"AUS","MRIUNITS","TOT","1000000HAB","A","2008",5.65,
"AUS","MRIUNITS","TOT","1000000HAB","A","2009",5.72,
"AUS","MRIUNITS","TOT","1000000HAB","A","2010",5.67,
"AUS","MRIUNITS","TOT","1000000HAB","A","2011",5.68,
"AUS","MRIUNITS","TOT","1000000HAB","A","2012",15.01,
"AUS","MRIUNITS","TOT","1000000HAB","A","2013",13.44,
"AUS","MRIUNITS","TOT","1000000HAB","A","2014",15.18,
"AUS","MRIUNITS","INAMBULATORY","1000000HAB","A","2009",0.09,
"AUS","MRIUNITS","INAMBULATORY","1000000HAB","A","2010",0.09,
"AUS","MRIUNITS","INAMBULATORY","1000000HAB","A","2011",0.09,
"AUS","MRIUNITS","INAMBULATORY","1000000HAB","A","2012",0.09,
"AUS","MRIUNITS","INAMBULATORY","1000000HAB","A","2013",0.04,
"AUS","MRIUNITS","INAMBULATORY","1000000HAB","A","2014",0.13,
"AUS","MRIUNITS","INHOSPITAL","1000000HAB","A","2009",5.62,
"AUS","MRIUNITS","INHOSPITAL","1000000HAB","A","2010",5.58,
"AUS","MRIUNITS","INHOSPITAL","1000000HAB","A","2011",5.6,
"AUS","MRIUNITS","INHOSPITAL","1000000HAB","A","2012",14.92,
"AUS","MRIUNITS","INHOSPITAL","1000000HAB","A","2013",13.4,
"AUS","MRIUNITS","INHOSPITAL","1000000HAB","A","2014",15.05,
"AUT","MRIUNITS","TOT","1000000HAB","A","1996",7.54,
"AUT","MRIUNITS","TOT","1000000HAB","A","1997",8.53,
"AUT","MRIUNITS","TOT","1000000HAB","A","1998",8.52,
"AUT","MRIUNITS","TOT","1000000HAB","A","1999",11.01,
"AUT","MRIUNITS","TOT","1000000HAB","A","2000",10.98,
"AUT","MRIUNITS","TOT","1000000HAB","A","2001",11.69,
"AUT","MRIUNITS","TOT","1000000HAB","A","2002",13.36,
"AUT","MRIUNITS","TOT","1000000HAB","A","2003",13.54,
"AUT","MRIUNITS","TOT","1000000HAB","A","2004",15.91,
"AUT","MRIUNITS","TOT","1000000HAB","A","2005",16.16,
"AUT","MRIUNITS","TOT","1000000HAB","A","2006",16.81,
"AUT","MRIUNITS","TOT","1000000HAB","A","2007",17.72,
"AUT","MRIUNITS","TOT","1000000HAB","A","2008",18.03,
