"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2005",25.32,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2006",24.74,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2007",24.39,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2008",23.53,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2009",24.62,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2010",24.19,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2011",23.28,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2012",22.75,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2013",22.52,
"AUS","MAMMOMACHINE","TOT","1000000HAB","A","2014",22.96,
"AUT","MAMMOMACHINE","TOT","1000000HAB","A","2013",22.29,
"AUT","MAMMOMACHINE","TOT","1000000HAB","A","2014",23.64,
"AUT","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2013",19.22,
"AUT","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2014",20.82,
"AUT","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2013",3.07,
"AUT","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2014",2.82,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2002",20.52,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2003",21.49,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2004",21.3,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2005",20.61,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2006",19.44,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2007",19.58,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2008",19.51,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2009",19.08,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2010",18.81,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2011",18.37,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2012",17.88,
"BEL","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2013",17.44,
"CAN","MAMMOMACHINE","TOT","1000000HAB","A","2002",19.14,"E"
"CAN","MAMMOMACHINE","TOT","1000000HAB","A","2005",21.34,"E"
"CAN","MAMMOMACHINE","TOT","1000000HAB","A","2010",16.18,"B"
"CAN","MAMMOMACHINE","TOT","1000000HAB","A","2011",15.95,
"CAN","MAMMOMACHINE","TOT","1000000HAB","A","2012",15.91,
"CAN","MAMMOMACHINE","TOT","1000000HAB","A","2013",16.31,"E"
"CAN","MAMMOMACHINE","TOT","1000000HAB","A","2014",17.33,"E"
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","1991",3.78,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","1992",4.26,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","1993",5.42,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","1994",6.58,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","1995",8.42,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","1996",10.28,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","1997",10.29,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","1998",10.2,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","1999",10.7,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2000",10.63,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2001",12.23,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2002",13.24,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2003",14.22,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2004",13.73,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2005",14.1,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2006",14.36,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2007",13.5,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2008",13.39,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2009",12.73,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2010",12.89,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2011",12.77,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2012",12.37,
"CZE","MAMMOMACHINE","TOT","1000000HAB","A","2013",11.7,
"CZE","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2004",5,
"CZE","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2005",5.39,
"CZE","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2006",5.57,
"CZE","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2007",5.24,
"CZE","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2008",5.49,
"CZE","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2009",5.17,
"CZE","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2010",5.82,
"CZE","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2011",5.81,
"CZE","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2012",5.23,
"CZE","MAMMOMACHINE","INAMBULATORY","1000000HAB","A","2013",4.95,
"CZE","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2004",8.73,
"CZE","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2005",8.72,
"CZE","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2006",8.79,
"CZE","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2007",8.25,
"CZE","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2008",7.9,
"CZE","MAMMOMACHINE","INHOSPITAL","1000000HAB","A","2009",7.56,
