"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RADIOEQT","TOT","1000000HAB","A","1985",2.53,
"AUS","RADIOEQT","TOT","1000000HAB","A","1986",2.68,
"AUS","RADIOEQT","TOT","1000000HAB","A","1988",2.72,
"AUS","RADIOEQT","TOT","1000000HAB","A","1990",2.93,
"AUS","RADIOEQT","TOT","1000000HAB","A","1992",3.43,
"AUS","RADIOEQT","TOT","1000000HAB","A","1994",3.99,
"AUS","RADIOEQT","TOT","1000000HAB","A","1995",4.39,
"AUS","RADIOEQT","TOT","1000000HAB","A","1996",4.77,
"AUS","RADIOEQT","TOT","1000000HAB","A","1997",4.94,
"AUS","RADIOEQT","TOT","1000000HAB","A","1999",5.05,
"AUS","RADIOEQT","TOT","1000000HAB","A","2000",5.2,
"AUS","RADIOEQT","TOT","1000000HAB","A","2001",5.14,
"AUS","RADIOEQT","TOT","1000000HAB","A","2002",5.49,
"AUS","RADIOEQT","TOT","1000000HAB","A","2005",6.1,"B"
"AUS","RADIOEQT","TOT","1000000HAB","A","2006",6.21,
"AUS","RADIOEQT","TOT","1000000HAB","A","2008",7.91,
"AUS","RADIOEQT","TOT","1000000HAB","A","2009",8.9,
"AUS","RADIOEQT","TOT","1000000HAB","A","2010",9.3,
"AUS","RADIOEQT","TOT","1000000HAB","A","2011",9.18,
"AUS","RADIOEQT","TOT","1000000HAB","A","2012",9.73,
"AUS","RADIOEQT","TOT","1000000HAB","A","2013",10.12,
"AUS","RADIOEQT","TOT","1000000HAB","A","2014",10.54,
"AUT","RADIOEQT","TOT","1000000HAB","A","1996",3.27,
"AUT","RADIOEQT","TOT","1000000HAB","A","1997",3.77,
"AUT","RADIOEQT","TOT","1000000HAB","A","1998",4.14,
"AUT","RADIOEQT","TOT","1000000HAB","A","1999",4.25,
"AUT","RADIOEQT","TOT","1000000HAB","A","2000",4.24,
"AUT","RADIOEQT","TOT","1000000HAB","A","2001",4.48,
"AUT","RADIOEQT","TOT","1000000HAB","A","2002",4.45,
"AUT","RADIOEQT","TOT","1000000HAB","A","2003",4.43,
"AUT","RADIOEQT","TOT","1000000HAB","A","2004",4.53,
"AUT","RADIOEQT","TOT","1000000HAB","A","2005",4.62,
"AUT","RADIOEQT","TOT","1000000HAB","A","2006",4.84,
"AUT","RADIOEQT","TOT","1000000HAB","A","2007",4.82,
"AUT","RADIOEQT","TOT","1000000HAB","A","2008",5.05,
"AUT","RADIOEQT","TOT","1000000HAB","A","2009",5.03,
"AUT","RADIOEQT","TOT","1000000HAB","A","2010",5.14,
"AUT","RADIOEQT","TOT","1000000HAB","A","2011",4.77,
"AUT","RADIOEQT","TOT","1000000HAB","A","2012",4.86,
"AUT","RADIOEQT","TOT","1000000HAB","A","2013",4.95,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","1996",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","1997",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","1998",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","1999",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2000",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2001",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2002",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2003",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2004",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2005",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2006",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2007",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2008",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2009",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2010",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2011",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2012",0,
"AUT","RADIOEQT","INAMBULATORY","1000000HAB","A","2013",0,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","1996",3.27,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","1997",3.77,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","1998",4.14,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","1999",4.25,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2000",4.24,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2001",4.48,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2002",4.45,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2003",4.43,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2004",4.53,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2005",4.62,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2006",4.84,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2007",4.82,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2008",5.05,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2009",5.03,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2010",5.14,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2011",4.77,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2012",4.86,
"AUT","RADIOEQT","INHOSPITAL","1000000HAB","A","2013",4.95,
"BEL","RADIOEQT","INHOSPITAL","1000000HAB","A","2000",12.49,
"BEL","RADIOEQT","INHOSPITAL","1000000HAB","A","2001",13.12,
"BEL","RADIOEQT","INHOSPITAL","1000000HAB","A","2002",12.68,
