"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1960",1.8413,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1963",1.9039,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1966",1.9028,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1969",1.7766,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1971",1.759,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1972",1.7821,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1973",1.7695,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1974",1.9885,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1975",1.5548,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1976",1.9479,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1977",2.3858,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1978",2.2543,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1979",2.2382,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1980",2.1629,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1981",2.2626,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1982",2.5084,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1983",2.2464,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1984",1.7182,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1985",1.7287,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1986",1.8635,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1987",1.8282,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1988",1.9288,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1989",1.9936,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1990",2.1888,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1991",2.2992,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1992",2.3328,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1993",2.3496,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1994",2.3694,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1995",2.326,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1996",2.412,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1997",2.314,
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1998",2.3337,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","1999",2.2226,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2000",2.4069,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2001",2.4841,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2002",2.4767,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2003",2.5239,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2004",2.5673,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2005",2.5208,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2006",2.5311,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2007",2.4738,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2008",2.5637,"D"
"AUS","HEALTHEXP","PRIV","PC_GDP","A","2009",2.6404,"D"
