"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEDICALGRAD","TOT","100000HAB","A","1980",9.33,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1981",8.56,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1982",8.59,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1983",8.91,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1984",8.9,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1985",8.84,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1986",8.61,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1987",8.15,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1988",8,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1989",7.41,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1990",6.2,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1991",7.04,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1992",6.5,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1993",7.38,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1994",7.41,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1995",7.64,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1996",8.1,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1997",7.47,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1998",7.29,
"AUS","MEDICALGRAD","TOT","100000HAB","A","1999",7.42,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2000",7.36,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2001",7.01,"B"
"AUS","MEDICALGRAD","TOT","100000HAB","A","2002",7.26,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2003",7.42,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2004",8.69,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2005",8.91,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2006",9.21,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2007",10.16,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2008",11.24,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2009",10.89,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2010",12.08,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2011",13.48,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2012",13.99,
"AUS","MEDICALGRAD","TOT","100000HAB","A","2013",15.45,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1980",14.97,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1981",18.11,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1982",19.13,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1983",20.31,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1984",22.27,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1985",19.97,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1986",20.4,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1987",21.1,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1988",20.1,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1989",19.61,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1990",18.48,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1991",16.26,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1992",15.13,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1993",14.32,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1994",14.01,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1995",13.07,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1996",13.85,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1997",13.47,
"AUT","MEDICALGRAD","TOT","100000HAB","A","1998",15.9,"B"
"AUT","MEDICALGRAD","TOT","100000HAB","A","1999",14.23,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2000",18.65,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2001",12.86,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2002",21.99,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2003",18.7,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2004",20.13,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2005",19.07,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2006",17.61,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2007",22.12,"B"
"AUT","MEDICALGRAD","TOT","100000HAB","A","2008",21.8,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2009",20.69,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2010",17.53,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2011",16.84,
"AUT","MEDICALGRAD","TOT","100000HAB","A","2012",13.88,
"BEL","MEDICALGRAD","TOT","100000HAB","A","1994",9.85,
"BEL","MEDICALGRAD","TOT","100000HAB","A","1995",10.58,
"BEL","MEDICALGRAD","TOT","100000HAB","A","1996",11.32,
"BEL","MEDICALGRAD","TOT","100000HAB","A","1997",11.65,
"BEL","MEDICALGRAD","TOT","100000HAB","A","1998",10.55,
"BEL","MEDICALGRAD","TOT","100000HAB","A","1999",11.14,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2000",10.14,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2001",11.13,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2002",10.22,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2003",11.5,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2004",8.01,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2005",7.28,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2006",6.46,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2007",6.89,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2008",7.08,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2009",7.88,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2010",8.99,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2011",10.18,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2012",10.6,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2013",10.52,
"BEL","MEDICALGRAD","TOT","100000HAB","A","2014",11.42,
"CAN","MEDICALGRAD","TOT","100000HAB","A","1980",7.1,
