"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NURSE","TOT","1000HAB","A","1980",10.33,
"AUS","NURSE","TOT","1000HAB","A","1981",9.91,
"AUS","NURSE","TOT","1000HAB","A","1982",9.85,
"AUS","NURSE","TOT","1000HAB","A","1983",9.87,
"AUS","NURSE","TOT","1000HAB","A","1984",9.91,
"AUS","NURSE","TOT","1000HAB","A","1985",9.55,
"AUS","NURSE","TOT","1000HAB","A","1986",10.92,"B"
"AUS","NURSE","TOT","1000HAB","A","1987",11.37,
"AUS","NURSE","TOT","1000HAB","A","1988",11.6,
"AUS","NURSE","TOT","1000HAB","A","1989",11.72,
"AUS","NURSE","TOT","1000HAB","A","1990",11.63,
"AUS","NURSE","TOT","1000HAB","A","1991",12.08,
"AUS","NURSE","TOT","1000HAB","A","1992",11.57,
"AUS","NURSE","TOT","1000HAB","A","1993",11.1,"B"
"AUS","NURSE","TOT","1000HAB","A","1994",11.5,
"AUS","NURSE","TOT","1000HAB","A","1995",10.84,
"AUS","NURSE","TOT","1000HAB","A","1996",10.83,
"AUS","NURSE","TOT","1000HAB","A","1997",10.41,"B"
"AUS","NURSE","TOT","1000HAB","A","1998",10.3,
"AUS","NURSE","TOT","1000HAB","A","1999",10.17,
"AUS","NURSE","TOT","1000HAB","A","2000",10.07,
"AUS","NURSE","TOT","1000HAB","A","2001",9.95,
"AUS","NURSE","TOT","1000HAB","A","2002",9.94,
"AUS","NURSE","TOT","1000HAB","A","2003",9.94,
"AUS","NURSE","TOT","1000HAB","A","2004",10.21,
"AUS","NURSE","TOT","1000HAB","A","2005",9.76,
"AUS","NURSE","TOT","1000HAB","A","2007",10.2,
"AUS","NURSE","TOT","1000HAB","A","2008",10.3,
"AUS","NURSE","TOT","1000HAB","A","2009",10.18,
"AUS","NURSE","TOT","1000HAB","A","2011",10.19,
"AUS","NURSE","TOT","1000HAB","A","2012",10.22,"E"
"AUS","NURSE","TOT","1000HAB","A","2013",11.52,"E"
"AUT","NURSE","TOT","1000HAB","A","1998",6.96,"D"
"AUT","NURSE","TOT","1000HAB","A","1999",7.03,"D"
"AUT","NURSE","TOT","1000HAB","A","2000",7.16,"D"
"AUT","NURSE","TOT","1000HAB","A","2001",7.21,"D"
"AUT","NURSE","TOT","1000HAB","A","2002",7.12,"D"
"AUT","NURSE","TOT","1000HAB","A","2003",7.2,"D"
"AUT","NURSE","TOT","1000HAB","A","2004",7.13,"D"
"AUT","NURSE","TOT","1000HAB","A","2005",7.18,"D"
"AUT","NURSE","TOT","1000HAB","A","2006",7.27,"D"
"AUT","NURSE","TOT","1000HAB","A","2007",7.38,"D"
"AUT","NURSE","TOT","1000HAB","A","2008",7.53,"D"
"AUT","NURSE","TOT","1000HAB","A","2009",7.63,"D"
"AUT","NURSE","TOT","1000HAB","A","2010",7.7,"D"
"AUT","NURSE","TOT","1000HAB","A","2011",7.78,"D"
"AUT","NURSE","TOT","1000HAB","A","2012",7.83,"D"
"AUT","NURSE","TOT","1000HAB","A","2013",7.87,"D"
"CAN","NURSE","TOT","1000HAB","A","1980",6.33,
"CAN","NURSE","TOT","1000HAB","A","1981",6.49,
"CAN","NURSE","TOT","1000HAB","A","1982",6.53,
"CAN","NURSE","TOT","1000HAB","A","1983",6.96,
"CAN","NURSE","TOT","1000HAB","A","1984",7.34,
"CAN","NURSE","TOT","1000HAB","A","1985",7.52,
"CAN","NURSE","TOT","1000HAB","A","1986",7.84,
"CAN","NURSE","TOT","1000HAB","A","1987",7.97,
"CAN","NURSE","TOT","1000HAB","A","1988",7.86,
"CAN","NURSE","TOT","1000HAB","A","1989",8.1,
"CAN","NURSE","TOT","1000HAB","A","1990",8.09,
"CAN","NURSE","TOT","1000HAB","A","1991",8.24,
"CAN","NURSE","TOT","1000HAB","A","1992",8.24,
"CAN","NURSE","TOT","1000HAB","A","1993",8.22,
"CAN","NURSE","TOT","1000HAB","A","1994",8.09,
"CAN","NURSE","TOT","1000HAB","A","1995",7.93,
"CAN","NURSE","TOT","1000HAB","A","1996",7.72,
"CAN","NURSE","TOT","1000HAB","A","1997",7.65,
"CAN","NURSE","TOT","1000HAB","A","1998",7.55,
"CAN","NURSE","TOT","1000HAB","A","1999",7.52,
"CAN","NURSE","TOT","1000HAB","A","2000",7.58,
"CAN","NURSE","TOT","1000HAB","A","2001",7.46,
"CAN","NURSE","TOT","1000HAB","A","2002",9.45,
"CAN","NURSE","TOT","1000HAB","A","2003",8.51,
"CAN","NURSE","TOT","1000HAB","A","2004",8.51,
"CAN","NURSE","TOT","1000HAB","A","2005",8.73,
"CAN","NURSE","TOT","1000HAB","A","2006",8.84,
"CAN","NURSE","TOT","1000HAB","A","2007",9.03,
"CAN","NURSE","TOT","1000HAB","A","2008",9.14,
"CAN","NURSE","TOT","1000HAB","A","2009",9.29,
"CAN","NURSE","TOT","1000HAB","A","2010",9.33,
"CAN","NURSE","TOT","1000HAB","A","2011",9.25,
"CAN","NURSE","TOT","1000HAB","A","2012",9.35,
"CAN","NURSE","TOT","1000HAB","A","2013",9.48,
"CZE","NURSE","TOT","1000HAB","A","1980",5.95,
"CZE","NURSE","TOT","1000HAB","A","1981",6.09,
"CZE","NURSE","TOT","1000HAB","A","1982",6.26,
"CZE","NURSE","TOT","1000HAB","A","1983",6.41,
"CZE","NURSE","TOT","1000HAB","A","1984",6.57,
"CZE","NURSE","TOT","1000HAB","A","1985",6.75,
"CZE","NURSE","TOT","1000HAB","A","1986",6.91,
"CZE","NURSE","TOT","1000HAB","A","1987",7.03,
"CZE","NURSE","TOT","1000HAB","A","1988",7.13,
"CZE","NURSE","TOT","1000HAB","A","1989",7.24,
"CZE","NURSE","TOT","1000HAB","A","1990",7.26,
"CZE","NURSE","TOT","1000HAB","A","1991",7.24,
"CZE","NURSE","TOT","1000HAB","A","1992",7.29,
"CZE","NURSE","TOT","1000HAB","A","1993",7.26,
"CZE","NURSE","TOT","1000HAB","A","1994",7.25,
"CZE","NURSE","TOT","1000HAB","A","1995",7.41,
"CZE","NURSE","TOT","1000HAB","A","1996",7.38,
"CZE","NURSE","TOT","1000HAB","A","1997",7.35,
"CZE","NURSE","TOT","1000HAB","A","1998",7.35,
"CZE","NURSE","TOT","1000HAB","A","1999",7.38,
"CZE","NURSE","TOT","1000HAB","A","2000",7.61,"B"
"CZE","NURSE","TOT","1000HAB","A","2001",7.85,
"CZE","NURSE","TOT","1000HAB","A","2002",7.99,
"CZE","NURSE","TOT","1000HAB","A","2003",7.98,
"CZE","NURSE","TOT","1000HAB","A","2004",8.11,"B"
"CZE","NURSE","TOT","1000HAB","A","2005",8.11,
"CZE","NURSE","TOT","1000HAB","A","2006",8.07,
"CZE","NURSE","TOT","1000HAB","A","2007",8.03,
"CZE","NURSE","TOT","1000HAB","A","2008",7.97,
"CZE","NURSE","TOT","1000HAB","A","2009",8.09,
"CZE","NURSE","TOT","1000HAB","A","2010",8.1,
"CZE","NURSE","TOT","1000HAB","A","2011",8.03,
"CZE","NURSE","TOT","1000HAB","A","2012",8.06,
"CZE","NURSE","TOT","1000HAB","A","2013",7.99,
"DNK","NURSE","TOT","1000HAB","A","1992",8.72,
"DNK","NURSE","TOT","1000HAB","A","1993",8.89,
"DNK","NURSE","TOT","1000HAB","A","1994",9.09,
"DNK","NURSE","TOT","1000HAB","A","1995",9.38,
"DNK","NURSE","TOT","1000HAB","A","1996",9.81,
"DNK","NURSE","TOT","1000HAB","A","1997",10.56,
"DNK","NURSE","TOT","1000HAB","A","1998",11.19,
"DNK","NURSE","TOT","1000HAB","A","1999",11.65,
"DNK","NURSE","TOT","1000HAB","A","2000",12.37,
"DNK","NURSE","TOT","1000HAB","A","2001",12.87,
"DNK","NURSE","TOT","1000HAB","A","2002",13.47,
"DNK","NURSE","TOT","1000HAB","A","2003",13.58,
"DNK","NURSE","TOT","1000HAB","A","2004",13.99,
"DNK","NURSE","TOT","1000HAB","A","2005",14.39,
"DNK","NURSE","TOT","1000HAB","A","2006",14.48,
"DNK","NURSE","TOT","1000HAB","A","2007",14.29,
"DNK","NURSE","TOT","1000HAB","A","2008",14.89,
"DNK","NURSE","TOT","1000HAB","A","2009",15.56,
"DNK","NURSE","TOT","1000HAB","A","2010",15.86,
"DNK","NURSE","TOT","1000HAB","A","2011",15.98,
"DNK","NURSE","TOT","1000HAB","A","2012",16.3,
