"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1960",23.6498,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1963",23.3186,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1966",22.8358,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1969",20.2542,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1971",15.9917,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1972",15.0906,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1973",15.1166,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1974",14.7714,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1975",11.8492,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1976",10.92,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1977",10.0874,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1978",9.958,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1979",8.9808,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1980",9.2633,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1981",9.3877,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1982",9.248,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1983",9.5891,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1984",9.4653,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1985",9.5598,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1986",9.5678,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1987",9.5426,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1988",9.8228,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1989",10.1994,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1990",10.4742,
"AUS","PHARMAEXP","TOT","PC_HEALTHXP","A","1991",10.9365,
