"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP65","MEN","YR","A","1960",12.5,
"AUS","LIFEEXP65","MEN","YR","A","1961",12.6,
"AUS","LIFEEXP65","MEN","YR","A","1962",12.4,
"AUS","LIFEEXP65","MEN","YR","A","1963",12.3,
"AUS","LIFEEXP65","MEN","YR","A","1964",12,
"AUS","LIFEEXP65","MEN","YR","A","1965",12.2,
"AUS","LIFEEXP65","MEN","YR","A","1966",12,
"AUS","LIFEEXP65","MEN","YR","A","1967",12.2,
"AUS","LIFEEXP65","MEN","YR","A","1968",11.9,
"AUS","LIFEEXP65","MEN","YR","A","1969",12.2,
"AUS","LIFEEXP65","MEN","YR","A","1970",11.9,
"AUS","LIFEEXP65","MEN","YR","A","1971",12.5,
"AUS","LIFEEXP65","MEN","YR","A","1972",12.6,
"AUS","LIFEEXP65","MEN","YR","A","1973",12.6,
"AUS","LIFEEXP65","MEN","YR","A","1974",12.6,
"AUS","LIFEEXP65","MEN","YR","A","1975",13.1,
"AUS","LIFEEXP65","MEN","YR","A","1976",12.9,
"AUS","LIFEEXP65","MEN","YR","A","1977",13.4,
"AUS","LIFEEXP65","MEN","YR","A","1978",13.4,
"AUS","LIFEEXP65","MEN","YR","A","1979",13.7,
"AUS","LIFEEXP65","MEN","YR","A","1980",13.7,
"AUS","LIFEEXP65","MEN","YR","A","1981",13.9,
"AUS","LIFEEXP65","MEN","YR","A","1982",13.9,
"AUS","LIFEEXP65","MEN","YR","A","1983",14.2,
"AUS","LIFEEXP65","MEN","YR","A","1984",14.4,
"AUS","LIFEEXP65","MEN","YR","A","1985",14.3,
"AUS","LIFEEXP65","MEN","YR","A","1986",14.6,
"AUS","LIFEEXP65","MEN","YR","A","1987",14.7,
"AUS","LIFEEXP65","MEN","YR","A","1988",14.8,
"AUS","LIFEEXP65","MEN","YR","A","1989",14.7,
"AUS","LIFEEXP65","MEN","YR","A","1990",15.2,
"AUS","LIFEEXP65","MEN","YR","A","1991",15.4,
"AUS","LIFEEXP65","MEN","YR","A","1992",15.4,
