"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SUICIDE","TOT","100000PER","A","1960",13.1,
"AUS","SUICIDE","TOT","100000PER","A","1961",14.5,
"AUS","SUICIDE","TOT","100000PER","A","1962",16.9,
"AUS","SUICIDE","TOT","100000PER","A","1963",19.2,
"AUS","SUICIDE","TOT","100000PER","A","1964",17.8,
"AUS","SUICIDE","TOT","100000PER","A","1965",18,
"AUS","SUICIDE","TOT","100000PER","A","1966",17.4,
"AUS","SUICIDE","TOT","100000PER","A","1967",18.4,
"AUS","SUICIDE","TOT","100000PER","A","1968",15.6,"B"
"AUS","SUICIDE","TOT","100000PER","A","1969",14.9,
"AUS","SUICIDE","TOT","100000PER","A","1970",15,
"AUS","SUICIDE","TOT","100000PER","A","1971",16.3,
"AUS","SUICIDE","TOT","100000PER","A","1972",15,
"AUS","SUICIDE","TOT","100000PER","A","1973",13.8,
"AUS","SUICIDE","TOT","100000PER","A","1974",14.1,
"AUS","SUICIDE","TOT","100000PER","A","1975",13,
"AUS","SUICIDE","TOT","100000PER","A","1976",12.6,
"AUS","SUICIDE","TOT","100000PER","A","1977",12.9,
"AUS","SUICIDE","TOT","100000PER","A","1978",12.7,
"AUS","SUICIDE","TOT","100000PER","A","1979",13,"B"
"AUS","SUICIDE","TOT","100000PER","A","1980",12.3,
"AUS","SUICIDE","TOT","100000PER","A","1981",12.5,
"AUS","SUICIDE","TOT","100000PER","A","1982",12.9,
"AUS","SUICIDE","TOT","100000PER","A","1983",12.1,
"AUS","SUICIDE","TOT","100000PER","A","1984",12.2,
"AUS","SUICIDE","TOT","100000PER","A","1985",12.6,
"AUS","SUICIDE","TOT","100000PER","A","1986",13.6,
"AUS","SUICIDE","TOT","100000PER","A","1987",14.2,
"AUS","SUICIDE","TOT","100000PER","A","1988",13.8,
"AUS","SUICIDE","TOT","100000PER","A","1989",12.9,
"AUS","SUICIDE","TOT","100000PER","A","1990",13.4,
"AUS","SUICIDE","TOT","100000PER","A","1991",13.7,
"AUS","SUICIDE","TOT","100000PER","A","1992",13.3,
"AUS","SUICIDE","TOT","100000PER","A","1993",11.9,
"AUS","SUICIDE","TOT","100000PER","A","1994",13.1,
"AUS","SUICIDE","TOT","100000PER","A","1995",12.2,
"AUS","SUICIDE","TOT","100000PER","A","1996",13.5,
"AUS","SUICIDE","TOT","100000PER","A","1997",14.5,
"AUS","SUICIDE","TOT","100000PER","A","1998",14.1,"B"
"AUS","SUICIDE","TOT","100000PER","A","1999",13.3,
"AUS","SUICIDE","TOT","100000PER","A","2000",12.6,
"AUS","SUICIDE","TOT","100000PER","A","2001",12.8,
"AUS","SUICIDE","TOT","100000PER","A","2002",11.9,
"AUS","SUICIDE","TOT","100000PER","A","2003",10.9,
"AUS","SUICIDE","TOT","100000PER","A","2004",10.6,
"AUS","SUICIDE","TOT","100000PER","A","2006",10.5,
"AUS","SUICIDE","TOT","100000PER","A","2007",10.6,
"AUS","SUICIDE","TOT","100000PER","A","2008",10.9,
"AUS","SUICIDE","TOT","100000PER","A","2009",10.7,
"AUS","SUICIDE","TOT","100000PER","A","2010",10.9,
