"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELDLYPOP","TOT","PC_POP","A","1956",8.42351,
"AUS","ELDLYPOP","TOT","PC_POP","A","1957",8.475103,
"AUS","ELDLYPOP","TOT","PC_POP","A","1958",8.514529,
"AUS","ELDLYPOP","TOT","PC_POP","A","1959",8.512331,
"AUS","ELDLYPOP","TOT","PC_POP","A","1960",8.514842,
"AUS","ELDLYPOP","TOT","PC_POP","A","1961",8.513351,
"AUS","ELDLYPOP","TOT","PC_POP","A","1962",8.537919,
"AUS","ELDLYPOP","TOT","PC_POP","A","1963",8.554218,
"AUS","ELDLYPOP","TOT","PC_POP","A","1964",8.524853,
"AUS","ELDLYPOP","TOT","PC_POP","A","1965",8.520488,
"AUS","ELDLYPOP","TOT","PC_POP","A","1966",8.502661,
"AUS","ELDLYPOP","TOT","PC_POP","A","1967",8.471882,
"AUS","ELDLYPOP","TOT","PC_POP","A","1968",8.444007,
"AUS","ELDLYPOP","TOT","PC_POP","A","1969",8.372281,
"AUS","ELDLYPOP","TOT","PC_POP","A","1970",8.345078,"B"
"AUS","ELDLYPOP","TOT","PC_POP","A","1971",8.344309,
"AUS","ELDLYPOP","TOT","PC_POP","A","1972",8.406,
"AUS","ELDLYPOP","TOT","PC_POP","A","1973",8.50594,
"AUS","ELDLYPOP","TOT","PC_POP","A","1974",8.60741,
"AUS","ELDLYPOP","TOT","PC_POP","A","1975",8.720712,
"AUS","ELDLYPOP","TOT","PC_POP","A","1976",8.927668,
"AUS","ELDLYPOP","TOT","PC_POP","A","1977",9.072448,
"AUS","ELDLYPOP","TOT","PC_POP","A","1978",9.240117,
"AUS","ELDLYPOP","TOT","PC_POP","A","1979",9.436164,
"AUS","ELDLYPOP","TOT","PC_POP","A","1980",9.617167,
"AUS","ELDLYPOP","TOT","PC_POP","A","1981",9.749874,
"AUS","ELDLYPOP","TOT","PC_POP","A","1982",9.870545,
"AUS","ELDLYPOP","TOT","PC_POP","A","1983",9.976697,
"AUS","ELDLYPOP","TOT","PC_POP","A","1984",10.10172,
"AUS","ELDLYPOP","TOT","PC_POP","A","1985",10.26727,
"AUS","ELDLYPOP","TOT","PC_POP","A","1986",10.50115,
"AUS","ELDLYPOP","TOT","PC_POP","A","1987",10.69417,
"AUS","ELDLYPOP","TOT","PC_POP","A","1988",10.83574,
"AUS","ELDLYPOP","TOT","PC_POP","A","1989",10.98162,
"AUS","ELDLYPOP","TOT","PC_POP","A","1990",11.09503,
"AUS","ELDLYPOP","TOT","PC_POP","A","1991",11.28622,
"AUS","ELDLYPOP","TOT","PC_POP","A","1992",11.45374,
"AUS","ELDLYPOP","TOT","PC_POP","A","1993",11.64162,
"AUS","ELDLYPOP","TOT","PC_POP","A","1994",11.79444,
"AUS","ELDLYPOP","TOT","PC_POP","A","1995",11.90225,
"AUS","ELDLYPOP","TOT","PC_POP","A","1996",12.02744,
"AUS","ELDLYPOP","TOT","PC_POP","A","1997",12.14243,
"AUS","ELDLYPOP","TOT","PC_POP","A","1998",12.24742,
"AUS","ELDLYPOP","TOT","PC_POP","A","1999",12.34319,
"AUS","ELDLYPOP","TOT","PC_POP","A","2000",12.42314,
"AUS","ELDLYPOP","TOT","PC_POP","A","2001",12.54994,
"AUS","ELDLYPOP","TOT","PC_POP","A","2002",12.6494,
