"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1980",2.988,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1981",3.05,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1982",3.009,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1983",2.786,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1984",2.655,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1985",2.59,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1986",2.566,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1987",2.444,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1988",2.329,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1989",2.211,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1990",2.25,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1991",2.239,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1992",2.249,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1993",2.346,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1994",2.222,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1995",2.266,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1996",2.293,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1997",2.402,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1998",2.758,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","1999",2.718,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2000",2.575,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2001",2.637,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2002",2.637,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2003",2.666,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2004",2.606,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2005",2.592,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2006",2.581,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2007",2.627,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2008",2.639,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2009",2.815,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2010",2.804,
"BEL","FAMPUBEXP","TOT","PC_GDP","A","2011",2.872,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1980",0.472,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1981",0.404,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1982",0.392,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1983",0.341,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1984",0.305,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1985",0.262,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1986",0.217,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1987",0.182,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1988",0.167,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1989",0.155,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1990",0.321,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1991",0.305,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1992",0.404,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1993",0.426,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1994",0.414,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1995",0.416,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1996",0.488,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1997",0.469,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1998",0.827,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","1999",0.812,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2000",0.969,
"ESP","FAMPUBEXP","TOT","PC_GDP","A","2001",0.919,
