"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1960",3.45,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1961",3.55,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1962",3.43,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1963",3.34,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1964",3.15,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1965",2.97,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1966",2.89,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1967",2.85,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1968",2.89,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1969",2.89,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1970",2.86,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1971",2.95,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1972",2.74,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1973",2.49,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1974",2.32,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1975",2.15,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1976",2.06,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1977",2.01,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1978",1.95,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1979",1.91,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1980",1.89,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1981",1.94,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1982",1.93,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1983",1.92,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1984",1.84,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1985",1.92,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1986",1.87,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1987",1.85,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1988",1.83,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1989",1.84,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1990",1.9,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1991",1.85,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1992",1.89,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1993",1.86,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1994",1.84,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1995",1.82,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1996",1.8,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1997",1.78,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1998",1.76,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","1999",1.76,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2000",1.76,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2001",1.73,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2002",1.77,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2003",1.77,
"AUS","FERTILITY","TOT","CHD_WOMAN","A","2004",1.78,
