"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2000",74,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2001",73.9,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2002",74,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2003",74.1,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2004",75.6,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2005",76.7,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2006",77.1,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2007",77.8,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2008",78.6,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2009",76.7,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2010",78,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2011",79.3,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2012",78.5,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2013",77.8,
"AUS","FBORNEMP","MEN","PC_FBORNPOP","A","2014",77.8,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2000",64.4,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2001",64,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2002",64.5,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2003",64.9,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2004",66,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2005",67.4,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2006",67.9,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2007",68.6,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2008",69.8,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2009",68.3,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2010",69.2,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2011",70.5,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2012",69.9,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2013",69.8,
"AUS","FBORNEMP","TOT","PC_FBORNPOP","A","2014",69.6,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2000",54.7,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2001",54,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2002",55,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2003",55.8,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2004",56.7,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2005",58.4,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2006",58.7,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2007",59.6,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2008",61.2,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2009",60.1,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2010",60.7,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2011",61.9,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2012",61.4,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2013",62,
"AUS","FBORNEMP","WOMEN","PC_FBORNPOP","A","2014",61.7,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2000",76.1,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2001",76.6,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2002",73.4,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2003",75.6,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2004",70.2,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2005",71.1,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2006",72.5,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2007",75,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2008",74.9,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2009",72.5,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2010",73.5,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2011",75,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2012",75.2,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2013",74.4,
"AUT","FBORNEMP","MEN","PC_FBORNPOP","A","2014",71.1,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2000",66.8,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2001",66.6,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2002",65.9,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2003",67.7,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2004",61.6,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2005",62.2,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2006",63.4,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2007",65,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2008",65.1,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2009",64.7,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2010",66.3,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2011",66.7,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2012",66.7,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2013",66.4,
"AUT","FBORNEMP","TOT","PC_FBORNPOP","A","2014",64.9,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2000",58.3,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2001",56.7,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2002",59.1,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2003",60.4,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2004",53.7,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2005",54.2,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2006",55.1,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2007",56.1,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2008",56.6,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2009",57.5,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2010",59.8,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2011",59.2,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2012",59.3,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2013",59.4,
"AUT","FBORNEMP","WOMEN","PC_FBORNPOP","A","2014",59.3,
"BEL","FBORNEMP","MEN","PC_FBORNPOP","A","2000",62.2,
"BEL","FBORNEMP","MEN","PC_FBORNPOP","A","2001",61.3,
"BEL","FBORNEMP","MEN","PC_FBORNPOP","A","2002",59.6,
"BEL","FBORNEMP","MEN","PC_FBORNPOP","A","2003",57.2,
"BEL","FBORNEMP","MEN","PC_FBORNPOP","A","2004",60.3,
"BEL","FBORNEMP","MEN","PC_FBORNPOP","A","2005",61.2,
"BEL","FBORNEMP","MEN","PC_FBORNPOP","A","2006",60.8,
"BEL","FBORNEMP","MEN","PC_FBORNPOP","A","2007",60.9,
"BEL","FBORNEMP","MEN","PC_FBORNPOP","A","2008",64.4,
"BEL","FBORNEMP","MEN","PC_FBORNPOP","A","2009",61.4,
