"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2000",69,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2001",69,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2002",69.2,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2003",69.3,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2004",69.9,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2005",71.2,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2006",71.5,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2007",72.1,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2008",73.2,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2009",73.2,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2010",73.3,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2011",74.4,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2012",73.9,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2013",74.2,
"AUS","FBORNPARTICIP","TOT","PC_FBORNLF","A","2014",74.2,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2000",72.7,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2001",72,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2002",72.2,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2003",73.8,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2004",69.2,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2005",69.7,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2006",70.2,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2007",71.5,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2008",70.4,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2009",71.5,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2010",72.3,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2011",72.6,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2012",72.7,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2013",73.2,
"AUT","FBORNPARTICIP","TOT","PC_FBORNLF","A","2014",72.2,
"BEL","FBORNPARTICIP","TOT","PC_FBORNLF","A","2000",59,
"BEL","FBORNPARTICIP","TOT","PC_FBORNLF","A","2001",55.6,
"BEL","FBORNPARTICIP","TOT","PC_FBORNLF","A","2002",58.2,
"BEL","FBORNPARTICIP","TOT","PC_FBORNLF","A","2003",57.3,
"BEL","FBORNPARTICIP","TOT","PC_FBORNLF","A","2004",58.9,
"BEL","FBORNPARTICIP","TOT","PC_FBORNLF","A","2005",60.5,
"BEL","FBORNPARTICIP","TOT","PC_FBORNLF","A","2006",60.6,
