"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FBORNPOP","TOT","PC_POP","A","1986",20.814,
"AUS","FBORNPOP","TOT","PC_POP","A","1990",22.769,
"AUS","FBORNPOP","TOT","PC_POP","A","1991",22.942,
"AUS","FBORNPOP","TOT","PC_POP","A","1992",23.026,
"AUS","FBORNPOP","TOT","PC_POP","A","1993",22.946,
"AUS","FBORNPOP","TOT","PC_POP","A","1994",22.877,
"AUS","FBORNPOP","TOT","PC_POP","A","1995",23.042,
"AUS","FBORNPOP","TOT","PC_POP","A","1996",23.258,
"AUS","FBORNPOP","TOT","PC_POP","A","1997",23.299,
"AUS","FBORNPOP","TOT","PC_POP","A","1998",23.153,
"AUS","FBORNPOP","TOT","PC_POP","A","1999",23.086,
"AUS","FBORNPOP","TOT","PC_POP","A","2000",23.037,
"AUS","FBORNPOP","TOT","PC_POP","A","2001",23.088,
"AUS","FBORNPOP","TOT","PC_POP","A","2002",23.3,
"AUS","FBORNPOP","TOT","PC_POP","A","2003",23.5,
"AUS","FBORNPOP","TOT","PC_POP","A","2004",23.8,
"AUS","FBORNPOP","TOT","PC_POP","A","2005",24.1,
"AUS","FBORNPOP","TOT","PC_POP","A","2006",24.5,
"AUS","FBORNPOP","TOT","PC_POP","A","2007",25,
"AUS","FBORNPOP","TOT","PC_POP","A","2008",25.7,
"AUS","FBORNPOP","TOT","PC_POP","A","2009",26.3,
"AUS","FBORNPOP","TOT","PC_POP","A","2010",26.6,
"AUS","FBORNPOP","TOT","PC_POP","A","2011",26.9,
"AUS","FBORNPOP","TOT","PC_POP","A","2012",27.2,
"AUS","FBORNPOP","TOT","PC_POP","A","2013",27.6,
"BEL","FBORNPOP","TOT","PC_POP","A","1994",9.697,
"BEL","FBORNPOP","TOT","PC_POP","A","1995",9.701,
"BEL","FBORNPOP","TOT","PC_POP","A","1996",9.838,
"BEL","FBORNPOP","TOT","PC_POP","A","1997",9.93,
"BEL","FBORNPOP","TOT","PC_POP","A","1998",10.03,
"BEL","FBORNPOP","TOT","PC_POP","A","1999",10.192,
"BEL","FBORNPOP","TOT","PC_POP","A","2000",10.328,
"BEL","FBORNPOP","TOT","PC_POP","A","2001",10.812,
"BEL","FBORNPOP","TOT","PC_POP","A","2002",11.1,
"BEL","FBORNPOP","TOT","PC_POP","A","2003",11.4,
"BEL","FBORNPOP","TOT","PC_POP","A","2004",11.7,
"BEL","FBORNPOP","TOT","PC_POP","A","2005",12.1,
"BEL","FBORNPOP","TOT","PC_POP","A","2006",12.5,
"BEL","FBORNPOP","TOT","PC_POP","A","2007",13,
"BEL","FBORNPOP","TOT","PC_POP","A","2008",13.5,
"BEL","FBORNPOP","TOT","PC_POP","A","2009",13.9,
"BEL","FBORNPOP","TOT","PC_POP","A","2010",14.9,
"BEL","FBORNPOP","TOT","PC_POP","A","2011",15,
"BEL","FBORNPOP","TOT","PC_POP","A","2012",15.3,
"BEL","FBORNPOP","TOT","PC_POP","A","2013",15.5,
"CAN","FBORNPOP","TOT","PC_POP","A","1981",16.057,
"CAN","FBORNPOP","TOT","PC_POP","A","1986",15.619,
"CAN","FBORNPOP","TOT","PC_POP","A","1990",15.234,
"CAN","FBORNPOP","TOT","PC_POP","A","1991",15.49,
"CAN","FBORNPOP","TOT","PC_POP","A","1992",15.826,
"CAN","FBORNPOP","TOT","PC_POP","A","1993",16.199,
"CAN","FBORNPOP","TOT","PC_POP","A","1994",16.499,
"CAN","FBORNPOP","TOT","PC_POP","A","1995",16.715,
"CAN","FBORNPOP","TOT","PC_POP","A","1996",16.789,
"CAN","FBORNPOP","TOT","PC_POP","A","1997",16.995,
"CAN","FBORNPOP","TOT","PC_POP","A","1998",17.13,
"CAN","FBORNPOP","TOT","PC_POP","A","1999",17.216,
"CAN","FBORNPOP","TOT","PC_POP","A","2000",17.36,
"CAN","FBORNPOP","TOT","PC_POP","A","2001",17.565,
"CAN","FBORNPOP","TOT","PC_POP","A","2002",17.9,
"CAN","FBORNPOP","TOT","PC_POP","A","2003",18.1,
"CAN","FBORNPOP","TOT","PC_POP","A","2004",18.4,
"CAN","FBORNPOP","TOT","PC_POP","A","2005",18.7,
"CAN","FBORNPOP","TOT","PC_POP","A","2006",19,
"CAN","FBORNPOP","TOT","PC_POP","A","2007",19.2,
"CAN","FBORNPOP","TOT","PC_POP","A","2008",19.4,
"CAN","FBORNPOP","TOT","PC_POP","A","2009",19.6,
"CAN","FBORNPOP","TOT","PC_POP","A","2010",19.9,
"CAN","FBORNPOP","TOT","PC_POP","A","2011",19.6,
"CAN","FBORNPOP","TOT","PC_POP","A","2012",19.8,
"CAN","FBORNPOP","TOT","PC_POP","A","2013",20,
"DNK","FBORNPOP","TOT","PC_POP","A","1989",3.528,
"DNK","FBORNPOP","TOT","PC_POP","A","1990",3.689,
"DNK","FBORNPOP","TOT","PC_POP","A","1991",3.859,
"DNK","FBORNPOP","TOT","PC_POP","A","1992",4.039,
"DNK","FBORNPOP","TOT","PC_POP","A","1993",4.185,
"DNK","FBORNPOP","TOT","PC_POP","A","1994",4.322,
"DNK","FBORNPOP","TOT","PC_POP","A","1995",4.775,
"DNK","FBORNPOP","TOT","PC_POP","A","1996",5.05,
"DNK","FBORNPOP","TOT","PC_POP","A","1997",5.237,
"DNK","FBORNPOP","TOT","PC_POP","A","1998",5.424,
"DNK","FBORNPOP","TOT","PC_POP","A","1999",5.579,
"DNK","FBORNPOP","TOT","PC_POP","A","2000",5.781,
"DNK","FBORNPOP","TOT","PC_POP","A","2001",6.005,
"DNK","FBORNPOP","TOT","PC_POP","A","2002",6.2,
"DNK","FBORNPOP","TOT","PC_POP","A","2003",6.3,
"DNK","FBORNPOP","TOT","PC_POP","A","2004",6.4,
"DNK","FBORNPOP","TOT","PC_POP","A","2005",6.5,
"DNK","FBORNPOP","TOT","PC_POP","A","2006",6.6,
"DNK","FBORNPOP","TOT","PC_POP","A","2007",6.9,
